tag,value
AccountType,INDIVIDUAL
AccruedCash,431.75
AvailableFunds,747904.12
BuyingPower,2991616.48
Cushion,1
DayTradesRemaining,-1
DayTradesRemainingT+1,-1
DayTradesRemainingT+2,-1
DayTradesRemainingT+3,-1
DayTradesRemainingT+4,-1
EquityWithLoanValue,995402.79
ExcessLiquidity,747904.12
FullAvailableFunds,747904.12
FullExcessLiquidity,747904.12
FullInitMarginReq,247498.67
FullMaintMarginReq,247498.67
GrossPositionValue,989994.69
InitMarginReq,247498.67
LookAheadAvailableFunds,747904.12
LookAheadExcessLiquidity,747904.12
LookAheadInitMarginReq,247498.67
LookAheadMaintMarginReq,247498.67
LookAheadNextChange,1773408600
MaintMarginReq,247498.67
NetLiquidation,995834.54
PreviousDayEquityWithLoanValue,995595.77
RegTEquity,995834.54
RegTMargin,494997.35
SMA,1005950.14
TotalCashValue,5408.10
