symbol,time,status,message,errorCode
SPY,2026-03-09 04:35:41.946404+00:00,PendingSubmit,,0
SPY,2026-03-09 04:35:45.013465+00:00,PendingCancel,,0
SPY,2026-03-09 04:35:45.054265+00:00,Cancelled,,0
QQQ,2026-03-09 04:35:43.565834+00:00,PendingSubmit,,0
QQQ,2026-03-09 04:35:46.629144+00:00,PendingCancel,,0
QQQ,2026-03-09 04:35:46.669830+00:00,Cancelled,,0
VPU,2026-03-09 04:35:45.115129+00:00,PendingSubmit,,0
VPU,2026-03-09 04:35:49.519491+00:00,PendingCancel,,0
VPU,2026-03-09 04:35:49.560425+00:00,Cancelled,,0
VFH,2026-03-09 04:35:46.706335+00:00,PendingSubmit,,0
VHT,2026-03-09 04:35:48.307896+00:00,PendingSubmit,,0
VIS,2026-03-09 04:35:49.874359+00:00,PendingSubmit,,0
VIS,2026-03-09 04:35:54.229819+00:00,PendingCancel,,0
VIS,2026-03-09 04:35:54.270806+00:00,Cancelled,,0
VWO,2026-03-09 04:35:51.471808+00:00,PendingSubmit,,0
VWO,2026-03-09 04:35:54.535608+00:00,PendingCancel,,0
VWO,2026-03-09 04:35:54.540570+00:00,Cancelled,,0
INDA,2026-03-09 04:35:53.048945+00:00,PendingSubmit,,0
INDA,2026-03-09 04:35:56.157879+00:00,PendingCancel,,0
INDA,2026-03-09 04:35:56.198651+00:00,Cancelled,,0
VEA,2026-03-09 04:35:54.642856+00:00,PendingSubmit,,0
VEA,2026-03-09 04:35:57.712266+00:00,PendingCancel,,0
VEA,2026-03-09 04:35:57.741393+00:00,Cancelled,,0
SHY,2026-03-09 04:35:56.238916+00:00,PendingSubmit,,0
SHY,2026-03-09 04:35:59.345837+00:00,PendingCancel,,0
SHY,2026-03-09 04:35:59.386768+00:00,Cancelled,,0
TLT,2026-03-09 04:35:57.834027+00:00,PendingSubmit,,0
TLT,2026-03-09 04:36:00.885744+00:00,PendingCancel,,0
TLT,2026-03-09 04:36:00.948896+00:00,Cancelled,,0
BIL,2026-03-09 04:35:59.390989+00:00,PendingSubmit,,0
BIL,2026-03-09 04:36:02.493836+00:00,PendingCancel,,0
BIL,2026-03-09 04:36:02.534754+00:00,Cancelled,,0
IEI,2026-03-09 04:36:00.979712+00:00,PendingSubmit,,0
IEI,2026-03-09 04:36:05.391183+00:00,PendingCancel,,0
IEI,2026-03-09 04:36:05.432188+00:00,Cancelled,,0
UNG,2026-03-09 04:36:02.574569+00:00,PendingSubmit,,0
UNG,2026-03-09 04:36:05.645985+00:00,PendingCancel,,0
UNG,2026-03-09 04:36:05.650399+00:00,Cancelled,,0
SLV,2026-03-09 04:36:04.133562+00:00,PendingSubmit,,0
SLV,2026-03-09 04:36:07.237574+00:00,PendingCancel,,0
SLV,2026-03-09 04:36:07.277966+00:00,Cancelled,,0
GLD,2026-03-09 04:36:05.732312+00:00,PendingSubmit,,0
GLD,2026-03-09 04:36:08.782389+00:00,PendingCancel,,0
GLD,2026-03-09 04:36:08.844925+00:00,Cancelled,,0
VNQ,2026-03-09 04:36:07.286152+00:00,PendingSubmit,,0
VNQ,2026-03-09 04:36:10.410792+00:00,PendingCancel,,0
VNQ,2026-03-09 04:36:10.450277+00:00,Cancelled,,0
USO,2026-03-09 04:36:08.875341+00:00,PendingSubmit,,0
