symbol,side,qty,ref_price,status,filled,remaining,avgFillPrice,permId
SPY,BUY,446,672.38,PendingSubmit,0.0,0.0,0.0,0
QQQ,BUY,500,599.75,PendingSubmit,0.0,0.0,0.0,0
VPU,BUY,248,201.6,PendingSubmit,0.0,0.0,0.0,0
VFH,BUY,405,123.43,PendingSubmit,0.0,0.0,0.0,0
VHT,BUY,177,282.15,PendingSubmit,0.0,0.0,0.0,0
VIS,BUY,153,326.26,PendingSubmit,0.0,0.0,0.0,0
VWO,BUY,612,54.47,PendingSubmit,0.0,0.0,0.0,0
INDA,BUY,666,49.99,PendingSubmit,0.0,0.0,0.0,0
VEA,BUY,510,65.28,PendingSubmit,0.0,0.0,0.0,0
SHY,BUY,151,82.73,PendingSubmit,0.0,0.0,0.0,0
TLT,BUY,141,88.46,PendingSubmit,0.0,0.0,0.0,0
BIL,BUY,136,91.44,PendingSubmit,0.0,0.0,0.0,0
IEI,BUY,104,119.41,PendingSubmit,0.0,0.0,0.0,0
UNG,BUY,784,12.75,PendingSubmit,0.0,0.0,0.0,0
SLV,BUY,131,75.94,PendingSubmit,0.0,0.0,0.0,0
GLD,BUY,21,473.51,PendingSubmit,0.0,0.0,0.0,0
VNQ,BUY,106,93.55,PendingSubmit,0.0,0.0,0.0,0
USO,BUY,91,108.77,PendingSubmit,0.0,0.0,0.0,0
