Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,473.51,10489820,1.58,469.04,467.07,475.46,471.17,473.51,1.58,957.41
03/05/26,466.13,11674830,-1.20,470.45,463.91,470.67,469.02,466.13,-1.20,940.93
03/04/26,471.80,9985887,0.78,474.82,469.39,476.42,473.11,471.80,0.78,953.60
03/03/26,468.14,22591540,-4.46,472.83,458.93,473.20,462.56,468.14,-4.46,945.42
03/02/26,490.00,19916580,1.29,490.10,483.28,492.15,488.32,490.00,1.29,994.24
02/27/26,483.75,16795080,1.31,480.75,479.11,483.90,479.92,483.75,1.31,980.28
02/26/26,477.48,12375050,0.86,474.95,442.04,477.83,474.87,477.48,0.86,966.28
02/25/26,473.42,12954280,-0.25,475.74,472.90,479.53,477.10,473.42,-0.25,957.21
02/24/26,474.61,14147100,-1.39,470.09,469.55,475.44,470.55,474.61,-1.39,959.87
02/23/26,481.28,17441570,2.70,474.65,474.61,481.46,477.10,481.28,2.70,974.77
02/20/26,468.62,14316250,1.97,463.25,458.34,468.62,464.41,468.62,1.97,946.49
02/19/26,459.56,8411438,0.28,457.34,456.03,461.51,459.97,459.56,0.28,926.26
02/18/26,458.28,10226300,2.25,455.81,455.32,460.51,459.83,458.28,2.25,923.40
02/17/26,448.20,10976090,-3.12,450.26,445.53,451.37,446.80,448.20,-3.12,900.89
02/13/26,462.62,12359350,2.49,459.73,456.25,463.84,459.09,462.62,2.49,933.10
02/12/26,451.39,20488830,-3.47,464.90,448.06,466.38,463.53,451.39,-3.47,908.02
02/11/26,467.63,11209600,1.13,466.00,462.82,468.61,466.72,467.63,1.13,944.28
02/10/26,462.40,7861589,-0.99,465.96,459.52,466.75,462.46,462.40,-0.99,932.60
02/09/26,467.03,12330870,2.54,461.39,460.85,467.56,463.21,467.03,2.54,942.94
02/06/26,455.46,12663910,3.07,450.73,450.03,456.93,454.81,455.46,3.07,917.11
02/05/26,441.88,17718070,-2.66,444.29,440.35,450.90,445.55,441.88,-2.66,886.78
02/04/26,453.97,24427920,-0.07,462.47,445.71,463.10,458.23,453.97,-0.07,913.78
02/03/26,454.29,28703470,6.36,452.63,448.31,459.00,452.34,454.29,6.36,914.49
02/02/26,427.13,41626230,-4.00,434.01,422.55,440.78,433.38,427.13,-4.00,853.84
01/30/26,444.95,86593520,-10.27,466.25,430.80,470.06,457.96,444.95,-10.27,893.64
01/29/26,495.90,69970870,0.27,509.51,468.51,509.70,496.87,495.90,0.27,"1,007.41"
01/28/26,494.56,44154580,3.88,483.39,481.25,495.88,487.86,494.56,3.88,"1,004.42"
01/27/26,476.10,28386220,2.45,465.07,463.95,476.49,465.55,476.10,2.45,963.20
01/26/26,464.70,34155970,1.46,466.78,460.36,469.28,467.99,464.70,1.46,937.74
01/23/26,458.00,21531870,1.37,454.11,453.45,458.75,454.72,458.00,1.37,922.78
01/22/26,451.79,19251190,1.85,443.84,443.56,452.98,444.22,451.79,1.85,908.91
01/21/26,443.60,38830230,1.46,446.87,437.11,448.00,447.39,443.60,1.46,890.62
01/20/26,437.23,21308140,3.78,436.69,434.10,438.14,436.48,437.23,3.78,876.40
01/16/26,421.29,20951570,-0.48,422.80,417.04,424.80,423.93,421.29,-0.48,840.80
01/15/26,423.33,14253250,-0.61,423.02,422.79,425.06,423.91,423.33,-0.61,845.36
01/14/26,425.94,18305540,1.02,426.03,422.84,426.86,423.52,425.94,1.02,851.18
01/13/26,421.63,16681220,-0.14,424.59,420.07,426.12,425.05,421.63,-0.14,841.56
01/12/26,422.23,20904130,1.87,421.52,421.52,425.74,424.12,422.23,1.87,842.90
01/09/26,414.47,14011240,0.72,413.22,411.80,415.29,413.18,414.47,0.72,825.57
01/08/26,411.49,8705926,0.55,406.97,406.40,411.64,407.25,411.49,0.55,818.91
01/07/26,409.23,10589450,-0.96,408.63,406.65,410.81,408.05,409.23,-0.96,813.87
01/06/26,413.18,11640910,1.08,410.67,410.31,413.48,412.87,413.18,1.08,822.69
01/05/26,408.76,13410640,2.63,406.39,406.15,409.72,409.75,408.76,2.63,812.82
01/02/26,398.28,10372570,0.50,401.62,396.25,401.82,400.25,398.28,0.50,789.41
12/31/25,396.31,10194740,-0.65,398.60,395.59,400.13,396.12,396.31,-0.65,785.02
12/30/25,398.89,10179030,0.07,403.60,398.56,403.80,401.63,398.89,0.07,790.78
12/29/25,398.60,20679240,-4.35,403.66,395.33,403.76,398.81,398.60,-4.35,790.13
12/26/25,416.74,10476230,1.17,416.48,414.75,418.45,412.04,416.74,1.17,830.64
12/24/25,411.93,6718437,-0.41,412.25,408.83,412.63,412.05,411.93,-0.41,819.90
12/23/25,413.64,13193260,1.33,410.30,407.10,413.76,409.17,413.64,1.33,823.72
12/22/25,408.23,14202070,2.31,406.98,405.72,408.52,406.62,408.23,2.31,811.63
12/19/25,399.02,9894767,0.11,397.92,397.17,400.63,398.90,399.02,0.11,791.07
12/18/25,398.57,11837550,-0.18,398.28,396.05,402.21,398.51,398.57,-0.18,790.06
12/17/25,399.29,10456890,0.86,398.08,397.25,399.98,399.32,399.29,0.86,791.67
12/16/25,395.89,9201557,0.02,397.75,394.59,398.71,397.68,395.89,0.02,784.08
12/15/25,395.80,11345030,0.09,397.76,394.07,398.71,396.92,395.80,0.09,783.88
12/12/25,395.44,16792060,0.56,399.16,391.47,400.39,399.79,395.44,0.56,783.07
12/11/25,393.24,11240630,1.08,389.02,388.50,394.09,389.07,393.24,1.08,778.16
12/10/25,389.05,9120475,0.43,385.95,384.50,389.76,386.30,389.05,0.43,768.80
12/09/25,387.40,6358694,0.51,385.62,385.27,388.21,386.10,387.40,0.51,765.12
12/08/25,385.42,6822119,-0.26,387.02,384.01,387.24,385.21,385.42,-0.26,760.70
12/05/25,386.44,9449808,-0.18,389.12,386.18,391.74,390.26,386.44,-0.18,762.97
12/04/25,387.13,6754434,0.06,386.92,385.40,388.00,386.36,387.13,0.06,764.52
12/03/25,386.88,7886793,-0.09,388.46,385.83,390.13,387.26,386.88,-0.09,763.96
12/02/25,387.24,8103923,-0.64,388.87,382.91,388.98,387.67,387.24,-0.64,764.76
12/01/25,389.75,11177070,0.48,390.61,388.06,390.70,389.90,389.75,0.48,770.37
11/28/25,387.88,7175407,1.24,385.98,384.99,388.00,385.51,387.88,1.24,766.19
11/26/25,383.12,9184071,0.80,381.06,380.46,383.78,380.78,383.12,0.80,755.56
11/25/25,380.08,10462810,-0.03,380.26,378.06,382.52,379.58,380.08,-0.03,748.77
11/24/25,380.20,10085320,1.58,374.88,374.19,380.28,375.50,380.20,1.58,749.04
11/21/25,374.27,13194560,-0.15,374.03,372.94,377.23,374.66,374.27,-0.15,735.80
11/20/25,374.85,10506550,-0.03,375.29,371.85,377.69,376.30,374.85,-0.03,737.09
11/19/25,374.96,10980420,0.16,377.78,373.03,380.17,379.65,374.96,0.16,737.34
11/18/25,374.35,7818783,0.73,374.83,371.62,375.54,373.57,374.35,0.73,735.98
11/17/25,371.65,13295250,-1.15,374.04,368.52,375.46,374.65,371.65,-1.15,729.95
11/14/25,375.96,15198030,-1.80,372.87,370.89,378.20,374.53,375.96,-1.80,739.57
11/13/25,382.87,15867870,-0.81,387.29,381.21,388.18,386.00,382.87,-0.81,755.00
11/12/25,385.99,16203720,1.61,380.07,379.44,387.46,380.58,385.99,1.61,761.97
11/11/25,379.87,10753180,0.39,379.98,376.87,380.40,379.35,379.87,0.39,748.30
11/10/25,378.38,13456210,2.73,375.93,374.78,378.66,376.31,378.38,2.73,744.98
11/07/25,368.31,11060360,0.61,367.94,366.42,370.42,367.47,368.31,0.61,722.49
11/06/25,366.07,6891096,-0.12,367.16,364.70,368.18,366.78,366.07,-0.12,717.49
11/05/25,366.51,8357300,1.16,366.39,364.65,367.10,365.10,366.51,1.16,718.47
11/04/25,362.32,11540060,-1.75,363.48,361.39,365.74,363.53,362.32,-1.75,709.11
11/03/25,368.78,7254265,0.18,368.91,367.54,370.84,370.36,368.78,0.18,723.54
10/31/25,368.12,11077910,-0.54,370.47,365.50,370.66,369.10,368.12,-0.54,722.06
10/30/25,370.13,14812750,1.96,365.09,364.50,370.36,367.51,370.13,1.96,726.55
10/29/25,363.00,18891850,-0.38,369.65,361.36,370.08,368.67,363.00,-0.38,710.63
10/28/25,364.38,19257590,-0.72,361.81,360.12,365.30,363.32,364.38,-0.72,713.71
10/27/25,367.01,23657600,-2.78,371.13,365.34,371.59,365.37,367.01,-2.78,719.58
10/24/25,377.52,13263800,-0.34,378.51,376.81,380.77,377.68,377.52,-0.34,743.05
10/23/25,378.79,13695500,0.40,381.46,378.65,382.25,381.31,378.79,0.40,745.89
10/22/25,377.28,30524130,0.01,372.75,368.93,378.47,374.52,377.28,0.01,742.52
10/21/25,377.24,54101420,-6.43,386.54,375.65,388.89,383.70,377.24,-6.43,742.43
10/20/25,403.15,34523020,3.64,397.45,394.20,403.30,395.18,403.15,3.64,800.29
10/17/25,388.99,62024970,-1.88,397.14,385.22,397.28,388.79,388.99,-1.88,768.67
10/16/25,396.45,33621440,2.34,391.15,390.40,396.87,392.22,396.45,2.34,785.33
10/15/25,387.39,20598320,1.73,385.93,384.59,387.76,386.94,387.39,1.73,765.10
10/14/25,380.79,18409630,0.71,378.21,377.90,382.38,379.74,380.79,0.71,750.36
10/13/25,378.09,18514420,2.43,376.50,375.58,378.86,376.95,378.09,2.43,744.33
10/10/25,369.12,24192780,1.01,367.54,365.44,370.31,365.78,369.12,1.01,724.30
10/09/25,365.43,33674820,-1.85,373.14,362.83,373.22,369.91,365.43,-1.85,716.06
10/08/25,372.30,28052280,1.65,371.65,370.50,373.57,371.83,372.30,1.65,731.40
10/07/25,366.26,16836770,0.52,366.51,364.55,367.27,366.21,366.26,0.52,717.91
10/06/25,364.38,17093660,1.88,362.16,361.37,365.30,363.49,364.38,1.88,713.71
10/03/25,357.64,14463960,0.80,357.12,355.80,358.14,357.64,357.64,0.80,698.66
10/02/25,354.79,16162050,-0.35,358.26,351.40,358.67,356.94,354.79,-0.35,692.30
10/01/25,356.03,15573610,0.16,356.17,354.79,356.97,356.38,356.03,0.16,695.06
09/30/25,355.47,13312350,0.85,351.13,350.87,355.57,352.09,355.47,0.85,693.81
09/29/25,352.46,15719620,1.65,351.79,351.28,352.83,352.23,352.46,1.65,687.09
09/26/25,346.74,11698210,0.58,345.83,345.31,348.25,347.00,346.74,0.58,674.32
09/25/25,344.75,12639580,0.42,344.39,342.47,345.83,343.40,344.75,0.42,669.87
09/24/25,343.32,12709070,-0.91,346.70,342.14,346.83,346.24,343.32,-0.91,666.68
09/23/25,346.46,18383980,0.41,348.23,345.32,348.75,348.29,346.46,0.41,673.69
09/22/25,345.05,12386420,1.73,342.75,341.84,345.07,342.39,345.05,1.73,670.54
09/19/25,339.18,14982570,1.06,336.51,336.31,339.23,337.20,339.18,1.06,657.44
09/18/25,335.62,14913270,-0.40,336.22,333.81,336.32,335.41,335.62,-0.40,649.49
09/17/25,336.97,16535310,-0.77,338.53,335.52,341.24,338.85,336.97,-0.77,652.50
