Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,75.94,40550720,2.25,75.09,74.58,76.97,74.58,75.94,2.25,428.65
03/05/26,74.27,49446280,-1.42,74.94,73.01,75.52,76.28,74.27,-1.42,417.02
03/04/26,75.34,39022460,0.88,76.34,74.41,77.06,78.61,75.34,0.88,424.47
03/03/26,74.68,89651695,-8.45,74.21,71.68,76.14,73.65,74.68,-8.45,419.87
03/02/26,81.57,96957600,-4.02,81.17,78.34,82.37,85.71,81.57,-4.02,467.84
02/27/26,84.99,69525170,5.64,83.25,82.36,85.27,81.51,84.99,5.64,491.65
02/26/26,80.45,52050400,0.51,78.76,72.52,80.57,78.29,80.45,0.51,460.04
02/25/26,80.04,64933070,1.21,81.86,79.88,82.73,82.17,80.04,1.21,457.19
02/24/26,79.08,56012580,-1.85,78.23,77.94,79.94,79.81,79.08,-1.85,450.50
02/23/26,80.57,94752140,5.16,78.40,77.91,80.70,78.76,80.57,5.16,460.88
02/20/26,76.62,86636800,7.90,73.11,72.25,76.68,72.93,76.62,7.90,433.38
02/19/26,71.01,49022460,1.31,70.68,69.85,71.67,70.44,71.01,1.31,394.33
02/18/26,70.09,63749360,5.60,69.66,69.07,70.97,68.35,70.09,5.60,387.92
02/17/26,66.37,82561695,-4.80,67.27,65.14,67.70,67.62,66.37,-4.80,362.03
02/13/26,69.72,69570800,2.94,71.21,68.86,71.32,70.08,69.72,2.94,385.35
02/12/26,67.73,128437695,-11.53,75.19,67.36,75.67,75.67,67.73,-11.53,371.49
02/11/26,76.56,75806850,4.29,76.92,74.80,76.99,78.01,76.56,4.29,432.96
02/10/26,73.41,68588490,-3.46,74.72,72.46,75.25,74.55,73.41,-3.46,411.03
02/09/26,76.04,88229120,8.33,72.88,72.55,76.16,72.81,76.04,8.33,429.34
02/06/26,70.19,71262670,5.25,67.72,67.46,70.84,67.90,70.19,5.25,388.62
02/05/26,66.69,170928000,-15.77,68.23,65.51,70.52,71.32,66.69,-15.77,364.25
02/04/26,79.18,130805800,2.88,82.60,75.76,82.80,82.09,79.18,2.88,451.20
02/03/26,76.96,175508800,6.24,79.05,74.91,80.72,79.28,76.96,6.24,435.75
02/02/26,72.44,220063200,-3.98,73.80,68.26,74.92,74.28,72.44,-3.98,404.28
01/30/26,75.44,510687720,-28.54,89.33,69.12,92.14,93.52,75.44,-28.54,425.17
01/29/26,105.57,246351300,-0.03,109.53,96.74,109.83,107.35,105.57,-0.03,634.91
01/28/26,105.60,184566000,3.95,102.78,100.00,106.45,102.23,105.60,3.95,635.12
01/27/26,101.59,215489700,3.30,97.98,95.07,101.74,101.12,101.59,3.30,607.21
01/26/26,98.34,393030300,5.84,99.37,96.51,106.70,99.34,98.34,5.84,584.58
01/23/26,92.91,143739110,6.63,90.19,89.67,92.98,89.73,92.91,6.63,546.78
01/22/26,87.13,86965020,3.78,84.79,84.71,87.52,84.64,87.13,3.78,506.54
01/21/26,83.96,141683900,-1.67,85.60,81.89,85.90,85.97,83.96,-1.67,484.48
01/20/26,85.39,101272305,5.39,86.19,84.38,86.33,86.74,85.39,5.39,494.43
01/16/26,81.02,132767200,-2.76,80.33,78.75,81.52,82.30,81.02,-2.76,464.01
01/15/26,83.32,160702100,-1.47,80.74,80.54,84.33,82.73,83.32,-1.47,480.02
01/14/26,84.56,177419390,7.58,83.34,81.28,84.78,82.57,84.56,7.58,488.65
01/13/26,78.60,140656890,1.77,80.03,77.86,80.80,77.79,78.60,1.77,447.16
01/12/26,77.23,105429600,6.70,76.11,76.00,78.18,76.21,77.23,6.70,437.63
01/09/26,72.38,90650125,3.83,71.31,70.87,72.99,70.83,72.38,3.83,403.86
01/08/26,69.71,77918290,-1.76,67.24,66.92,69.77,68.17,69.71,-1.76,385.28
01/07/26,70.96,93679520,-3.73,69.82,69.22,71.55,71.60,70.96,-3.73,393.98
01/06/26,73.71,105539100,6.70,71.43,71.35,73.84,71.14,73.71,6.70,413.12
01/05/26,69.08,103313300,5.06,69.45,68.52,70.60,68.05,69.08,5.06,380.89
01/02/26,65.75,75553310,2.06,67.30,64.75,67.36,67.28,65.75,2.06,357.71
12/31/25,64.42,114745300,-6.61,65.54,63.53,66.88,65.27,64.42,-6.61,348.45
12/30/25,68.98,117759200,4.50,69.11,68.03,70.76,67.85,68.98,4.50,380.19
12/29/25,66.01,153207900,-7.19,65.66,63.92,66.49,67.67,66.01,-7.19,359.52
