Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,88.46,58136910,-0.37,88.32,88.02,88.94,88.42,198.63,-0.37,143.96
03/05/26,88.79,45768930,-0.40,88.63,88.51,88.94,88.78,199.38,-0.40,144.87
03/04/26,89.15,47069510,-0.31,89.27,89.10,89.44,89.12,200.18,-0.31,145.87
03/03/26,89.43,51850406,-0.20,88.98,88.94,89.67,89.41,200.81,-0.20,146.64
03/02/26,89.61,55465540,-1.33,89.98,89.36,89.99,89.57,201.22,-1.00,147.13
02/27/26,90.82,51271970,0.61,90.69,90.55,90.86,90.73,203.25,0.61,149.63
02/26/26,90.27,29447080,0.40,90.06,90.05,90.32,90.24,202.02,0.40,148.12
02/25/26,89.91,23625780,0.01,89.71,89.71,90.08,89.85,201.22,0.01,147.13
02/24/26,89.90,24933940,0.18,89.95,89.76,90.05,89.85,201.19,0.18,147.11
02/23/26,89.74,33614600,0.37,89.55,89.53,90.00,89.70,200.84,0.37,146.67
02/20/26,89.41,49610820,-0.23,89.70,88.93,89.74,89.37,200.10,-0.23,145.76
02/19/26,89.62,28658630,0.10,89.40,89.37,89.72,89.60,200.57,0.10,146.34
02/18/26,89.53,35415360,-0.38,89.69,89.47,89.86,89.48,200.37,-0.38,146.09
02/17/26,89.87,32356750,0.17,89.93,89.76,90.12,89.84,201.13,0.17,147.02
02/13/26,89.72,56785152,0.55,89.63,89.52,89.81,89.62,200.79,0.55,146.61
02/12/26,89.23,48454860,1.33,88.36,88.35,89.28,89.20,199.69,1.33,145.26
02/11/26,88.06,37014008,-0.53,88.04,87.94,88.48,88.02,197.08,-0.53,142.05
02/10/26,88.53,37253720,1.15,88.24,88.22,88.53,88.47,198.13,1.15,143.34
02/09/26,87.52,24708880,-0.02,87.20,87.03,87.58,87.48,195.87,-0.02,140.56
02/06/26,87.54,33461760,0.07,87.45,87.20,87.54,87.44,195.91,0.07,140.62
02/05/26,87.48,50268910,1.09,86.93,86.75,87.48,87.42,195.78,1.09,140.45
02/04/26,86.54,37872880,-0.25,86.63,86.46,86.78,86.52,193.67,-0.25,137.87
02/03/26,86.76,27438200,0.24,86.49,86.43,86.78,86.73,194.17,0.24,138.47
02/02/26,86.55,38171400,-0.67,87.02,86.55,87.06,86.56,193.70,-0.28,137.90
01/30/26,87.13,45832190,-0.56,87.38,87.13,87.56,87.13,194.25,-0.56,138.58
01/29/26,87.62,43854980,0.02,87.15,87.08,87.74,87.59,195.34,0.02,139.92
01/28/26,87.60,38750300,-0.23,87.51,87.29,87.70,87.58,195.30,-0.23,139.86
01/27/26,87.80,35180130,-0.62,88.11,87.68,88.25,87.76,195.74,-0.62,140.41
01/26/26,88.35,38882360,0.48,88.40,88.20,88.49,88.30,196.97,0.48,141.92
01/23/26,87.93,35968800,0.27,87.83,87.50,88.03,87.87,196.03,0.27,140.77
01/22/26,87.69,42419290,0.44,87.27,87.14,87.76,87.67,195.50,0.44,140.11
01/21/26,87.31,51220130,0.76,86.80,86.62,87.48,87.32,194.65,0.76,139.07
01/20/26,86.65,66009540,-1.31,86.63,86.54,87.03,86.66,193.18,-1.31,137.26
01/16/26,87.80,46382400,-0.58,88.13,87.71,88.32,87.74,195.74,-0.58,140.41
01/15/26,88.31,37988940,-0.02,88.64,88.31,88.66,88.30,196.88,-0.02,141.81
01/14/26,88.33,39233480,0.58,87.91,87.89,88.43,88.31,196.92,0.58,141.86
01/13/26,87.82,30451400,0.17,87.88,87.54,87.91,87.77,195.79,0.17,140.47
01/12/26,87.67,36103070,-0.30,87.50,87.41,87.91,87.62,195.45,-0.30,140.06
01/09/26,87.93,57348793,0.66,87.30,87.12,88.00,87.86,196.03,0.66,140.77
01/08/26,87.35,28204900,-0.50,87.33,87.25,87.55,87.30,194.74,-0.50,139.18
01/07/26,87.79,39930910,0.58,87.84,87.48,88.01,87.77,195.72,0.58,140.38
01/06/26,87.28,39015180,-0.21,87.15,86.90,87.34,87.28,194.58,-0.21,138.99
01/05/26,87.46,30178030,0.49,87.18,87.11,87.52,87.41,194.99,0.49,139.48
01/02/26,87.03,40731246,-0.15,87.40,87.02,87.41,87.03,194.03,-0.15,138.30
12/31/25,87.16,36500040,-0.80,87.68,87.13,87.91,87.21,194.32,-0.80,138.66
12/30/25,87.86,25106780,-0.24,87.74,87.67,88.04,87.84,195.88,-0.24,140.58
12/29/25,88.07,29399820,0.38,87.95,87.79,88.07,87.99,196.35,0.38,141.15
12/26/25,87.74,26522730,-0.33,88.10,87.60,88.17,87.70,195.61,-0.33,140.25
12/24/25,88.03,25942010,0.61,87.76,87.65,88.08,87.96,196.26,0.61,141.04
12/23/25,87.50,33624060,0.16,87.07,87.03,87.58,87.48,195.07,0.16,139.59
12/22/25,87.36,25547130,-0.22,87.42,87.25,87.46,87.31,194.76,-0.22,139.21
12/19/25,87.55,37858080,-0.76,87.61,87.41,87.76,87.41,195.19,-0.37,139.73
12/18/25,88.22,39048887,0.48,88.13,88.07,88.38,88.18,195.91,0.48,140.62
12/17/25,87.80,24668310,-0.09,87.63,87.58,87.99,87.80,194.98,-0.09,139.47
12/16/25,87.88,41018680,0.55,87.19,87.17,87.92,87.88,195.16,0.55,139.69
12/15/25,87.40,28611790,0.07,87.72,87.39,87.88,87.39,194.09,0.07,138.38
12/12/25,87.34,47030120,-0.96,87.38,87.19,87.50,87.30,193.96,-0.96,138.22
12/11/25,88.19,26778690,-0.14,88.69,88.16,88.83,88.16,195.85,-0.14,140.54
12/10/25,88.31,46833510,0.39,88.00,87.86,88.52,88.24,196.11,0.39,140.87
12/09/25,87.97,25771790,0.10,88.34,87.84,88.35,87.93,195.36,0.10,139.94
12/08/25,87.88,32255200,-0.33,88.19,87.56,88.20,87.87,195.16,-0.33,139.69
12/05/25,88.17,32808070,-0.46,88.55,88.05,88.55,88.11,195.80,-0.46,140.48
12/04/25,88.58,25541460,-0.54,88.91,88.48,88.93,88.56,196.71,-0.54,141.60
12/03/25,89.06,23278580,0.28,88.92,88.74,89.16,89.02,197.78,0.28,142.91
12/02/25,88.81,27605680,0.05,88.58,88.46,88.96,88.79,197.22,0.05,142.23
12/01/25,88.77,47086650,-1.60,88.85,88.71,88.99,88.74,197.13,-1.24,142.12
11/28/25,90.21,40704290,-0.47,90.46,89.95,90.53,90.14,199.61,-0.47,145.16
11/26/25,90.64,34098960,0.44,90.15,89.83,90.64,90.57,200.56,0.44,146.33
11/25/25,90.24,36503340,0.26,90.31,90.13,90.59,90.22,199.68,0.26,145.24
11/24/25,90.01,30865700,0.57,89.95,89.78,90.07,89.95,199.17,0.57,144.62
11/21/25,89.50,41938633,0.30,89.65,89.20,89.67,89.43,198.04,0.30,143.23
11/20/25,89.23,32945000,0.39,88.99,88.99,89.42,89.22,197.44,0.39,142.50
11/19/25,88.88,25782380,-0.20,89.23,88.85,89.31,88.89,196.67,-0.20,141.55
11/18/25,89.06,31967440,-0.03,89.35,88.80,89.45,89.01,197.07,-0.03,142.04
11/17/25,89.09,25605780,0.25,89.08,88.98,89.30,89.08,197.13,0.25,142.12
11/14/25,88.87,38550500,-0.57,89.79,88.87,89.84,88.84,196.65,-0.57,141.52
11/13/25,89.38,33825910,-0.82,89.80,89.38,89.94,89.37,197.77,-0.82,142.91
11/12/25,90.12,23594940,0.18,89.95,89.88,90.32,90.08,199.41,0.18,144.92
11/11/25,89.96,18942300,0.46,89.95,89.78,90.07,90.00,199.06,0.46,144.48
11/10/25,89.55,24093450,-0.02,89.49,89.39,89.67,89.49,198.15,-0.02,143.37
11/07/25,89.57,28530050,-0.21,89.36,89.36,89.87,89.53,198.20,-0.21,143.42
11/06/25,89.76,33027350,0.90,89.56,89.53,89.85,89.74,198.62,0.90,143.94
11/05/25,88.96,44643440,-1.09,89.51,88.88,89.55,88.91,196.85,-1.09,141.77
11/04/25,89.94,26383780,0.22,89.78,89.74,90.06,89.91,199.01,0.22,144.43
11/03/25,89.74,40752280,-0.61,89.62,89.42,89.82,89.69,198.57,-0.25,143.89
10/31/25,90.29,38247273,-0.30,90.56,90.20,90.66,90.26,199.07,-0.30,144.49
10/30/25,90.56,42649220,-0.58,90.39,90.35,90.97,90.56,199.66,-0.58,145.23
10/29/25,91.09,39551594,-1.01,91.88,91.02,91.89,91.03,200.83,-1.01,146.66
10/28/25,92.02,23564520,0.26,91.85,91.81,92.18,91.99,202.88,0.26,149.18
10/27/25,91.78,30033570,0.34,91.32,91.09,91.79,91.74,202.35,0.34,148.53
10/24/25,91.47,28265990,0.04,91.59,91.16,91.60,91.39,201.67,0.04,147.69
10/23/25,91.43,28275140,-0.68,91.61,91.29,91.79,91.43,201.58,-0.68,147.58
10/22/25,92.06,30496150,0.07,91.99,91.82,92.18,92.05,202.97,0.07,149.29
10/21/25,92.00,24514340,0.49,91.99,91.91,92.19,91.97,202.84,0.49,149.12
10/20/25,91.55,28429280,0.38,91.46,91.28,91.56,91.51,201.85,0.38,147.91
10/17/25,91.20,40240380,-0.15,91.25,90.90,91.29,91.13,201.07,-0.15,146.96
10/16/25,91.34,39631152,0.75,90.52,90.45,91.50,91.33,201.38,0.75,147.34
10/15/25,90.66,31333910,-0.22,90.96,90.47,91.30,90.63,199.88,-0.22,145.50
10/14/25,90.86,29800000,0.32,90.65,90.43,90.92,90.84,200.32,0.32,146.04
