Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,12.75,26319090,5.81,12.53,12.40,13.19,12.83,12.75,5.81,-99.80
03/05/26,12.05,12980650,2.29,11.90,11.76,12.26,12.09,12.05,2.29,-99.81
03/04/26,11.78,12522620,-4.07,11.85,11.64,11.95,11.74,11.78,-4.07,-99.82
03/03/26,12.28,20735470,2.33,12.78,12.04,12.83,12.29,12.28,2.33,-99.81
03/02/26,12.00,17168310,4.17,11.93,11.72,12.04,11.91,12.00,4.17,-99.81
02/27/26,11.52,7456960,1.23,11.51,11.37,11.60,11.51,11.52,1.23,-99.82
02/26/26,11.38,10337420,-1.90,11.30,11.17,11.42,11.37,11.38,-1.90,-99.82
02/25/26,11.60,7762145,1.22,11.64,11.52,11.79,11.54,11.60,1.22,-99.82
02/24/26,11.46,7831829,-2.39,11.60,11.38,11.70,11.39,11.46,-2.39,-99.82
02/23/26,11.74,9403220,-2.25,12.09,11.73,12.15,11.75,11.74,-2.25,-99.82
02/20/26,12.01,10273970,1.78,11.88,11.81,12.37,12.00,12.01,1.78,-99.81
02/19/26,11.80,9977218,-0.59,12.04,11.78,12.08,11.85,11.80,-0.59,-99.82
02/18/26,11.87,9852702,-0.25,11.78,11.54,11.90,11.80,11.87,-0.25,-99.82
02/17/26,11.90,9544892,-4.34,11.90,11.79,12.04,11.82,11.90,-4.34,-99.82
02/13/26,12.44,8884673,0.08,12.23,12.23,12.61,12.53,12.44,0.08,-99.81
02/12/26,12.43,12602990,0.89,12.74,12.34,12.82,12.44,12.43,0.89,-99.81
02/11/26,12.32,10364130,1.57,12.06,12.02,12.42,12.25,12.32,1.57,-99.81
02/10/26,12.13,9267981,-0.33,12.30,12.06,12.47,12.08,12.13,-0.33,-99.81
02/09/26,12.17,11649900,-8.29,12.20,12.11,12.50,12.17,12.17,-8.29,-99.81
02/06/26,13.27,13699560,-1.85,13.69,13.21,13.97,13.27,13.27,-1.85,-99.79
02/05/26,13.52,17260040,0.45,13.54,12.92,13.68,13.61,13.52,0.45,-99.79
02/04/26,13.46,13198630,3.70,13.59,13.13,13.61,13.43,13.46,3.70,-99.79
02/03/26,12.98,13787280,2.20,12.70,12.66,13.16,12.84,12.98,2.20,-99.80
02/02/26,12.70,43704030,-24.85,13.76,12.26,13.90,12.55,12.70,-24.85,-99.80
01/30/26,16.90,35010633,12.22,15.84,15.67,17.03,16.88,16.90,12.22,-99.74
01/29/26,15.06,28675360,3.65,14.76,14.47,15.22,15.19,15.06,3.65,-99.77
01/28/26,14.53,32750400,-1.16,14.46,14.30,15.11,14.47,14.53,-1.16,-99.78
01/27/26,14.70,31400260,-0.88,14.42,14.19,15.17,14.81,14.70,-0.88,-99.77
01/26/26,14.83,46425300,6.16,14.26,14.15,15.19,15.11,14.83,6.16,-99.77
01/23/26,13.97,26751640,4.02,14.16,13.70,14.17,13.98,13.97,4.02,-99.78
01/22/26,13.43,51397610,-1.54,14.22,13.38,14.37,13.86,13.43,-1.54,-99.79
01/21/26,13.64,54623260,10.27,13.62,13.03,13.74,13.70,13.64,10.27,-99.79
01/20/26,12.37,50395620,19.75,12.32,11.97,12.54,12.53,12.37,19.75,-99.81
01/16/26,10.33,14915770,0.29,10.23,10.07,10.37,10.32,10.33,0.29,-99.84
01/15/26,10.30,23765260,0.59,10.20,9.95,10.40,10.31,10.30,0.59,-99.84
01/14/26,10.24,36804840,-9.54,10.57,10.17,10.57,10.33,10.24,-9.54,-99.84
01/13/26,11.32,16766720,1.25,11.14,10.97,11.42,11.32,11.32,1.25,-99.83
01/12/26,11.18,27909850,7.50,10.68,10.60,11.35,11.29,11.18,7.50,-99.83
01/09/26,10.40,41104680,-7.72,11.05,10.38,11.12,10.49,10.40,-7.72,-99.84
01/08/26,11.27,25829890,-4.33,11.48,11.11,11.48,11.28,11.27,-4.33,-99.83
01/07/26,11.78,15261920,4.43,11.54,11.46,11.88,11.67,11.78,4.43,-99.82
01/06/26,11.28,27092900,-3.01,11.25,11.01,11.32,11.09,11.28,-3.01,-99.83
01/05/26,11.63,27807120,-3.57,11.24,11.20,11.68,11.66,11.63,-3.57,-99.82
01/02/26,12.06,16673860,-1.63,11.88,11.80,12.26,11.97,12.06,-1.63,-99.81
12/31/25,12.26,19900790,-6.55,12.59,12.18,12.64,12.20,12.26,-6.55,-99.81
12/30/25,13.12,28028610,0.54,13.67,13.01,13.68,13.14,13.12,0.54,-99.80
12/29/25,13.05,20827730,1.87,12.99,12.88,13.33,13.19,13.05,1.87,-99.80
