Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,65.28,18824880,-0.78,64.64,64.41,65.60,,115.19,-0.78,144.21
03/05/26,65.79,22639810,-2.36,66.33,65.11,66.68,65.99,116.09,-2.36,146.12
03/04/26,67.38,33681860,1.16,66.80,66.59,67.53,66.99,118.90,1.16,152.07
03/03/26,66.61,28277940,-3.48,65.76,64.92,66.93,66.69,117.54,-3.48,149.19
03/02/26,69.01,18858270,-1.75,68.57,68.49,69.30,69.23,121.78,-1.75,158.16
02/27/26,70.24,30903020,-0.10,70.31,70.08,70.55,70.30,123.95,-0.10,162.77
02/26/26,70.31,19692700,0.07,70.37,69.72,70.44,70.18,124.07,0.07,163.03
02/25/26,70.26,12223330,1.15,70.00,69.91,70.33,70.10,123.98,1.15,162.84
02/24/26,69.46,19624000,0.40,69.15,69.06,69.64,69.45,122.57,0.40,159.85
02/23/26,69.18,13441430,-0.49,69.44,68.99,69.66,69.01,122.08,-0.49,158.80
02/20/26,69.52,15188790,1.06,68.79,68.77,69.56,69.40,122.68,1.06,160.07
02/19/26,68.79,13326810,-0.03,68.44,68.30,68.80,68.73,121.39,-0.03,157.34
02/18/26,68.81,11508380,0.34,68.75,68.64,69.15,68.72,121.42,0.34,157.42
02/17/26,68.58,19239930,-0.26,68.26,67.83,68.75,68.48,121.02,-0.26,156.56
02/13/26,68.76,23531710,0.38,68.41,68.02,68.87,68.59,121.34,0.38,157.23
02/12/26,68.50,19882030,-0.80,69.30,68.30,69.40,68.27,120.88,-0.80,156.26
02/11/26,69.05,18412350,0.74,69.06,68.46,69.18,68.90,121.85,0.74,158.31
02/10/26,68.54,16400390,0.25,68.75,68.51,68.77,68.43,120.95,0.25,156.41
02/09/26,68.37,21223430,1.48,67.73,67.69,68.45,68.35,120.65,1.48,155.77
02/06/26,67.37,13752030,2.23,66.74,66.68,67.39,67.25,118.88,2.23,152.03
02/05/26,65.90,23248930,-1.35,66.06,65.80,66.48,65.84,116.29,-1.35,146.53
02/04/26,66.80,27908370,0.12,67.35,66.52,67.47,66.76,117.88,0.12,149.90
02/03/26,66.72,24292460,0.39,66.59,66.14,66.87,66.64,117.74,0.39,149.60
02/02/26,66.46,20450670,0.39,66.04,66.01,66.51,66.34,117.28,0.39,148.63
01/30/26,66.20,28904490,-1.30,66.77,65.93,66.88,66.16,116.82,-1.30,147.65
01/29/26,67.07,31529840,0.52,67.33,66.24,67.39,67.02,118.35,0.52,150.91
01/28/26,66.72,22542250,-0.66,66.84,66.34,66.92,66.77,117.74,-0.66,149.60
01/27/26,67.16,22799000,1.63,66.76,66.75,67.27,67.14,118.51,1.63,151.24
01/26/26,66.08,18359040,0.46,66.20,66.05,66.34,66.07,116.61,0.46,147.20
01/23/26,65.78,22542380,0.64,65.24,65.11,65.82,65.78,116.08,0.64,146.08
01/22/26,65.36,19657830,0.54,65.32,65.14,65.48,65.31,115.34,0.54,144.51
01/21/26,65.01,31394520,1.15,64.60,64.34,65.19,64.82,114.72,1.15,143.20
01/20/26,64.27,22693470,-1.34,64.35,64.16,64.71,64.20,113.41,-1.34,140.43
01/16/26,65.14,18226960,0.28,65.15,64.83,65.16,65.06,114.95,0.28,143.69
01/15/26,64.96,22070650,0.14,65.11,64.92,65.18,64.94,114.63,0.14,143.01
01/14/26,64.87,41203100,0.48,64.76,64.64,64.89,64.74,114.47,0.48,142.68
01/13/26,64.56,21135770,-0.55,64.82,64.42,64.84,64.54,113.92,-0.55,141.52
01/12/26,64.92,16176190,0.60,64.72,64.69,64.95,64.81,114.56,0.60,142.86
01/09/26,64.53,15461840,0.92,64.27,64.22,64.59,64.45,113.87,0.92,141.41
01/08/26,63.94,14891810,0.09,63.74,63.68,63.96,63.86,112.83,0.09,139.20
01/07/26,63.88,19224540,-0.41,64.10,63.83,64.10,63.80,112.72,-0.41,138.97
01/06/26,64.14,22562920,0.30,64.07,63.97,64.19,64.08,113.18,0.30,139.95
01/05/26,63.95,23987200,1.19,63.44,62.92,63.98,63.87,112.85,1.19,139.24
01/02/26,63.20,19524650,1.17,63.15,62.85,63.21,63.09,111.52,1.17,136.43
12/31/25,62.47,14361810,-0.51,62.75,62.43,62.75,62.42,110.24,-0.51,133.70
12/30/25,62.79,13309620,0.11,62.91,62.78,63.02,62.67,110.80,0.11,134.90
12/29/25,62.72,15346930,-0.14,62.71,62.58,62.82,62.64,110.68,-0.14,134.63
12/26/25,62.81,12049170,0.21,62.77,62.64,62.81,62.67,110.84,0.21,134.97
12/24/25,62.68,9490480,0.22,62.61,62.55,62.72,62.56,110.61,0.22,134.48
12/23/25,62.54,27124770,0.66,62.49,62.41,62.58,62.53,110.36,0.66,133.96
12/22/25,62.13,20034280,0.47,61.96,61.94,62.17,62.03,109.64,0.47,132.43
12/19/25,61.84,18316010,-1.07,61.67,61.67,62.08,61.71,109.12,0.59,131.34
12/18/25,62.51,15461490,0.79,62.60,62.39,62.85,62.42,108.48,0.79,129.98
12/17/25,62.02,16268760,-0.70,62.45,62.02,62.57,61.94,107.63,-0.70,128.18
12/16/25,62.46,26297350,-0.60,62.67,62.32,62.76,62.37,108.40,-0.60,129.80
12/15/25,62.84,19714670,0.58,63.02,62.70,63.08,62.73,109.05,0.58,131.19
12/12/25,62.48,20951410,-0.51,62.86,62.18,62.91,62.37,108.43,-0.51,129.87
12/11/25,62.80,17013210,0.42,62.64,62.56,62.92,62.76,108.99,0.42,131.05
12/10/25,62.54,16608700,1.13,61.92,61.88,62.64,62.53,108.53,1.13,130.09
12/09/25,61.84,13739260,-0.11,61.95,61.82,62.11,61.72,107.32,-0.11,127.52
12/08/25,61.91,13576970,-0.21,62.17,61.82,62.17,61.86,107.44,-0.21,127.77
12/05/25,62.04,15165220,0.15,62.21,61.95,62.32,61.95,107.67,0.15,128.25
12/04/25,61.95,11296270,0.26,62.08,61.84,62.13,61.90,107.51,0.26,127.92
12/03/25,61.79,10039910,0.54,61.50,61.50,61.82,61.75,107.23,0.54,127.33
12/02/25,61.46,16957060,0.33,61.49,61.24,61.51,61.46,106.66,0.33,126.12
12/01/25,61.26,10104710,-0.50,61.34,61.23,61.55,61.16,106.31,-0.50,125.38
11/28/25,61.57,5615396,0.47,61.34,61.26,61.58,61.50,106.85,0.47,126.52
11/26/25,61.28,10988020,1.07,60.84,60.84,61.39,61.22,106.35,1.07,125.46
11/25/25,60.63,16452840,0.95,60.16,59.95,60.64,60.47,105.22,0.95,123.06
11/24/25,60.06,24632460,0.49,59.66,59.56,60.06,59.86,104.23,0.49,120.97
11/21/25,59.77,16449330,1.48,59.38,59.12,59.92,59.67,103.73,1.48,119.90
11/20/25,58.90,19243480,-1.36,60.10,58.88,60.26,58.75,102.22,-1.36,116.70
11/19/25,59.71,14901060,-0.33,59.79,59.45,60.07,59.60,103.62,-0.33,119.68
11/18/25,59.91,21744040,-1.02,59.79,59.50,60.10,59.80,103.97,-1.02,120.41
11/17/25,60.53,11612540,-1.29,60.90,60.32,61.13,60.48,105.05,-1.29,122.70
11/14/25,61.32,11976420,-0.13,60.95,60.89,61.48,61.23,106.42,-0.13,125.60
11/13/25,61.40,13987860,-1.17,62.03,61.32,62.11,61.35,106.56,-1.17,125.90
11/12/25,62.13,11640210,0.65,61.88,61.88,62.20,62.04,107.82,0.65,128.58
11/11/25,61.73,7047340,0.62,61.55,61.51,61.82,61.63,107.13,0.62,127.11
11/10/25,61.35,10063090,1.22,61.10,60.92,61.40,61.29,106.47,1.22,125.71
11/07/25,60.61,14800710,0.31,60.17,59.95,60.61,60.49,105.18,0.31,122.99
11/06/25,60.42,14435560,-0.46,60.66,60.24,60.73,60.37,104.85,-0.46,122.29
11/05/25,60.70,9545150,0.63,60.32,60.31,60.79,60.62,105.34,0.63,123.32
11/04/25,60.32,13680210,-1.33,60.37,60.29,60.66,60.28,104.68,-1.33,121.92
11/03/25,61.13,9490563,0.25,61.17,60.87,61.17,61.14,106.09,0.25,124.90
10/31/25,60.98,10372840,-0.08,61.07,60.74,61.07,60.97,105.83,-0.08,124.35
10/30/25,61.03,13562330,-0.46,60.96,60.91,61.28,60.94,105.91,-0.46,124.54
10/29/25,61.31,16800330,-0.57,61.69,61.02,61.74,61.07,106.40,-0.57,125.57
10/28/25,61.66,13252870,-0.02,61.56,61.46,61.80,61.60,107.01,-0.02,126.85
10/27/25,61.67,16256720,0.74,61.65,61.52,61.69,61.65,107.02,0.74,126.89
10/24/25,61.22,8572387,0.33,61.22,61.12,61.31,61.16,106.24,0.33,125.23
10/23/25,61.02,6856725,0.51,60.81,60.81,61.13,60.98,105.90,0.51,124.50
10/22/25,60.71,10557420,0.03,60.75,60.44,60.90,60.62,105.36,0.03,123.36
10/21/25,60.69,8757200,-0.90,60.90,60.66,60.93,60.64,105.32,-0.90,123.28
10/20/25,61.24,7678324,0.87,60.97,60.97,61.29,61.15,106.28,0.87,125.31
10/17/25,60.71,10372520,0.08,60.47,60.33,60.76,60.62,105.36,0.08,123.36
10/16/25,60.66,13762350,0.43,60.76,60.46,60.98,60.56,105.27,0.43,123.17
10/15/25,60.40,10995410,0.70,60.31,60.02,60.55,60.29,104.82,0.70,122.22
10/14/25,59.98,14567210,0.30,59.36,59.30,60.19,59.87,104.09,0.30,120.67
10/13/25,59.80,10517250,1.05,59.54,59.48,59.87,59.73,103.78,1.05,120.01
10/10/25,59.18,14102770,-1.89,60.16,59.10,60.24,59.05,102.70,-1.89,117.73
10/09/25,60.32,12014970,-0.85,60.88,60.17,60.90,60.31,104.68,-0.85,121.92
10/08/25,60.84,10158300,0.31,60.77,60.68,60.89,60.81,105.58,0.31,123.84
10/07/25,60.65,9942881,-0.87,61.02,60.62,61.04,60.55,105.25,-0.87,123.14
10/06/25,61.18,9944525,0.20,61.19,61.07,61.32,61.13,106.17,0.20,125.09
10/03/25,61.06,10005860,0.93,60.88,60.82,61.15,60.92,105.97,0.93,124.65
10/02/25,60.50,14710380,0.22,60.63,60.18,60.67,60.47,104.99,0.22,122.59
10/01/25,60.37,13794210,0.75,60.21,60.20,60.47,60.34,104.77,0.75,122.11
09/30/25,59.92,14228170,0.35,59.64,59.62,59.98,60.04,103.99,0.35,120.45
09/29/25,59.71,12227780,0.50,59.61,59.57,59.74,59.59,103.62,0.50,119.68
09/26/25,59.41,10880620,0.59,59.19,59.18,59.42,59.33,103.10,0.59,118.58
09/25/25,59.06,14587890,-0.67,59.08,58.82,59.13,58.98,102.49,-0.67,117.29
09/24/25,59.46,10955490,-0.70,59.59,59.40,59.72,59.36,103.19,-0.70,118.76
09/23/25,59.88,13985830,-0.15,60.31,59.79,60.31,59.82,103.92,-0.15,120.30
09/22/25,59.97,10972490,0.54,59.77,59.62,60.00,59.93,104.07,0.54,120.64
09/19/25,59.65,15449270,-0.93,59.75,59.57,59.79,59.67,103.52,-0.45,119.46
09/18/25,60.21,16783520,0.32,60.07,59.86,60.27,60.12,103.99,0.32,120.46
09/17/25,60.02,12221230,-0.35,60.13,59.74,60.52,59.88,103.66,-0.35,119.76
09/16/25,60.23,15148220,-0.12,60.36,60.03,60.36,60.23,104.03,-0.12,120.53
09/15/25,60.30,22309190,0.80,60.19,60.04,60.31,60.20,104.15,0.80,120.79
09/12/25,59.82,9183407,-0.42,59.79,59.70,59.93,59.78,103.32,-0.42,119.03
09/11/25,60.07,11815920,1.11,59.59,59.59,60.09,60.00,103.75,1.11,119.95
09/10/25,59.41,10548610,0.07,59.55,59.34,59.65,59.39,102.61,0.07,117.53
09/09/25,59.37,11960760,-0.27,59.35,59.24,59.48,59.26,102.54,-0.27,117.38
09/08/25,59.53,8503409,0.97,59.38,59.23,59.56,59.43,102.82,0.97,117.97
09/05/25,58.96,12146020,0.48,59.19,58.79,59.34,58.89,101.83,0.48,115.88
09/04/25,58.68,8704977,0.62,58.45,58.37,58.70,58.65,101.35,0.62,114.86
09/03/25,58.32,14512900,0.22,58.18,58.10,58.37,58.24,100.73,0.22,113.54
09/02/25,58.19,13307920,-0.89,57.90,57.81,58.26,58.10,100.50,-0.89,113.06
08/29/25,58.71,13976650,-0.51,58.67,58.58,58.80,58.64,101.40,-0.51,114.97
08/28/25,59.01,9558821,0.41,58.99,58.86,59.07,59.01,101.92,0.41,116.07
08/27/25,58.77,8263414,-0.12,58.42,58.38,58.79,58.72,101.50,-0.12,115.19
08/26/25,58.84,10960060,0.03,58.69,58.65,58.86,58.80,101.62,0.03,115.44
08/25/25,58.82,11252260,-1.24,59.32,58.82,59.40,58.72,101.59,-1.24,115.37
08/22/25,59.56,8334072,1.62,58.85,58.83,59.67,59.50,102.87,1.62,118.08
08/21/25,58.61,9940093,-0.48,58.61,58.48,58.72,58.54,101.23,-0.48,114.60
08/20/25,58.89,10937510,0.26,58.85,58.71,58.94,58.79,101.71,0.26,115.63
08/19/25,58.74,13533790,-0.12,58.94,58.69,59.02,58.64,101.45,-0.12,115.08
08/18/25,58.81,12094020,-0.10,58.79,58.64,58.82,58.75,101.57,-0.10,115.33
08/15/25,58.87,8013566,0.44,58.92,58.79,58.95,58.82,101.68,0.44,115.55
08/14/25,58.61,9971364,-0.17,58.40,58.38,58.63,58.57,101.23,-0.17,114.60
08/13/25,58.71,8893787,0.46,58.64,58.57,58.76,58.66,101.40,0.46,114.97
08/12/25,58.44,8588205,1.12,58.00,57.92,58.45,58.38,100.93,1.12,113.98
08/11/25,57.79,10040320,-0.40,57.81,57.72,57.92,57.72,99.81,-0.40,111.60
08/08/25,58.02,7640915,0.47,57.93,57.86,58.13,57.95,100.21,0.47,112.44
08/07/25,57.75,10237820,0.72,57.92,57.48,57.94,57.73,99.74,0.72,111.45
08/06/25,57.34,8019167,0.77,57.19,57.03,57.40,57.26,99.03,0.77,109.95
08/05/25,56.90,8942726,0.18,56.90,56.69,57.00,56.82,98.27,0.18,108.34
08/04/25,56.80,12578660,1.39,56.63,56.59,56.81,56.74,98.10,1.39,107.97
08/01/25,56.02,14943560,-0.36,56.05,55.68,56.11,55.95,96.75,-0.36,105.12
07/31/25,56.22,19166540,-0.86,56.57,56.10,56.57,56.04,97.10,-0.86,105.85
07/30/25,56.71,13315280,-0.75,56.98,56.51,57.13,56.58,97.95,-0.75,107.64
07/29/25,57.14,11933980,-0.03,57.22,57.03,57.23,57.14,98.69,-0.03,109.22
07/28/25,57.16,11187670,-1.48,57.47,57.06,57.54,57.09,98.72,-1.48,109.29
07/25/25,58.02,7312674,-0.12,57.72,57.63,58.02,57.95,100.21,-0.12,112.44
07/24/25,58.09,9123824,-0.70,58.22,58.07,58.34,58.02,100.33,-0.70,112.70
07/23/25,58.50,12462640,2.13,57.96,57.91,58.52,58.39,101.04,2.13,114.20
07/22/25,57.28,12246620,0.47,57.01,56.87,57.32,57.24,98.93,0.47,109.73
07/21/25,57.01,9228813,0.65,56.95,56.85,57.26,56.87,98.46,0.65,108.74
07/18/25,56.64,7998981,-0.23,57.05,56.58,57.05,56.57,97.82,-0.23,107.39
07/17/25,56.77,12344680,0.23,56.51,56.42,56.79,56.73,98.05,0.23,107.86
07/16/25,56.64,15045300,0.48,56.37,56.18,56.65,56.47,97.82,0.48,107.39
07/15/25,56.37,9655889,-1.00,56.97,56.34,57.00,56.29,97.36,-1.00,106.40
07/14/25,56.94,10145110,0.12,56.71,56.67,56.97,56.86,98.34,0.12,108.49
07/11/25,56.87,9424760,-0.84,56.94,56.78,56.97,56.85,98.22,-0.84,108.23
07/10/25,57.35,8212128,0.07,57.21,57.08,57.39,57.33,99.05,0.07,109.99
07/09/25,57.31,9479424,0.69,57.16,57.01,57.33,57.24,98.98,0.69,109.84
07/08/25,56.92,14520540,0.73,56.72,56.61,56.98,56.88,98.31,0.73,108.41
07/07/25,56.51,15994920,-1.24,56.81,56.37,56.91,56.49,97.60,-1.24,106.91
07/03/25,57.22,7279658,0.12,57.13,57.10,57.31,57.19,98.83,0.12,109.51
07/02/25,57.15,10928250,0.32,56.77,56.67,57.16,57.13,98.71,0.32,109.26
07/01/25,56.97,14596870,-0.07,56.87,56.81,57.04,56.91,98.39,-0.07,108.60
06/30/25,57.01,15742510,0.32,56.77,56.69,57.04,57.01,98.46,0.32,108.74
06/27/25,56.83,11093440,0.62,56.80,56.58,57.05,56.79,98.15,0.62,108.08
06/26/25,56.48,15078650,1.09,56.30,56.20,56.53,56.45,97.55,1.09,106.80
06/25/25,55.87,12784190,-0.50,55.86,55.71,55.93,55.85,96.50,-0.50,104.57
06/24/25,56.15,22023220,1.32,55.90,55.82,56.21,56.07,96.98,1.32,105.59
06/23/25,55.42,25964970,0.76,54.64,54.63,55.42,55.34,95.72,0.76,102.92
06/20/25,55.00,14499620,-1.59,55.52,55.00,55.54,54.98,94.99,-0.80,101.38
06/18/25,55.89,18749610,0.27,55.98,55.77,56.19,55.78,95.76,0.27,103.02
06/17/25,55.74,12149200,-1.26,56.21,55.68,56.25,55.68,95.51,-1.26,102.47
06/16/25,56.45,13452460,0.50,56.66,56.41,56.91,56.39,96.72,0.50,105.05
06/13/25,56.17,12588170,-1.21,56.18,56.03,56.48,56.09,96.24,-1.21,104.03
06/12/25,56.86,9588467,0.78,56.73,56.65,56.90,56.86,97.42,0.78,106.54
06/11/25,56.42,16068730,-0.02,56.57,56.37,56.68,56.37,96.67,-0.02,104.94
06/10/25,56.43,10079180,0.23,56.50,56.28,56.53,56.39,96.69,0.23,104.98
06/09/25,56.30,11053540,0.04,56.22,56.19,56.50,56.32,96.46,0.04,104.50
06/06/25,56.28,9887396,0.32,56.23,56.13,56.35,56.22,96.43,0.32,104.43
06/05/25,56.10,14319680,,56.34,56.00,56.37,56.04,96.12,,103.78
06/04/25,56.10,12306400,0.52,56.01,55.95,56.26,56.05,96.12,0.52,103.78
06/03/25,55.81,16827250,-0.73,55.75,55.54,55.88,55.78,95.63,-0.73,102.72
06/02/25,56.22,11474840,1.15,55.72,55.58,56.23,56.17,96.33,1.15,104.21
05/30/25,55.58,14170830,0.13,55.53,55.18,55.66,55.56,95.23,0.13,101.89
05/29/25,55.51,11628820,0.40,55.56,55.27,55.62,55.44,95.11,0.40,101.63
05/28/25,55.29,12534790,-0.91,55.37,55.20,55.45,55.14,94.73,-0.91,100.84
05/27/25,55.80,12582420,1.40,55.87,55.70,55.90,55.70,95.61,1.40,102.69
05/23/25,55.03,12360630,0.35,54.45,54.45,55.13,55.01,94.29,0.35,99.89
05/22/25,54.84,12009280,-0.11,54.65,54.60,55.00,54.83,93.96,-0.11,99.20
05/21/25,54.90,16508210,-0.54,55.26,54.87,55.45,54.78,94.07,-0.54,99.42
05/20/25,55.20,14531380,0.47,55.03,54.99,55.22,55.12,94.58,0.47,100.51
05/19/25,54.94,9975465,0.81,54.44,54.42,54.94,54.88,94.13,0.81,99.56
05/16/25,54.50,10793710,0.22,54.36,54.21,54.53,54.49,93.38,0.22,97.97
05/15/25,54.38,9895940,1.06,54.16,54.05,54.39,54.38,93.18,1.06,97.53
05/14/25,53.81,11755430,-0.41,54.21,53.76,54.23,53.78,92.20,-0.41,95.46
05/13/25,54.03,9975775,0.17,53.86,53.81,54.16,54.07,92.58,0.17,96.26
05/12/25,53.94,12162110,0.48,53.77,53.52,53.94,53.89,92.42,0.48,95.93
05/09/25,53.68,11729540,0.66,53.79,53.51,53.79,53.62,91.98,0.66,94.99
05/08/25,53.33,12892290,-0.34,53.74,53.33,53.74,53.26,91.38,-0.34,93.72
05/07/25,53.51,10961600,-0.35,53.61,53.35,53.73,53.48,91.68,-0.35,94.37
05/06/25,53.70,17269090,-0.02,53.69,53.64,53.85,53.58,92.01,-0.02,95.06
05/05/25,53.71,8481426,0.19,53.79,53.71,53.86,53.61,92.03,0.19,95.10
05/02/25,53.61,9884449,1.82,53.54,53.46,53.76,53.57,91.86,1.82,94.73
05/01/25,52.65,9317973,-0.42,53.05,52.58,53.08,52.68,90.21,-0.42,91.25
04/30/25,52.87,10984880,-0.15,52.59,52.29,53.00,52.94,90.59,-0.15,92.05
04/29/25,52.95,11431100,0.30,52.81,52.75,53.03,52.84,90.72,0.30,92.34
04/28/25,52.79,18105020,0.69,52.50,52.46,52.83,52.77,90.45,0.69,91.75
04/25/25,52.43,7631901,0.23,52.23,52.08,52.46,52.35,89.83,0.23,90.45
04/24/25,52.31,8252264,1.28,51.90,51.77,52.32,52.28,89.63,1.28,90.01
04/23/25,51.65,10911130,0.29,51.97,51.51,52.28,51.52,88.50,0.29,87.61
04/22/25,51.50,15400310,1.96,51.22,51.14,51.72,51.34,88.24,1.96,87.07
04/21/25,50.51,13408450,-0.47,50.98,50.17,51.13,50.66,86.54,-0.47,83.47
04/17/25,50.75,9870865,1.08,50.57,50.56,51.03,50.66,86.96,1.08,84.34
04/16/25,50.21,9296832,-0.22,50.38,50.00,50.69,50.12,86.03,-0.22,82.38
