Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,326.26,106318,-1.62,326.65,323.86,327.99,,454.61,-1.62,816.37
03/05/26,331.63,174145,-2.27,336.86,327.93,337.51,331.71,462.09,-2.27,831.45
03/04/26,339.34,97932,0.41,340.04,336.70,340.57,339.38,472.84,0.41,853.11
03/03/26,337.94,267643,-2.06,338.93,332.00,339.43,337.94,470.89,-2.06,849.18
03/02/26,345.06,99073,0.94,339.66,338.82,345.71,344.99,480.81,0.94,869.17
02/27/26,341.85,73060,-0.08,338.65,337.83,341.85,341.76,476.33,-0.08,860.16
02/26/26,342.12,96304,0.59,340.90,336.25,342.34,342.03,476.71,0.59,860.92
02/25/26,340.12,76454,-0.66,343.90,337.70,343.90,339.95,473.92,-0.66,855.30
02/24/26,342.37,78987,1.30,337.69,337.06,342.71,342.25,477.06,1.30,861.62
02/23/26,337.98,109123,-1.44,341.57,336.74,341.66,337.86,470.94,-1.44,849.29
02/20/26,342.93,112122,0.42,341.19,340.07,345.10,342.75,477.84,0.42,863.19
02/19/26,341.50,89595,0.67,338.80,338.50,342.34,341.58,475.85,0.67,859.17
02/18/26,339.23,71804,0.17,339.41,337.77,341.41,339.10,472.68,0.17,852.80
02/17/26,338.64,105748,0.48,336.36,335.28,340.26,338.57,471.86,0.48,851.14
02/13/26,337.03,109642,0.84,334.93,333.65,339.23,337.10,469.62,0.84,846.62
02/12/26,334.23,130765,-1.49,341.09,333.60,345.03,334.13,465.72,-1.49,838.75
02/11/26,339.28,115774,0.61,340.50,337.23,343.19,339.18,472.75,0.61,852.94
02/10/26,337.23,109733,0.03,337.35,336.20,339.25,337.14,469.90,0.03,847.18
02/09/26,337.12,74831,0.44,335.63,335.01,338.08,337.20,469.74,0.44,846.87
02/06/26,335.64,104357,3.09,328.89,328.89,336.24,335.73,467.68,3.09,842.72
02/05/26,325.59,85487,-0.61,325.61,324.22,327.75,325.52,453.68,-0.61,814.49
02/04/26,327.60,135375,0.02,329.37,324.14,330.89,327.70,456.48,0.02,820.13
02/03/26,327.55,95846,0.97,324.95,323.04,329.33,327.47,456.41,0.97,819.99
02/02/26,324.40,80690,1.31,319.67,319.67,324.44,324.27,452.02,1.31,811.15
01/30/26,320.22,41923,-0.58,319.78,317.27,322.91,320.26,446.19,-0.58,799.40
01/29/26,322.09,79886,0.73,321.83,318.38,323.90,322.09,448.80,0.73,804.66
01/28/26,319.76,56960,-0.42,320.58,318.18,321.55,319.70,445.55,-0.42,798.11
01/27/26,321.11,48585,0.43,320.17,318.67,321.53,321.00,447.43,0.43,801.90
01/26/26,319.73,67824,-0.04,319.85,318.73,320.38,319.65,445.51,-0.04,798.03
01/23/26,319.86,88577,-0.86,322.63,319.00,322.63,319.81,445.69,-0.86,798.39
01/22/26,322.65,129994,-0.21,324.75,321.71,324.99,322.57,449.58,-0.21,806.23
01/21/26,323.34,99151,1.74,319.77,318.81,324.79,323.46,450.54,1.74,808.17
01/20/26,317.81,92416,-2.05,320.14,317.22,321.89,317.89,442.84,-2.05,792.64
01/16/26,324.45,98553,0.60,323.69,323.14,325.25,324.51,452.09,0.60,811.29
01/15/26,322.51,215986,1.14,320.77,320.77,322.94,322.43,449.39,1.14,805.84
01/14/26,318.87,59093,0.24,318.00,315.95,319.02,318.88,444.31,0.24,795.61
01/13/26,318.12,79466,0.34,318.41,317.23,319.29,318.25,443.27,0.34,793.51
01/12/26,317.04,74380,0.79,314.07,313.25,317.07,316.94,441.76,0.79,790.47
01/09/26,314.57,80176,1.35,311.94,311.94,314.91,314.50,438.32,1.35,783.54
01/08/26,310.39,202911,0.84,309.60,309.57,312.37,310.48,432.50,0.84,771.80
01/07/26,307.80,57922,-1.77,314.21,307.63,314.21,307.71,428.89,-1.77,764.52
01/06/26,313.34,152542,1.35,308.50,307.40,313.47,313.25,436.61,1.35,780.08
01/05/26,309.17,62853,1.53,305.57,305.57,310.54,309.06,430.80,1.53,768.37
01/02/26,304.50,91478,2.05,299.61,298.93,304.64,304.59,424.29,2.05,755.25
12/31/25,298.38,74281,-0.96,301.51,298.38,301.92,298.41,415.76,-0.96,738.06
12/30/25,301.28,44657,-0.36,302.45,301.15,302.74,301.26,419.80,-0.36,746.21
12/29/25,302.38,81155,-0.37,302.82,301.93,303.69,302.42,421.34,-0.37,749.30
12/26/25,303.51,30280,-0.18,304.10,302.71,304.10,303.44,422.91,-0.18,752.47
12/24/25,304.05,21456,0.26,303.21,303.01,304.57,304.16,423.66,0.26,753.99
12/23/25,303.25,61319,-0.10,303.28,302.54,303.78,303.31,422.55,-0.10,751.74
12/22/25,303.56,141268,1.27,301.88,301.18,303.84,303.65,422.98,1.27,752.61
12/19/25,299.75,64986,0.93,297.73,297.73,300.26,299.89,417.67,0.93,741.91
12/18/25,297.00,47375,0.76,297.52,296.43,299.56,296.90,413.84,0.76,734.19
12/17/25,294.76,64445,-1.96,299.43,294.51,300.55,294.62,410.72,-1.69,727.90
12/16/25,300.65,54021,-0.57,302.13,299.20,302.93,300.58,417.77,-0.57,742.11
12/15/25,302.37,107287,0.06,304.18,301.73,304.18,302.21,420.16,0.06,746.93
12/12/25,302.20,38856,-1.07,306.49,301.42,306.49,302.24,419.93,-1.07,746.45
12/11/25,305.47,40550,1.19,301.62,301.18,305.63,305.41,424.47,1.19,755.61
12/10/25,301.87,37928,1.98,297.07,297.07,303.01,301.73,419.47,1.98,745.53
12/09/25,296.02,31647,-0.83,297.91,296.01,299.30,296.05,411.34,-0.83,729.14
12/08/25,298.49,38144,-0.22,299.56,297.71,299.99,298.32,414.77,-0.22,736.06
12/05/25,299.15,67258,-0.23,299.82,298.11,300.16,299.10,415.69,-0.23,737.91
12/04/25,299.84,88050,0.74,297.76,297.31,300.75,299.75,416.65,0.74,739.84
12/03/25,297.64,28142,0.96,295.30,294.30,297.64,297.55,413.59,0.96,733.68
12/02/25,294.81,35533,0.67,294.53,293.15,295.67,294.72,409.66,0.67,725.75
12/01/25,292.86,33946,-1.38,294.39,292.51,295.59,292.63,406.95,-1.38,720.29
11/28/25,296.95,15412,0.62,295.96,295.28,297.11,296.79,412.63,0.62,731.75
11/26/25,295.11,34612,0.64,293.39,293.33,296.72,295.04,410.07,0.64,726.60
11/25/25,293.23,64586,1.52,289.43,287.59,293.61,293.15,407.46,1.52,721.33
11/24/25,288.84,84485,0.53,287.93,286.55,289.68,288.80,401.36,0.53,709.03
11/21/25,287.32,82925,1.41,284.21,282.03,288.40,287.13,399.25,1.41,704.78
11/20/25,283.32,136519,-1.79,292.36,283.01,293.16,283.13,393.69,-1.79,693.57
11/19/25,288.48,122378,0.44,287.45,287.22,289.62,288.42,400.86,0.44,708.02
11/18/25,287.22,134495,-0.37,286.98,285.52,289.05,287.29,399.11,-0.37,704.50
11/17/25,288.28,84378,-1.33,291.56,287.17,292.38,288.35,400.58,-1.33,707.46
11/14/25,292.17,70464,0.09,289.98,289.12,293.93,292.12,405.99,0.09,718.36
11/13/25,291.91,52086,-1.94,297.11,291.30,297.80,291.98,405.63,-1.94,717.63
11/12/25,297.70,27392,0.06,298.32,297.63,300.24,297.73,413.67,0.06,733.85
11/11/25,297.53,67375,-0.17,298.04,296.15,298.53,297.46,413.44,-0.17,733.37
11/10/25,298.04,32295,0.73,297.84,294.80,298.80,297.93,414.15,0.73,734.80
11/07/25,295.88,59490,0.52,292.51,291.21,296.17,295.95,411.14,0.52,728.75
11/06/25,294.35,44363,-0.84,297.18,293.93,297.66,294.39,409.02,-0.84,724.47
11/05/25,296.83,126341,0.64,294.31,294.31,298.48,296.89,412.46,0.64,731.41
11/04/25,294.95,77781,-1.40,295.33,293.73,296.29,295.04,409.85,-1.40,726.15
11/03/25,299.13,62741,-0.42,300.28,296.75,300.28,298.97,415.66,-0.42,737.85
10/31/25,300.39,50799,0.37,299.43,298.69,301.17,300.24,417.41,0.37,741.38
10/30/25,299.30,44298,-0.48,299.25,299.01,303.51,299.17,415.89,-0.48,738.32
10/29/25,300.73,86094,0.36,300.11,299.34,303.22,300.66,417.88,0.36,742.34
10/28/25,299.66,68539,-0.67,301.79,299.62,302.33,299.56,416.40,-0.67,739.34
10/27/25,301.69,53329,0.44,302.86,300.52,302.86,301.68,419.22,0.44,745.03
10/24/25,300.38,33193,0.39,301.88,300.26,301.93,300.34,417.39,0.39,741.34
10/23/25,299.20,56286,1.51,295.72,295.72,299.53,299.14,415.76,1.51,738.05
10/22/25,294.74,52751,-1.51,299.67,293.80,300.00,294.65,409.56,-1.51,725.56
10/21/25,299.25,48052,0.76,297.30,297.30,300.52,299.33,415.83,0.76,738.19
10/20/25,296.98,38119,1.33,295.20,295.14,297.50,297.02,412.67,1.33,731.83
10/17/25,293.07,46643,-0.15,292.66,291.58,294.62,293.15,407.24,-0.15,720.88
10/16/25,293.52,35857,-0.73,296.90,292.27,296.90,293.54,407.86,-0.73,722.14
10/15/25,295.68,57794,-0.32,298.19,294.07,299.47,295.68,410.87,-0.32,728.19
10/14/25,296.62,63798,1.23,290.06,290.00,297.99,296.50,412.17,1.23,730.82
10/13/25,293.01,48230,1.35,291.88,291.48,293.99,292.95,407.16,1.35,720.71
10/10/25,289.12,71064,-2.30,296.79,289.04,297.77,289.03,401.75,-2.30,709.82
10/09/25,295.93,39059,-1.43,300.31,295.33,300.99,295.81,411.21,-1.43,728.89
10/08/25,300.22,29817,0.99,298.14,296.81,300.50,300.08,417.17,0.99,740.91
10/07/25,297.28,52260,-0.65,299.42,296.18,300.14,297.06,413.09,-0.65,732.67
10/06/25,299.22,35182,0.52,299.06,297.20,299.69,299.10,415.78,0.52,738.11
10/03/25,297.66,36107,0.23,297.30,296.91,299.58,297.53,413.62,0.23,733.74
10/02/25,296.99,31493,0.38,296.14,294.92,297.84,296.86,412.69,0.38,731.86
10/01/25,295.87,83783,-0.14,294.55,294.25,296.37,295.97,411.13,-0.14,728.72
09/30/25,296.29,59750,0.91,293.08,293.08,296.37,296.21,411.71,0.91,729.90
09/29/25,293.63,62639,0.27,295.35,292.81,295.35,293.69,408.02,0.27,722.45
09/26/25,292.83,46380,0.86,291.87,291.86,294.17,292.82,406.91,0.86,720.21
09/25/25,290.34,41635,-0.67,290.76,288.87,290.88,290.25,403.45,-0.67,713.23
09/24/25,292.31,34514,-0.96,295.09,292.31,295.09,292.27,406.18,-0.71,718.75
09/23/25,295.14,110441,-0.16,296.48,293.99,297.92,295.07,409.09,-0.16,724.61
09/22/25,295.61,62198,0.46,293.79,292.83,295.99,295.54,409.74,0.46,725.93
09/19/25,294.25,33710,0.07,294.97,292.15,294.97,294.15,407.86,0.07,722.13
