Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,34.45,10391320,13.51,32.72,31.82,34.59,,34.45,13.51,-99.99
03/05/26,30.35,7283979,6.38,29.37,28.91,31.68,30.39,30.35,6.38,-100.00
03/04/26,28.53,4356918,-3.39,29.23,28.03,29.52,28.49,28.53,-3.39,-100.00
03/03/26,29.53,10414820,4.64,30.51,28.78,32.59,29.59,29.53,4.64,-100.00
03/02/26,28.22,5620466,1.29,29.61,27.76,29.67,28.23,28.22,1.29,-100.00
02/27/26,27.86,4433459,3.92,28.22,27.40,28.55,27.92,27.86,3.92,-100.00
02/26/26,26.81,3963760,1.02,26.33,26.33,27.92,26.87,26.81,1.02,-100.00
02/25/26,26.54,1926371,-3.77,27.04,26.49,27.14,26.49,26.54,-3.77,-100.00
02/24/26,27.58,2232509,-3.13,28.44,27.42,28.77,27.50,27.58,-3.13,-100.00
02/23/26,28.47,3630288,3.91,27.51,27.14,28.69,28.54,28.47,3.91,-100.00
02/20/26,27.40,4706143,-2.32,28.50,27.11,28.74,27.42,27.40,-2.32,-100.00
02/19/26,28.05,3777579,2.48,28.05,27.85,28.64,28.12,28.05,2.48,-100.00
02/18/26,27.37,3680765,0.26,27.41,26.72,27.75,27.32,27.37,0.26,-100.00
02/17/26,27.30,6811668,-3.57,28.52,27.12,29.25,27.40,27.30,-3.57,-100.00
02/13/26,28.31,7736458,1.47,27.86,26.89,28.79,28.25,28.31,1.47,-100.00
02/12/26,27.90,6230014,6.33,26.01,25.83,27.98,27.95,27.90,6.33,-100.00
02/11/26,26.24,3051677,-0.38,25.73,25.65,26.87,26.18,26.24,-0.38,-100.00
02/10/26,26.34,1978984,2.05,25.86,25.71,26.35,26.29,26.34,2.05,-100.00
02/09/26,25.81,3118517,-3.37,26.57,25.70,26.72,25.72,25.81,-3.37,-100.00
02/06/26,26.71,4245797,-6.02,27.59,26.46,27.67,26.62,26.71,-6.02,-100.00
02/05/26,28.42,5986242,6.24,27.82,27.19,28.82,28.45,28.42,6.24,-100.00
02/04/26,26.75,6133407,1.44,26.22,26.05,27.92,26.80,26.75,1.44,-100.00
02/03/26,26.37,5684528,4.31,25.51,25.38,27.54,26.37,26.37,4.31,-100.00
02/02/26,25.28,3333498,-5.35,26.45,25.21,26.45,25.28,25.28,-5.35,-100.00
01/30/26,26.71,4067080,1.67,26.60,25.94,26.99,26.66,26.71,1.67,-100.00
01/29/26,26.27,3858616,0.69,26.44,26.26,27.87,26.32,26.27,0.69,-100.00
01/28/26,26.09,2679269,,25.95,25.74,26.46,26.09,26.09,,-100.00
01/27/26,26.09,1737605,1.79,25.61,25.42,26.10,26.07,26.09,1.79,-100.00
01/26/26,25.63,2248848,-0.19,25.66,25.32,25.77,25.64,25.63,-0.19,-100.00
01/23/26,25.68,2458546,1.82,25.53,25.05,25.77,25.72,25.68,1.82,-100.00
01/22/26,25.22,1963851,-2.40,25.48,25.20,25.86,25.23,25.22,-2.40,-100.00
01/21/26,25.84,6293390,-9.21,27.29,25.58,27.68,25.82,25.84,-9.21,-100.00
01/20/26,28.46,8552321,11.17,27.86,26.84,28.95,28.60,28.46,11.17,-100.00
01/16/26,25.60,2168477,0.47,25.35,25.25,25.84,25.64,25.60,0.47,-100.00
01/15/26,25.48,2505866,-2.97,25.46,25.22,25.67,25.52,25.48,-2.97,-100.00
01/14/26,26.26,5313826,2.46,26.29,26.04,26.98,26.33,26.26,2.46,-100.00
01/13/26,25.63,3057054,2.40,24.92,24.88,25.92,25.66,25.63,2.40,-100.00
01/12/26,25.03,1563901,0.20,25.48,24.97,25.49,24.99,25.03,0.20,-100.00
01/09/26,24.98,2694934,-1.42,25.32,24.81,25.61,24.94,24.98,-1.42,-100.00
01/08/26,25.34,3371805,-1.32,25.78,25.21,25.82,25.38,25.34,-1.32,-100.00
01/07/26,25.68,3168572,1.66,25.31,25.31,25.80,25.65,25.68,1.66,-100.00
01/06/26,25.26,1514750,-1.21,25.53,25.15,25.56,25.25,25.26,-1.21,-100.00
01/05/26,25.57,1918018,1.43,25.10,24.95,25.57,25.53,25.57,1.43,-100.00
01/02/26,25.21,2317579,-1.68,25.23,25.14,25.72,25.24,25.21,-1.68,-100.00
12/31/25,25.64,2132689,0.67,25.49,25.27,26.20,25.73,25.64,0.67,-100.00
12/30/25,25.47,1363173,-1.51,25.75,25.37,25.75,25.50,25.47,-1.51,-100.00
12/29/25,25.86,1921590,-1.07,26.41,25.63,26.41,25.83,25.86,-1.07,-100.00
12/26/25,26.14,1456372,-0.19,26.05,26.04,26.48,26.15,26.14,-0.19,-100.00
12/24/25,26.19,882759,-0.11,26.16,26.04,26.31,26.18,26.19,-0.11,-100.00
12/23/25,26.22,1528598,0.38,26.35,26.08,26.35,26.25,26.22,0.38,-100.00
12/22/25,26.12,2567491,-3.44,26.47,25.97,26.61,26.12,26.12,-3.44,-100.00
12/19/25,27.05,2572752,-3.77,27.86,26.85,27.86,27.00,27.05,-3.77,-100.00
12/18/25,28.11,2495767,-3.27,28.35,27.91,28.79,28.11,28.11,-3.27,-100.00
12/17/25,29.06,2698102,1.72,28.48,28.15,29.18,29.04,29.06,1.72,-100.00
12/16/25,28.57,2994617,-0.42,28.77,28.40,29.29,28.59,28.57,-0.42,-100.00
12/15/25,28.69,2748227,-0.10,28.38,28.27,29.34,28.63,28.69,-0.10,-100.00
12/12/25,28.72,4741917,0.24,28.47,28.24,29.98,28.66,28.72,0.24,-100.00
12/11/25,28.65,2473134,-1.41,29.40,28.60,29.93,28.61,28.65,-1.41,-100.00
12/10/25,29.06,3403200,-4.03,30.42,28.97,30.61,29.05,29.06,-4.03,-100.00
