Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,91.44,8733211,0.02,91.45,91.44,91.45,,117.65,0.02,28.41
03/05/26,91.42,9248953,0.01,91.42,91.41,91.42,91.41,117.62,0.01,28.38
03/04/26,91.41,9932489,0.01,91.41,91.40,91.41,91.40,117.61,0.01,28.36
03/03/26,91.40,11602920,0.01,91.40,91.39,91.40,91.40,117.59,0.01,28.35
03/02/26,91.39,15489300,-0.25,91.39,91.38,91.39,91.39,117.58,0.01,28.34
02/27/26,91.62,11530650,0.02,91.62,91.62,91.63,91.62,117.57,0.02,28.32
02/26/26,91.60,6447688,0.01,91.59,91.59,91.60,91.59,117.54,0.01,28.29
02/25/26,91.59,6009103,0.01,91.59,91.58,91.59,91.59,117.53,0.01,28.28
02/24/26,91.58,5476101,0.02,91.58,91.57,91.58,91.58,117.51,0.02,28.26
02/23/26,91.56,7714949,,91.57,91.56,91.57,91.57,117.49,,28.23
02/20/26,91.56,6518152,0.03,91.57,91.56,91.57,91.56,117.49,0.03,28.23
02/19/26,91.53,4941787,,91.53,91.53,91.54,91.53,117.45,,28.19
02/18/26,91.53,8752803,0.01,91.52,91.52,91.53,91.52,117.45,0.01,28.19
02/17/26,91.52,6709963,0.01,91.52,91.51,91.52,91.52,117.44,0.01,28.18
02/13/26,91.51,9832514,0.04,91.50,91.50,91.51,91.51,117.42,0.04,28.16
02/12/26,91.47,6366270,,91.48,91.47,91.48,91.47,117.37,,28.11
02/11/26,91.47,5732270,0.02,91.46,91.46,91.47,91.46,117.37,0.02,28.11
02/10/26,91.45,7085342,0.01,91.46,91.45,91.46,91.45,117.35,0.01,28.08
02/09/26,91.44,9180305,,91.44,91.44,91.45,91.45,117.33,,28.07
02/06/26,91.44,12369830,0.03,91.44,91.44,91.44,91.44,117.33,0.03,28.07
02/05/26,91.41,9393922,,91.41,91.41,91.42,91.41,117.30,,28.02
02/04/26,91.41,9216570,0.02,91.40,91.40,91.41,91.40,117.30,0.02,28.02
02/03/26,91.39,11836070,,91.39,91.39,91.40,91.39,117.27,,28.00
02/02/26,91.39,21391670,-0.28,91.39,91.38,91.39,91.38,117.27,0.02,28.00
01/30/26,91.65,14545830,0.02,91.64,91.64,91.65,91.65,117.25,0.02,27.98
01/29/26,91.63,10237340,0.02,91.62,91.62,91.63,91.62,117.23,0.02,27.95
01/28/26,91.61,6265487,0.01,91.61,91.61,91.62,91.61,117.20,0.01,27.92
01/27/26,91.60,8178351,0.01,91.60,91.60,91.61,91.61,117.19,0.01,27.91
01/26/26,91.59,10052840,,91.60,91.59,91.61,91.60,117.18,,27.89
01/23/26,91.59,8147658,0.03,91.59,91.59,91.60,91.59,117.18,0.03,27.89
01/22/26,91.56,7679160,0.01,91.57,91.56,91.57,91.56,117.14,0.01,27.85
01/21/26,91.55,8153822,0.01,91.56,91.55,91.56,91.56,117.12,0.01,27.84
01/20/26,91.54,9335066,,91.55,91.54,91.56,91.55,117.11,,27.82
01/16/26,91.54,7648170,0.04,91.54,91.54,91.54,91.54,117.11,0.04,27.82
01/15/26,91.50,8938430,,91.51,91.50,91.51,91.50,117.06,,27.77
01/14/26,91.50,8005885,0.01,91.50,91.49,91.50,91.50,117.06,0.01,27.77
01/13/26,91.49,7777437,0.01,91.49,91.49,91.50,91.49,117.05,0.01,27.75
01/12/26,91.48,6189724,0.01,91.48,91.48,91.49,91.48,117.03,0.01,27.74
01/09/26,91.47,7776620,0.02,91.47,91.47,91.48,91.47,117.02,0.02,27.73
01/08/26,91.45,7116528,,91.45,91.45,91.45,91.45,117.00,,27.70
01/07/26,91.45,8767154,0.02,91.44,91.44,91.45,91.44,117.00,0.02,27.70
01/06/26,91.43,9135810,0.01,91.43,91.43,91.44,91.43,116.97,0.01,27.67
01/05/26,91.42,11770220,,91.42,91.42,91.43,91.42,116.96,,27.66
01/02/26,91.42,8517884,0.04,91.42,91.41,91.42,91.41,116.96,0.04,27.66
12/31/25,91.38,11225950,0.01,91.39,91.38,91.39,91.39,116.91,0.01,27.60
12/30/25,91.37,7852902,0.01,91.37,91.37,91.38,91.37,116.89,0.01,27.59
12/29/25,91.36,7988908,,91.36,91.36,91.37,91.36,116.88,,27.57
12/26/25,91.36,5588851,0.03,91.35,91.35,91.36,91.35,116.88,0.03,27.57
