Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,14.93,35189710,-5.51,15.17,14.75,15.21,14.94,14.93,-5.51,-41.45
03/05/26,15.80,45188900,-2.77,16.00,15.50,16.11,15.76,15.80,-2.77,-38.04
03/04/26,16.25,69898805,8.84,15.71,15.60,16.63,16.39,16.25,8.84,-36.27
03/03/26,14.93,43507246,-2.86,14.81,14.56,15.20,14.97,14.93,-2.86,-41.45
03/02/26,15.37,58979960,5.85,14.55,14.54,15.79,15.41,15.37,5.85,-39.73
02/27/26,14.52,30117800,-5.04,14.74,14.40,14.80,14.53,14.52,-5.04,-43.06
02/26/26,15.29,30163790,-2.49,15.63,14.92,15.70,15.34,15.29,-2.49,-40.04
02/25/26,15.68,45387113,11.76,14.90,14.83,15.75,15.63,15.68,11.76,-38.51
02/24/26,14.03,25562930,-0.14,13.69,13.62,14.10,14.02,14.03,-0.14,-44.98
02/23/26,14.05,31083200,-5.64,14.47,13.87,14.50,14.01,14.05,-5.64,-44.90
02/20/26,14.89,29139550,1.15,14.65,14.61,14.98,14.86,14.89,1.15,-41.61
02/19/26,14.72,26158500,0.62,14.54,14.38,14.74,14.67,14.72,0.62,-42.27
02/18/26,14.63,33189930,-2.79,14.84,14.52,15.19,14.67,14.63,-2.79,-42.63
02/17/26,15.05,34126566,-2.53,15.02,14.65,15.23,15.06,15.05,-2.53,-40.98
02/13/26,15.44,40907030,6.78,14.92,14.85,15.66,15.47,15.44,6.78,-39.45
02/12/26,14.46,32120240,-1.97,14.99,14.32,15.07,14.49,14.46,-1.97,-43.29
02/11/26,14.75,39315860,-2.96,15.02,14.36,15.08,14.72,14.75,-2.96,-42.16
02/10/26,15.20,30662480,-5.18,15.31,15.03,15.46,15.19,15.20,-5.18,-40.39
02/09/26,16.03,41241700,3.35,15.30,15.19,16.23,16.07,16.03,3.35,-37.14
02/06/26,15.51,73375440,10.31,14.73,14.72,15.81,15.56,15.51,10.31,-39.18
02/05/26,14.06,110802800,-13.95,15.68,13.77,15.88,14.20,14.06,-13.95,-44.86
02/04/26,16.34,72062720,-5.77,16.60,15.65,16.79,16.37,16.34,-5.77,-35.92
02/03/26,17.34,102019300,-0.91,17.44,15.94,17.65,17.01,17.34,-0.91,-32.00
02/02/26,17.50,98071480,-13.24,17.50,17.47,18.11,17.55,17.50,-13.24,-31.37
