Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,119.41,3297512,0.01,119.19,119.19,119.64,119.35,174.52,0.01,74.66
03/05/26,119.40,2221121,-0.17,119.34,119.28,119.45,119.37,174.51,-0.17,74.65
03/04/26,119.60,3830693,-0.18,119.79,119.60,119.80,119.59,174.80,-0.18,74.94
03/03/26,119.82,3769982,-0.05,119.52,119.49,119.91,119.78,175.12,-0.05,75.26
03/02/26,119.88,2836938,-0.70,120.14,119.77,120.14,119.86,175.21,-0.42,75.35
02/27/26,120.72,2286245,0.28,120.65,120.61,120.78,120.69,175.95,0.28,76.09
02/26/26,120.38,1630845,0.17,120.24,120.24,120.40,120.38,175.45,0.17,75.60
02/25/26,120.17,1846206,-0.08,120.16,120.14,120.25,120.16,175.15,-0.08,75.29
02/24/26,120.27,1794725,-0.05,120.30,120.20,120.33,120.25,175.29,-0.05,75.43
02/23/26,120.33,1350121,0.26,120.09,120.08,120.39,120.32,175.38,0.26,75.52
02/20/26,120.02,1827003,0.05,120.02,119.86,120.03,119.97,174.93,0.05,75.07
02/19/26,119.96,1298006,0.03,119.91,119.89,120.04,119.96,174.84,0.03,74.98
02/18/26,119.92,1253205,-0.13,119.94,119.91,119.98,119.91,174.78,-0.13,74.92
02/17/26,120.08,1252547,-0.05,120.13,120.04,120.18,120.06,175.02,-0.05,75.16
02/13/26,120.14,2193026,0.27,120.08,120.05,120.18,120.08,175.10,0.27,75.25
02/12/26,119.82,3276482,0.35,119.48,119.47,119.83,119.79,174.64,0.35,74.78
02/11/26,119.40,2181287,-0.20,119.34,119.31,119.53,119.37,174.03,-0.20,74.17
02/10/26,119.64,1262139,0.22,119.59,119.57,119.67,119.61,174.38,0.22,74.52
02/09/26,119.38,1105973,0.06,119.34,119.29,119.40,119.35,174.00,0.06,74.14
02/06/26,119.31,2505724,-0.04,119.41,119.22,119.42,119.27,173.90,-0.04,74.03
02/05/26,119.36,2219784,0.42,119.15,119.08,119.39,119.35,173.97,0.42,74.11
02/04/26,118.86,1305030,,118.79,118.77,118.95,118.85,173.24,,73.38
02/03/26,118.86,1216062,0.03,118.73,118.73,118.89,118.84,173.24,0.03,73.38
02/02/26,118.82,2058229,-0.44,119.00,118.80,119.00,118.80,173.18,-0.14,73.32
01/30/26,119.35,1901831,0.07,119.33,119.29,119.41,119.31,173.42,0.07,73.56
01/29/26,119.27,1516357,0.11,119.13,119.13,119.34,119.25,173.30,0.11,73.44
01/28/26,119.14,1191279,-0.04,119.18,119.02,119.19,119.13,173.11,-0.04,73.25
01/27/26,119.19,1476443,0.01,119.16,119.16,119.28,119.16,173.19,0.01,73.32
01/26/26,119.18,1008557,0.07,119.18,119.14,119.23,119.15,173.17,0.07,73.31
01/23/26,119.10,1128231,0.09,119.00,118.97,119.12,119.06,173.05,0.09,73.19
01/22/26,118.99,1289278,-0.06,118.96,118.89,119.01,118.96,172.89,-0.06,73.03
01/21/26,119.06,2374378,0.12,119.00,118.92,119.07,119.04,173.00,0.12,73.13
01/20/26,118.92,1244673,-0.13,118.95,118.89,119.03,118.90,172.79,-0.13,72.93
01/16/26,119.08,1764449,-0.18,119.27,119.04,119.29,119.02,173.03,-0.18,73.16
01/15/26,119.29,2038105,-0.19,119.46,119.28,119.47,119.27,173.33,-0.19,73.47
01/14/26,119.52,1082314,0.09,119.45,119.45,119.60,119.49,173.66,0.09,73.80
01/13/26,119.41,1517838,0.11,119.41,119.32,119.45,119.37,173.51,0.11,73.64
01/12/26,119.28,1218579,-0.04,119.26,119.24,119.37,119.26,173.32,-0.04,73.45
01/09/26,119.33,1852754,-0.03,119.36,119.27,119.45,119.30,173.39,-0.03,73.53
01/08/26,119.37,1308710,-0.17,119.39,119.36,119.46,119.34,173.45,-0.17,73.59
01/07/26,119.57,1987152,0.05,119.63,119.49,119.64,119.55,173.74,0.05,73.88
01/06/26,119.51,2074216,-0.01,119.46,119.35,119.52,119.49,173.65,-0.01,73.79
01/05/26,119.52,3155748,0.17,119.43,119.39,119.54,119.49,173.66,0.17,73.80
01/02/26,119.32,1201337,-0.03,119.43,119.28,119.44,119.27,173.37,-0.03,73.51
12/31/25,119.35,1215941,-0.18,119.44,119.32,119.54,119.30,173.42,-0.18,73.56
12/30/25,119.56,1370385,-0.03,119.52,119.49,119.61,119.54,173.72,-0.03,73.86
12/29/25,119.59,1331706,0.11,119.53,119.50,119.59,119.56,173.77,0.11,73.91
12/26/25,119.46,1381914,0.13,119.47,119.37,119.48,119.40,173.58,0.13,73.72
12/24/25,119.31,648923,0.15,119.22,119.18,119.33,119.28,173.36,0.15,73.50
12/23/25,119.13,1340257,-0.09,119.04,119.00,119.17,119.10,173.10,-0.09,73.24
12/22/25,119.24,1116565,-0.08,119.27,119.20,119.28,119.22,173.26,-0.08,73.40
12/19/25,119.34,1365327,-0.43,119.37,119.31,119.43,119.28,173.40,-0.12,73.54
