Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,49.99,17396550,-0.75,49.97,49.81,50.16,,57.81,-0.75,117.67
03/05/26,50.37,14966030,0.20,50.47,49.75,50.55,50.88,58.25,0.20,119.32
03/04/26,50.27,9799076,0.10,50.23,50.01,50.36,50.34,58.14,0.10,118.88
03/03/26,50.22,23130140,-1.43,49.67,49.05,50.31,51.01,58.08,-1.43,118.67
03/02/26,50.95,12553200,-2.53,50.97,50.91,51.26,51.22,58.92,-2.53,121.85
02/27/26,52.27,6837195,-0.59,52.11,52.03,52.32,52.23,60.45,-0.59,127.59
02/26/26,52.58,7700722,-0.30,52.74,52.46,52.84,52.75,60.81,-0.30,128.94
02/25/26,52.74,4801637,0.13,52.90,52.59,52.94,52.73,60.99,0.13,129.64
02/24/26,52.67,7227620,0.11,52.63,52.63,52.88,52.53,60.91,0.11,129.33
02/23/26,52.61,7613827,-1.52,52.88,52.55,53.01,52.68,60.84,-1.52,129.07
02/20/26,53.42,12652170,2.14,52.70,52.63,53.47,53.05,61.78,2.14,132.60
02/19/26,52.30,5777899,-1.91,52.26,52.11,52.36,52.41,60.48,-1.91,127.72
02/18/26,53.32,4925232,0.09,53.23,53.20,53.47,53.31,61.66,0.09,132.16
02/17/26,53.27,5935521,0.72,53.05,52.96,53.29,53.18,61.61,0.72,131.95
02/13/26,52.89,8885468,-0.41,52.70,52.58,52.92,52.66,61.17,-0.41,130.29
02/12/26,53.11,6720831,-0.78,53.38,53.05,53.51,53.04,61.42,-0.78,131.25
02/11/26,53.53,7719904,-0.39,53.54,53.35,53.68,53.46,61.91,-0.39,133.08
02/10/26,53.74,8443171,0.56,53.58,53.56,53.81,53.57,62.15,0.56,133.99
02/09/26,53.44,3804642,0.30,53.30,53.28,53.51,53.40,61.80,0.30,132.69
02/06/26,53.28,6774024,0.62,53.01,52.97,53.33,53.22,61.62,0.62,131.99
02/05/26,52.95,8427532,-0.92,53.07,52.92,53.20,52.90,61.24,-0.92,130.55
02/04/26,53.44,13915280,0.55,53.25,53.06,53.44,53.30,61.80,0.55,132.69
02/03/26,53.15,16476960,-0.24,53.51,52.95,53.59,53.24,61.47,-0.24,131.42
02/02/26,53.28,30890640,2.98,51.25,51.19,53.79,52.21,61.62,2.98,131.99
01/30/26,51.74,7652037,0.25,51.72,51.45,52.26,51.57,59.84,0.25,125.28
01/29/26,51.61,7128460,0.23,51.79,51.29,51.80,51.64,59.69,0.23,124.72
01/28/26,51.49,7146093,-0.39,51.48,51.26,51.53,51.72,59.55,-0.39,124.20
01/27/26,51.69,9003692,0.49,51.67,51.59,51.88,51.39,59.78,0.49,125.07
01/26/26,51.44,5342992,0.39,51.25,51.25,51.54,50.92,59.49,0.39,123.98
01/23/26,51.24,5884838,-1.07,51.06,50.94,51.28,50.89,59.26,-1.07,123.11
01/22/26,51.80,6359882,0.48,51.72,51.66,51.88,51.71,59.90,0.48,125.52
01/21/26,51.55,10145630,-0.35,51.30,51.29,51.60,51.42,59.62,-0.35,124.46
01/20/26,51.73,8498716,-2.12,51.93,51.72,51.97,51.65,59.82,-2.12,125.24
01/16/26,52.85,6317295,-0.70,52.86,52.68,52.88,52.81,61.12,-0.70,130.12
01/15/26,53.22,4989138,-0.06,53.17,53.07,53.26,53.21,61.55,-0.06,131.73
01/14/26,53.25,8128041,0.40,53.02,52.99,53.25,53.25,61.58,0.40,131.86
01/13/26,53.04,5588611,-0.67,53.13,52.94,53.15,53.14,61.34,-0.67,130.95
