Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,599.75,86302310,-1.50,600.31,598.33,606.00,,709.19,-1.50,"1,282.11"
03/05/26,608.91,89602410,-0.30,607.40,602.26,612.76,609.05,720.02,-0.30,"1,303.21"
03/04/26,610.75,70943890,1.52,604.16,603.43,612.88,610.79,722.20,1.52,"1,307.45"
03/03/26,601.58,97015530,-1.07,596.33,591.87,603.96,601.69,711.36,-1.07,"1,286.32"
03/02/26,608.09,75264640,0.13,598.86,597.99,609.92,608.31,719.05,0.13,"1,301.32"
02/27/26,607.29,68125200,-0.32,602.98,602.19,608.32,607.51,718.11,-0.32,"1,299.48"
02/26/26,609.24,96178875,-1.21,615.59,603.98,615.59,609.25,720.41,-1.21,"1,303.97"
02/25/26,616.68,55710650,1.45,611.07,611.00,616.83,616.42,729.21,1.45,"1,321.12"
02/24/26,607.87,55023727,1.07,602.40,599.73,608.99,607.86,718.79,1.07,"1,300.82"
02/23/26,601.41,63859113,-1.22,606.61,599.05,608.01,601.34,711.16,-1.22,"1,285.93"
02/20/26,608.81,74127320,0.88,600.12,599.23,610.35,608.73,719.91,0.88,"1,302.98"
02/19/26,603.47,60960840,-0.38,602.81,600.75,605.82,603.49,713.59,-0.38,"1,290.68"
02/18/26,605.79,64250670,0.75,602.11,600.72,609.77,605.87,716.33,0.75,"1,296.02"
02/17/26,601.30,69013760,-0.10,598.38,593.34,603.95,601.07,711.03,-0.10,"1,285.68"
02/13/26,601.92,69237555,0.21,600.43,596.42,606.48,601.81,711.76,0.21,"1,287.11"
02/12/26,600.64,81378900,-2.03,614.71,599.57,615.81,600.64,710.25,-2.03,"1,284.16"
02/11/26,613.11,58575100,0.27,616.38,607.69,617.52,613.14,724.99,0.27,"1,312.89"
02/10/26,611.47,53938860,-0.46,615.31,611.01,617.02,611.35,723.05,-0.46,"1,309.11"
02/09/26,614.32,56797560,0.77,607.54,605.07,616.46,614.75,726.42,0.77,"1,315.68"
02/06/26,609.65,78019340,2.11,600.19,598.77,611.41,610.03,720.90,2.11,"1,304.92"
02/05/26,597.03,89354484,-1.44,600.21,594.76,604.81,597.22,705.98,-1.44,"1,275.84"
02/04/26,605.75,81850750,-1.75,615.02,600.47,615.10,605.55,716.29,-1.75,"1,295.93"
02/03/26,616.52,81233970,-1.54,628.30,610.96,629.98,616.44,729.02,-1.54,"1,320.75"
02/02/26,626.14,49020290,0.69,618.70,618.66,628.49,626.17,740.40,0.69,"1,342.92"
01/30/26,621.87,65650710,-1.20,625.71,619.30,628.26,621.65,735.35,-1.20,"1,333.08"
01/29/26,629.43,79944050,-0.60,632.65,618.27,633.67,629.66,744.29,-0.60,"1,350.50"
01/28/26,633.22,50691688,0.33,635.46,631.81,636.60,633.03,748.77,0.33,"1,359.24"
01/27/26,631.13,38997207,0.91,628.91,627.34,632.04,631.00,746.30,0.91,"1,354.42"
01/26/26,625.46,35983008,0.44,623.21,622.12,627.61,625.49,739.59,0.44,"1,341.35"
01/23/26,622.72,43645832,0.32,619.73,618.65,625.40,622.88,736.35,0.32,"1,335.04"
01/22/26,620.76,42254760,0.73,622.35,617.78,622.46,620.76,734.04,0.73,"1,330.52"
01/21/26,616.28,79837880,1.35,609.47,607.86,620.42,616.10,728.74,1.35,"1,320.20"
01/20/26,608.06,81988900,-2.12,610.53,607.05,615.06,607.86,719.02,-2.12,"1,301.26"
01/16/26,621.26,61058090,-0.08,625.50,618.88,626.08,621.05,734.63,-0.08,"1,331.67"
01/15/26,621.78,53934887,0.36,626.60,620.75,630.00,621.49,735.24,0.36,"1,332.87"
01/14/26,619.55,72598700,-1.07,622.24,614.56,623.45,619.52,732.61,-1.07,"1,327.73"
01/13/26,626.24,44481380,-0.15,627.27,623.70,629.47,626.19,740.52,-0.15,"1,343.15"
01/12/26,627.17,37388650,0.08,622.31,622.26,628.85,627.30,741.62,0.08,"1,345.29"
01/09/26,626.65,49688727,1.00,621.41,619.06,627.89,626.79,741.00,1.00,"1,344.10"
01/08/26,620.47,50435940,-0.57,623.03,617.80,623.42,620.48,733.69,-0.57,"1,329.85"
01/07/26,624.02,44880340,0.10,623.04,622.56,627.94,624.05,737.89,0.10,"1,338.03"
01/06/26,623.42,43137520,0.88,619.23,618.54,624.02,623.71,737.18,0.88,"1,336.65"
01/05/26,617.99,46828360,0.79,619.32,616.72,620.81,617.92,730.76,0.79,"1,324.14"
