Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,82.73,5750090,0.05,82.67,82.67,82.81,82.71,128.92,0.05,59.08
03/05/26,82.69,7174504,-0.07,82.68,82.66,82.71,82.68,128.86,-0.07,59.00
03/04/26,82.75,5025926,-0.06,82.79,82.73,82.80,82.73,128.95,-0.06,59.12
03/03/26,82.80,5817434,-0.01,82.72,82.71,82.82,82.78,129.03,-0.01,59.21
03/02/26,82.81,7074097,-0.44,82.88,82.79,82.89,82.81,129.04,-0.18,59.23
02/27/26,83.18,5655069,0.13,83.16,83.15,83.20,83.16,129.27,0.13,59.52
02/26/26,83.07,7857043,0.04,83.03,83.03,83.09,83.07,129.10,0.04,59.30
02/25/26,83.04,4495643,-0.02,83.03,83.01,83.04,83.02,129.05,-0.02,59.25
02/24/26,83.06,5232668,,83.05,83.03,83.07,83.03,129.08,,59.29
02/23/26,83.06,2809057,0.08,83.02,83.00,83.08,83.06,129.08,0.08,59.29
02/20/26,82.99,3451937,0.01,83.01,82.97,83.02,82.97,128.98,0.01,59.15
02/19/26,82.98,2653949,,82.97,82.97,83.01,82.98,128.96,,59.13
02/18/26,82.98,2145507,-0.06,82.98,82.98,83.00,82.97,128.96,-0.06,59.13
02/17/26,83.03,3293803,-0.04,83.04,83.01,83.05,83.01,129.04,-0.04,59.23
02/13/26,83.06,3564221,0.16,83.04,83.03,83.07,83.02,129.08,0.16,59.29
02/12/26,82.93,3377323,0.10,82.88,82.87,82.95,82.94,128.88,0.10,59.04
02/11/26,82.85,3509982,-0.10,82.85,82.83,82.89,82.84,128.76,-0.10,58.88
02/10/26,82.93,4736221,0.06,82.93,82.92,82.95,82.92,128.88,0.06,59.04
02/09/26,82.88,6928894,0.02,82.88,82.87,82.89,82.86,128.80,0.02,58.94
02/06/26,82.86,7414430,,82.89,82.83,82.89,82.83,128.77,,58.90
02/05/26,82.86,6013953,0.16,82.82,82.79,82.88,82.86,128.77,0.16,58.90
02/04/26,82.73,3945386,0.05,82.69,82.69,82.74,82.71,128.57,0.05,58.65
02/03/26,82.69,4449959,-0.01,82.68,82.67,82.71,82.69,128.51,-0.01,58.58
02/02/26,82.70,4079383,-0.35,82.74,82.69,82.75,82.68,128.53,-0.05,58.59
01/30/26,82.99,4272841,0.08,82.97,82.96,83.01,82.97,128.59,0.08,58.67
01/29/26,82.92,4135826,0.04,82.90,82.90,82.95,82.92,128.48,0.04,58.54
01/28/26,82.89,4157537,,82.91,82.87,82.91,82.88,128.43,,58.48
01/27/26,82.89,4339298,0.02,82.87,82.87,82.91,82.89,128.43,0.02,58.48
01/26/26,82.87,3094288,0.04,82.87,82.85,82.88,82.85,128.40,0.04,58.44
01/23/26,82.84,2506894,0.04,82.83,82.82,82.85,82.82,128.35,0.04,58.38
01/22/26,82.81,4878395,-0.04,82.81,82.79,82.82,82.79,128.31,-0.04,58.33
01/21/26,82.84,14151400,0.05,82.83,82.81,82.84,82.81,128.35,0.05,58.38
01/20/26,82.80,5763746,0.01,82.81,82.80,82.82,82.79,128.29,0.01,58.31
01/16/26,82.79,4540148,-0.02,82.84,82.78,82.84,82.77,128.28,-0.02,58.29
01/15/26,82.81,3306703,-0.07,82.86,82.81,82.86,82.81,128.31,-0.07,58.33
01/14/26,82.87,3022481,0.02,82.88,82.87,82.90,82.87,128.40,0.02,58.44
01/13/26,82.85,4656348,0.02,82.86,82.84,82.87,82.85,128.37,0.02,58.40
01/12/26,82.83,2243111,,82.82,82.81,82.84,82.82,128.34,,58.37
01/09/26,82.83,3409675,-0.04,82.87,82.81,82.87,82.81,128.34,-0.04,58.37
01/08/26,82.86,2470734,-0.04,82.87,82.86,82.88,82.85,128.39,-0.04,58.42
01/07/26,82.89,4297970,-0.01,82.91,82.88,82.93,82.88,128.43,-0.01,58.48
01/06/26,82.90,4368940,0.01,82.88,82.85,82.90,82.89,128.45,0.01,58.50
01/05/26,82.89,3063643,0.04,82.88,82.87,82.90,82.89,128.43,0.04,58.48
01/02/26,82.86,3041729,0.05,82.87,82.84,82.87,82.83,128.39,0.05,58.42
12/31/25,82.82,3753118,-0.04,82.84,82.82,82.87,82.82,128.32,-0.04,58.35
12/30/25,82.85,3641291,0.02,82.83,82.83,82.86,82.85,128.37,0.02,58.40
12/29/25,82.83,3432291,0.05,82.83,82.82,82.85,82.83,128.34,0.05,58.37
12/26/25,82.79,2034930,0.07,82.80,82.78,82.81,82.78,128.28,0.07,58.29
12/24/25,82.73,2287169,0.06,82.71,82.70,82.74,82.72,128.18,0.06,58.17
12/23/25,82.68,3443157,-0.05,82.66,82.65,82.69,82.67,128.11,-0.05,58.08
12/22/25,82.72,4489170,-0.05,82.75,82.71,82.75,82.71,128.17,-0.05,58.16
12/19/25,82.76,4195196,-0.33,82.76,82.74,82.77,82.72,128.23,-0.02,58.23
12/18/25,83.03,3896767,0.07,83.04,82.98,83.04,83.01,128.25,0.07,58.26
12/17/25,82.97,5873901,0.01,82.95,82.94,82.98,82.96,128.16,0.01,58.15
12/16/25,82.96,4004877,0.05,82.94,82.93,82.98,82.95,128.15,0.05,58.13
12/15/25,82.92,5252379,0.06,82.93,82.90,82.94,82.90,128.08,0.06,58.05
12/12/25,82.87,4256368,0.01,82.86,82.85,82.89,82.85,128.01,0.01,57.96
12/11/25,82.86,3552418,0.01,82.89,82.85,82.90,82.85,127.99,0.01,57.94
12/10/25,82.85,4431403,0.17,82.72,82.71,82.85,82.83,127.98,0.17,57.92
12/09/25,82.71,2709948,-0.05,82.79,82.71,82.79,82.71,127.76,-0.05,57.65
12/08/25,82.75,3378688,-0.02,82.77,82.71,82.77,82.75,127.82,-0.02,57.73
12/05/25,82.77,2172498,-0.04,82.82,82.77,82.82,82.75,127.85,-0.04,57.76
12/04/25,82.80,2474043,-0.07,82.84,82.80,82.84,82.80,127.90,-0.07,57.82
12/03/25,82.86,2121270,0.06,82.87,82.83,82.87,82.85,127.99,0.06,57.94
12/02/25,82.81,4653334,0.06,82.80,82.78,82.82,82.80,127.91,0.06,57.84
12/01/25,82.76,3358651,-0.39,82.79,82.76,82.79,82.76,127.84,-0.09,57.75
11/28/25,83.08,2799591,,83.10,83.06,83.11,83.06,127.95,,57.88
11/26/25,83.08,4349665,-0.01,83.07,83.04,83.08,83.06,127.95,-0.01,57.88
11/25/25,83.09,4276699,0.06,83.05,83.04,83.10,83.08,127.96,0.06,57.90
11/24/25,83.04,5120669,0.01,83.03,83.00,83.04,83.03,127.89,0.01,57.81
11/21/25,83.03,4849556,0.12,83.02,82.98,83.04,83.00,127.87,0.12,57.79
11/20/25,82.93,5810789,0.08,82.90,82.89,82.96,82.93,127.72,0.08,57.60
11/19/25,82.86,2679780,-0.01,82.90,82.85,82.92,82.86,127.61,-0.01,57.46
11/18/25,82.87,3498469,0.06,82.90,82.85,82.92,82.87,127.62,0.06,57.48
11/17/25,82.82,7200956,-0.01,82.83,82.81,82.83,82.81,127.55,-0.01,57.39
11/14/25,82.83,5749973,0.04,82.88,82.80,82.89,82.79,127.56,0.04,57.41
11/13/25,82.80,5328097,-0.06,82.80,82.80,82.83,82.80,127.52,-0.06,57.35
11/12/25,82.85,2370006,-0.04,82.85,82.84,82.87,82.85,127.59,-0.04,57.44
11/11/25,82.88,4175209,0.08,82.86,82.84,82.88,82.85,127.64,0.08,57.50
11/10/25,82.81,6287859,-0.02,82.82,82.80,82.83,82.79,127.53,-0.02,57.37
11/07/25,82.83,2943022,0.05,82.81,82.81,82.88,82.81,127.56,0.05,57.41
11/06/25,82.79,3725171,0.12,82.78,82.77,82.82,82.79,127.50,0.12,57.33
11/05/25,82.69,3952622,-0.07,82.75,82.68,82.76,82.68,127.35,-0.07,57.14
11/04/25,82.75,6502044,0.04,82.76,82.75,82.78,82.75,127.44,0.04,57.25
11/03/25,82.72,5418880,-0.31,82.71,82.71,82.75,82.71,127.39,0.00,57.20
