Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,672.38,100687000,-1.31,673.41,669.76,676.11,,"1,219.30",-1.31,"2,655.48"
03/05/26,681.31,106606490,-0.56,682.08,675.61,685.53,681.65,"1,235.49",-0.56,"2,692.07"
03/04/26,685.13,79182240,0.71,681.63,679.62,687.09,685.49,"1,242.42",0.71,"2,707.73"
03/03/26,680.33,105003100,-0.88,675.06,669.66,682.61,680.22,"1,233.72",-0.88,"2,688.06"
03/02/26,686.38,87477200,0.06,678.70,678.02,688.62,686.67,"1,244.69",0.06,"2,712.85"
02/27/26,685.99,83308875,-0.48,683.09,681.64,686.86,686.34,"1,243.98",-0.48,"2,711.25"
02/26/26,689.30,71670990,-0.56,693.28,684.35,693.30,689.26,"1,249.98",-0.56,"2,724.82"
02/25/26,693.15,56369480,0.84,690.18,690.10,693.68,692.97,"1,256.96",0.84,"2,740.60"
02/24/26,687.35,73798730,0.73,681.90,680.00,688.35,687.37,"1,246.45",0.73,"2,716.83"
02/23/26,682.39,90558086,-1.02,687.83,680.37,690.00,682.12,"1,237.45",-1.02,"2,696.50"
02/20/26,689.43,100034000,0.72,682.32,681.73,690.06,689.25,"1,250.22",0.72,"2,725.35"
02/19/26,684.48,58649360,-0.26,683.84,681.55,686.18,684.49,"1,241.24",-0.26,"2,705.07"
02/18/26,686.29,73570336,0.50,684.02,682.83,689.15,686.33,"1,244.52",0.50,"2,712.48"
02/17/26,682.85,81354660,0.16,680.14,675.78,684.94,682.51,"1,238.29",0.16,"2,698.39"
02/13/26,681.75,96267484,0.07,681.69,677.52,686.28,681.72,"1,236.29",0.07,"2,693.88"
02/12/26,681.27,118829000,-1.54,694.24,680.37,695.35,681.29,"1,235.42",-1.54,"2,691.91"
02/11/26,691.96,76353875,-0.02,696.39,689.18,697.14,692.06,"1,254.81",-0.02,"2,735.72"
02/10/26,692.12,65185727,-0.26,694.95,691.66,696.54,692.08,"1,255.10",-0.26,"2,736.37"
02/09/26,693.95,73885195,0.48,689.42,688.34,695.87,694.33,"1,258.41",0.48,"2,743.87"
02/06/26,690.62,89127570,1.92,681.46,680.85,692.31,691.03,"1,252.38",1.92,"2,730.23"
02/05/26,677.62,113610800,-1.25,680.94,675.79,683.69,677.68,"1,228.80",-1.25,"2,676.95"
02/04/26,686.19,105204600,-0.48,690.35,681.76,691.45,686.07,"1,244.34",-0.48,"2,712.07"
02/03/26,689.53,107904600,-0.85,696.21,684.03,696.96,689.56,"1,250.40",-0.85,"2,725.76"
02/02/26,695.41,79286520,0.50,689.58,689.43,696.93,695.40,"1,261.06",0.50,"2,749.86"
01/30/26,691.97,101835100,-0.30,691.79,687.12,694.21,691.64,"1,254.82",-0.30,"2,735.76"
01/29/26,694.04,97486200,-0.20,696.39,684.83,697.06,694.58,"1,258.58",-0.20,"2,744.24"
01/28/26,695.42,61172168,-0.01,697.05,693.94,697.84,695.47,"1,261.08",-0.01,"2,749.90"
01/27/26,695.49,55506152,0.40,694.18,693.57,696.53,695.53,"1,261.21",0.40,"2,750.19"
01/26/26,692.73,60473810,0.51,690.49,689.92,694.13,692.70,"1,256.20",0.51,"2,738.87"
01/23/26,689.23,63059580,0.04,688.15,687.16,690.96,689.26,"1,249.86",0.04,"2,724.53"
01/22/26,688.98,77112240,0.52,689.85,686.92,691.13,688.97,"1,249.40",0.52,"2,723.51"
01/21/26,685.40,127844490,1.15,679.65,678.13,688.74,685.21,"1,242.91",1.15,"2,708.84"
01/20/26,677.58,111623300,-2.04,681.49,676.57,684.77,677.35,"1,228.73",-2.04,"2,676.79"
01/16/26,691.66,79289200,-0.08,693.66,690.10,694.25,691.59,"1,254.26",-0.08,"2,734.49"
01/15/26,692.24,77861970,0.27,694.57,691.25,695.45,691.99,"1,255.31",0.27,"2,736.87"
01/14/26,690.36,94676680,-0.49,691.00,686.04,691.72,690.20,"1,251.90",-0.49,"2,729.16"
01/13/26,693.77,78309730,-0.20,695.49,691.35,696.09,693.88,"1,258.09",-0.20,"2,743.14"
01/12/26,695.16,63976000,0.16,690.68,690.63,696.09,695.22,"1,260.61",0.16,"2,748.83"
01/09/26,694.07,80125470,0.66,690.63,689.18,695.31,694.07,"1,258.63",0.66,"2,744.37"
01/08/26,689.51,64019200,-0.01,688.82,687.49,690.62,689.58,"1,250.36",-0.01,"2,725.68"
01/07/26,689.58,75588336,-0.32,692.19,689.32,693.96,689.53,"1,250.49",-0.32,"2,725.97"
01/06/26,691.81,69273830,0.59,687.93,687.78,692.32,691.90,"1,254.53",0.59,"2,735.10"
01/05/26,687.72,71927195,0.67,686.54,686.38,689.43,687.60,"1,247.12",0.67,"2,718.34"
01/02/26,683.17,89377200,0.18,685.71,679.82,686.87,683.25,"1,238.87",0.18,"2,699.70"
12/31/25,681.92,74144800,-0.74,687.14,681.71,687.36,681.81,"1,236.60",-0.74,"2,694.57"
12/30/25,687.01,47160670,-0.12,687.45,686.58,688.56,686.81,"1,245.83",-0.12,"2,715.43"
12/29/25,687.85,62559500,-0.36,687.54,686.07,689.20,687.76,"1,247.35",-0.36,"2,718.88"
12/26/25,690.31,41613350,-0.01,690.64,689.27,691.66,690.15,"1,251.81",-0.01,"2,728.96"
12/24/25,690.38,39445560,0.35,687.95,687.80,690.83,690.30,"1,251.94",0.35,"2,729.24"
12/23/25,687.96,64839953,0.46,683.92,683.87,688.20,688.09,"1,247.55",0.46,"2,719.33"
12/22/25,684.83,69556730,0.62,683.94,680.59,685.36,684.97,"1,241.88",0.62,"2,706.50"
12/19/25,680.59,103599510,0.61,676.59,676.47,681.09,680.55,"1,234.19",0.90,"2,689.12"
12/18/25,676.47,108650090,0.76,677.60,674.90,680.74,676.58,"1,223.13",0.76,"2,664.14"
12/17/25,671.40,110625200,-1.10,679.89,671.20,680.44,671.26,"1,213.97",-1.10,"2,643.43"
12/16/25,678.87,122030600,-0.27,679.23,674.98,681.08,679.10,"1,227.47",-0.27,"2,673.95"
12/15/25,680.73,90810950,-0.15,685.74,679.25,685.76,680.70,"1,230.84",-0.15,"2,681.55"
12/12/25,681.76,113160305,-1.08,688.17,679.17,688.88,681.67,"1,232.70",-1.08,"2,685.76"
12/11/25,689.17,86173680,0.23,685.14,682.17,689.25,688.96,"1,246.10",0.23,"2,716.04"
12/10/25,687.57,85671330,0.66,682.56,681.31,688.97,687.53,"1,243.20",0.66,"2,709.50"
12/09/25,683.04,58310060,-0.09,683.15,682.59,685.39,682.91,"1,235.01",-0.09,"2,690.99"
12/08/25,683.63,55231460,-0.30,686.59,681.57,686.64,683.50,"1,236.08",-0.30,"2,693.40"
12/05/25,685.69,79241050,0.19,685.47,684.58,688.39,685.83,"1,239.80",0.19,"2,701.82"
12/04/25,684.39,61970340,0.07,685.30,681.34,685.37,684.41,"1,237.45",0.07,"2,696.51"
12/03/25,683.89,57238480,0.35,680.57,679.69,684.91,683.63,"1,236.55",0.35,"2,694.46"
12/02/25,681.53,62953840,0.19,681.92,679.33,683.82,681.58,"1,232.28",0.19,"2,684.82"
12/01/25,680.27,61201190,-0.46,678.81,678.74,682.99,679.89,"1,230.00",-0.46,"2,679.67"
11/28/25,683.39,49212030,0.55,680.86,680.50,683.67,683.45,"1,235.65",0.55,"2,692.42"
11/26/25,679.68,71879600,0.69,677.63,676.72,681.70,679.79,"1,228.94",0.69,"2,677.26"
11/25/25,675.02,81077086,0.94,668.63,664.48,676.21,675.13,"1,220.51",0.94,"2,658.22"
11/24/25,668.73,80437940,1.47,662.69,661.59,670.06,669.04,"1,209.14",1.47,"2,632.52"
11/21/25,659.03,123956200,1.00,655.05,650.85,664.55,658.86,"1,191.60",1.00,"2,592.88"
11/20/25,652.53,165293500,-1.52,672.91,651.89,675.56,652.41,"1,179.85",-1.52,"2,566.32"
11/19/25,662.63,94702960,0.39,660.78,658.75,667.34,662.62,"1,198.11",0.39,"2,607.59"
11/18/25,660.08,114467510,-0.84,662.10,655.86,665.12,660.13,"1,193.50",-0.84,"2,597.17"
11/17/25,665.67,90456110,-0.93,669.70,662.17,673.71,665.57,"1,203.61",-0.93,"2,620.01"
11/14/25,671.93,96846670,-0.02,665.38,663.27,675.66,671.65,"1,214.92",-0.02,"2,645.59"
11/13/25,672.04,103457800,-1.66,680.50,670.52,680.86,671.85,"1,215.12",-1.66,"2,646.04"
11/12/25,683.38,62312480,0.06,684.79,680.95,684.96,683.13,"1,235.63",0.06,"2,692.38"
11/11/25,683.00,58953390,0.23,679.95,678.73,683.57,682.68,"1,234.94",0.23,"2,690.83"
11/10/25,681.44,75842890,1.56,677.24,675.03,682.18,681.26,"1,232.12",1.56,"2,684.45"
11/07/25,670.97,100592400,0.10,667.91,661.21,671.08,670.86,"1,213.19",0.10,"2,641.67"
11/06/25,670.31,85035300,-1.07,676.47,668.72,677.38,669.95,"1,212.00",-1.07,"2,638.97"
11/05/25,677.58,74402380,0.35,674.98,674.17,680.86,677.51,"1,225.14",0.35,"2,668.68"
11/04/25,675.24,78426970,-1.19,676.11,674.58,679.96,675.05,"1,220.91",-1.19,"2,659.12"
11/03/25,683.34,57315030,0.19,685.67,679.94,685.80,683.05,"1,235.56",0.19,"2,692.22"
10/31/25,682.06,87164120,0.33,685.04,679.24,685.08,681.84,"1,233.24",0.33,"2,686.99"
10/30/25,679.83,76335750,-1.10,683.90,679.83,685.94,680.02,"1,229.21",-1.10,"2,677.87"
10/29/25,687.39,85362210,0.05,688.72,682.87,689.70,686.81,"1,242.88",0.05,"2,708.76"
10/28/25,687.06,61738070,0.27,687.05,684.83,688.91,686.84,"1,242.28",0.27,"2,707.42"
10/27/25,685.24,63339793,1.18,682.73,682.12,685.54,685.27,"1,238.99",1.18,"2,699.98"
10/24/25,677.25,74356530,0.82,676.46,675.65,678.47,676.96,"1,224.54",0.82,"2,667.33"
10/23/25,671.76,65604460,0.59,668.12,667.80,672.71,671.63,"1,214.62",0.59,"2,644.90"
10/22/25,667.80,80564010,-0.52,672.00,663.30,672.00,667.73,"1,207.46",-0.52,"2,628.72"
10/21/25,671.29,56249030,0.00,671.44,669.98,672.99,671.30,"1,213.77",0.00,"2,642.98"
10/20/25,671.30,60493350,1.04,667.32,667.27,672.21,671.28,"1,213.79",1.04,"2,643.02"
10/17/25,664.39,96500875,0.57,659.50,658.14,665.76,664.19,"1,201.29",0.57,"2,614.78"
10/16/25,660.64,110563300,-0.68,666.82,657.11,668.71,660.70,"1,194.51",-0.68,"2,599.46"
10/15/25,665.17,81702560,0.44,666.82,658.93,670.23,664.88,"1,202.70",0.44,"2,617.97"
10/14/25,662.23,88779560,-0.12,657.17,653.17,665.83,662.17,"1,197.39",-0.12,"2,605.96"
10/13/25,663.04,79560520,1.53,660.65,659.77,665.13,663.20,"1,198.85",1.53,"2,609.27"
