Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,47.54,141012190,-4.54,47.66,47.18,49.05,,49.86,-4.54,"22,857.88"
03/05/26,49.80,129713200,-0.92,49.44,48.17,50.76,49.84,52.23,-0.92,"23,949.27"
03/04/26,50.26,99738414,4.49,48.69,48.52,50.79,50.29,52.71,4.49,"24,171.41"
03/03/26,48.10,163365500,-3.22,46.81,45.72,48.67,48.12,50.44,-3.22,"23,128.31"
03/02/26,49.70,108545910,0.36,47.46,47.23,50.15,49.75,52.12,0.36,"23,900.98"
02/27/26,49.52,93802210,-1.06,48.45,48.26,49.77,49.57,51.93,-1.06,"23,814.05"
02/26/26,50.05,105583800,-3.51,51.63,48.71,51.64,50.04,52.49,-3.51,"24,070.00"
02/25/26,51.87,54217200,4.20,50.55,50.53,51.96,51.87,54.40,4.20,"24,948.91"
02/24/26,49.78,71023310,3.19,48.45,47.82,50.04,49.78,52.20,3.19,"23,939.61"
02/23/26,48.24,91951800,-3.64,49.53,47.66,49.88,48.22,50.59,-3.64,"23,195.92"
02/20/26,50.06,118813800,2.52,47.96,47.76,50.45,50.06,52.50,2.52,"24,074.83"
02/19/26,48.83,83447516,-1.13,48.67,48.16,49.40,48.83,51.21,-1.13,"23,480.84"
02/18/26,49.39,81370840,2.15,48.53,48.20,50.36,49.42,51.80,2.15,"23,751.27"
02/17/26,48.35,117089695,-0.25,47.64,46.42,48.98,48.28,50.71,-0.25,"23,249.04"
02/13/26,48.47,123216600,0.44,48.15,47.18,49.59,48.48,50.83,0.44,"23,306.99"
02/12/26,48.26,131150000,-6.11,51.80,47.99,52.07,48.25,50.61,-6.11,"23,205.58"
02/11/26,51.40,92393805,0.74,52.21,50.04,52.50,51.41,53.90,0.74,"24,721.94"
02/10/26,51.02,70660920,-1.39,51.97,50.89,52.40,50.97,53.51,-1.39,"24,538.43"
02/09/26,51.74,71272730,2.27,50.06,49.44,52.27,51.85,54.26,2.27,"24,886.13"
02/06/26,50.59,117934600,6.19,48.34,48.00,51.01,50.69,53.05,6.19,"24,330.77"
02/05/26,47.64,158712890,-4.26,48.39,47.06,49.53,47.66,49.96,-4.26,"22,906.17"
02/04/26,49.76,142536190,-5.26,52.14,48.43,52.15,49.73,52.18,-5.26,"23,929.95"
02/03/26,52.52,129992200,-4.68,55.64,51.08,55.76,52.52,55.08,-4.68,"25,262.80"
02/02/26,55.10,74665790,2.04,53.16,53.15,55.71,55.11,57.78,2.04,"26,508.73"
01/30/26,54.00,110170700,-3.64,55.02,53.32,55.71,53.95,56.63,-3.64,"25,977.52"
01/29/26,56.04,122642305,-1.79,56.95,53.06,57.21,56.13,58.77,-1.79,"26,962.67"
01/28/26,57.06,76172140,0.92,57.70,56.73,58.01,57.06,59.84,0.92,"27,455.25"
01/27/26,56.54,51981230,2.65,55.98,55.56,56.80,56.53,59.29,2.65,"27,204.13"
01/26/26,55.08,58084350,1.29,54.47,54.21,55.63,55.09,57.76,1.29,"26,499.07"
01/23/26,54.38,78066070,0.89,53.59,53.32,55.07,54.42,57.03,0.89,"26,161.03"
01/22/26,53.90,90992290,2.22,54.32,53.15,54.33,53.91,56.53,2.22,"25,929.23"
01/21/26,52.73,150230100,3.94,51.07,50.67,53.80,52.73,55.30,3.94,"25,364.22"
01/20/26,50.73,129209100,-6.30,51.39,50.48,52.56,50.68,53.20,-6.30,"24,398.38"
01/16/26,54.14,75855875,-0.44,55.32,53.58,55.46,54.15,56.78,-0.44,"26,045.13"
01/15/26,54.38,90482970,1.02,55.65,54.13,55.83,54.32,57.03,1.02,"26,161.03"
01/14/26,53.83,117421510,-3.18,54.55,52.50,54.88,53.82,56.45,-3.18,"25,895.43"
01/13/26,55.60,88610990,-0.52,55.91,54.96,56.50,55.62,58.31,-0.52,"26,750.19"
01/12/26,55.89,59673900,0.23,54.60,54.58,56.34,55.93,58.61,0.23,"26,890.23"
01/09/26,55.76,78706270,2.90,54.39,53.79,56.10,55.81,58.48,2.90,"26,827.45"
01/08/26,54.19,83760290,-1.78,54.87,53.50,54.98,54.20,56.83,-1.78,"26,069.27"
01/07/26,55.17,65588310,0.29,54.89,54.77,56.19,55.16,57.86,0.29,"26,542.53"
01/06/26,55.01,68915800,2.63,53.92,53.74,55.17,55.09,57.69,2.63,"26,465.27"
01/05/26,53.60,77968000,2.39,53.95,53.29,54.33,53.59,56.21,2.39,"25,784.35"
01/02/26,52.35,107226600,-0.70,54.17,51.61,54.88,52.39,54.90,-0.70,"25,180.71"
12/31/25,52.72,57199367,-2.55,54.13,52.64,54.20,52.70,55.29,-2.55,"25,359.39"
12/30/25,54.10,38976810,-0.72,54.20,54.04,54.82,54.07,56.74,-0.72,"26,025.81"
12/29/25,54.49,50635246,-1.48,54.29,53.92,54.99,54.49,57.14,-1.48,"26,214.15"
12/26/25,55.31,37244200,-0.09,55.52,55.11,55.75,55.28,58.00,-0.09,"26,610.14"
12/24/25,55.36,25855010,0.64,54.87,54.78,55.45,55.40,58.06,0.79,"26,634.29"
12/23/25,55.01,48197060,1.40,53.97,53.86,55.07,55.07,57.60,1.40,"26,424.28"
12/22/25,54.25,64783070,1.36,54.81,53.88,54.89,54.28,56.80,1.36,"26,057.83"
12/19/25,53.52,72957830,3.90,52.20,52.19,53.64,53.56,56.04,3.90,"25,705.85"
12/18/25,51.51,109222090,4.27,51.67,50.98,52.46,51.58,53.94,4.27,"24,736.68"
12/17/25,49.40,125606200,-5.60,52.65,49.37,52.80,49.36,51.73,-5.60,"23,719.30"
12/16/25,52.33,105953695,0.60,51.43,51.10,52.77,52.41,54.79,0.60,"25,132.06"
12/15/25,52.02,98696305,-1.51,54.06,51.72,54.06,52.02,54.47,-1.51,"24,982.59"
12/12/25,52.82,138448500,-5.86,55.11,52.23,55.52,52.84,55.31,-5.86,"25,368.32"
12/11/25,56.11,99683930,-0.95,55.63,53.98,56.16,56.09,58.75,-0.95,"26,954.67"
12/10/25,56.65,100261100,1.14,55.65,54.89,57.09,56.70,59.32,1.14,"27,215.04"
12/09/25,56.01,48735980,0.38,55.45,55.09,56.22,56.01,58.65,0.38,"26,906.45"
12/08/25,55.80,69700016,-0.62,56.57,55.12,57.04,55.76,58.43,-0.62,"26,805.20"
12/05/25,56.15,73205984,1.15,55.86,55.68,57.08,56.19,58.79,1.15,"26,973.96"
12/04/25,55.51,63957970,-0.32,56.04,54.61,56.05,55.50,58.12,-0.32,"26,665.37"
12/03/25,55.69,69844900,0.71,54.66,54.23,55.88,55.67,58.31,0.71,"26,752.16"
12/02/25,55.30,79504350,2.31,54.63,54.14,55.76,55.35,57.90,2.31,"26,564.11"
12/01/25,54.05,66359590,-0.90,53.11,52.82,54.65,54.00,56.60,-0.90,"25,961.40"
11/28/25,54.54,34381610,2.19,53.82,53.63,54.61,54.61,57.11,2.19,"26,197.66"
11/26/25,53.37,75598090,2.61,52.91,52.37,53.86,53.40,55.88,2.61,"25,633.52"
11/25/25,52.01,101851910,1.82,50.64,49.08,52.36,52.05,54.46,1.82,"24,977.76"
11/24/25,51.08,93894160,7.58,48.70,48.67,51.45,51.18,53.49,7.58,"24,529.35"
11/21/25,47.48,179618600,2.22,46.85,45.24,49.10,47.47,49.72,2.22,"22,793.53"
11/20/25,46.45,178246300,-7.15,52.95,46.23,53.54,46.43,48.64,-7.15,"22,296.89"
11/19/25,50.03,184263520,1.72,49.33,48.72,51.58,49.98,52.38,1.72,"24,020.65"
11/18/25,49.18,267348000,-3.62,49.99,47.90,50.67,49.17,51.50,-3.62,"23,613.22"
11/17/25,51.03,186327050,-2.57,51.71,50.06,53.31,51.01,53.43,-2.57,"24,502.83"
11/14/25,52.37,222397600,0.08,49.99,49.39,53.55,52.34,54.84,0.08,"25,151.35"
11/13/25,52.33,201264400,-6.18,54.79,51.70,54.94,52.27,54.79,-6.18,"25,132.06"
11/12/25,55.78,125708380,-0.21,56.77,54.87,56.77,55.72,58.40,-0.21,"26,793.14"
11/11/25,55.89,102665540,-0.83,55.64,54.80,56.21,55.84,58.52,-0.83,"26,848.59"
11/10/25,56.36,119878760,6.55,55.22,54.71,56.63,56.36,59.01,6.55,"27,072.80"
11/07/25,52.89,183589380,-1.04,52.51,49.98,52.92,52.88,55.38,-1.04,"25,402.08"
11/06/25,53.45,156461380,-5.61,56.19,53.06,56.25,53.37,55.96,-5.61,"25,669.68"
11/05/25,56.62,109730040,1.94,55.34,54.97,57.50,56.64,59.29,1.94,"27,200.58"
11/04/25,55.54,124762780,-6.12,56.68,55.32,57.70,55.45,58.16,-6.12,"26,679.83"
11/03/25,59.16,83597920,1.37,60.00,58.54,60.21,59.13,61.95,1.37,"28,425.30"
10/31/25,58.36,122666880,1.42,59.75,57.69,59.75,58.38,61.11,1.42,"28,039.56"
10/30/25,57.55,127234280,-4.58,59.30,57.52,59.67,57.58,60.25,-4.58,"27,646.59"
10/29/25,60.31,133060880,1.28,60.29,58.77,60.69,60.26,63.14,1.28,"28,977.38"
10/28/25,59.55,92239440,2.28,58.83,58.53,60.04,59.54,62.35,2.28,"28,610.93"
10/27/25,58.22,77489440,5.31,57.26,57.14,58.35,58.26,60.96,5.31,"27,969.64"
10/24/25,55.28,84387664,3.12,55.00,54.77,55.63,55.25,57.88,3.12,"26,554.47"
10/23/25,53.61,91245000,2.50,52.14,52.04,53.82,53.63,56.13,2.50,"25,749.24"
10/22/25,52.30,134380730,-2.94,53.73,50.79,53.87,52.27,54.76,-2.94,"25,117.59"
10/21/25,53.89,79811450,-0.11,53.95,53.34,54.24,53.88,56.42,-0.11,"25,881.84"
10/20/25,53.95,79928840,3.75,52.81,52.78,54.26,53.98,56.49,3.75,"25,910.77"
10/17/25,52.00,142274020,1.90,50.46,50.06,52.39,51.97,54.44,1.90,"24,970.53"
10/16/25,51.03,159343970,-1.11,52.34,49.88,53.17,51.02,53.43,-1.11,"24,502.83"
10/15/25,51.60,127069375,2.05,52.07,50.02,52.76,51.59,54.03,2.05,"24,780.07"
10/14/25,50.57,147230050,-2.03,49.87,48.54,51.77,50.58,52.95,-2.03,"24,281.03"
10/13/25,51.62,114511130,6.35,51.03,50.43,51.84,51.66,54.05,6.35,"24,787.31"
10/10/25,48.54,238009400,-10.49,54.37,48.42,54.83,48.49,50.82,-10.49,"23,302.22"
10/09/25,54.23,87956090,-0.39,54.44,53.38,54.48,54.23,56.78,-0.39,"26,045.78"
10/08/25,54.44,86931055,3.39,52.86,52.83,54.52,54.50,57.00,3.39,"26,149.44"
10/07/25,52.66,100185820,-1.62,53.85,52.26,54.03,52.63,55.13,-1.62,"25,288.77"
10/06/25,53.52,82476720,2.23,53.70,53.07,53.94,53.54,56.04,2.23,"25,705.85"
10/03/25,52.35,103096380,-1.36,53.22,51.88,53.44,52.33,54.82,-1.36,"25,141.70"
10/02/25,53.07,89158700,1.22,53.41,52.33,53.42,53.05,55.57,1.22,"25,488.87"
10/01/25,52.43,93996440,1.41,50.87,50.65,52.57,52.48,54.90,1.41,"25,180.28"
09/30/25,51.70,92323860,0.78,51.21,50.61,51.79,51.72,54.13,0.78,"24,828.29"
09/29/25,51.30,92393100,1.33,51.39,50.97,52.14,51.31,53.72,1.33,"24,635.42"
09/26/25,50.63,124097360,1.20,50.20,49.37,50.69,50.66,53.01,1.20,"24,309.96"
09/25/25,50.03,122820600,-1.34,49.70,48.75,50.44,50.04,52.38,-1.34,"24,020.65"
09/24/25,50.71,101055620,-1.17,51.61,50.00,51.68,50.72,53.09,-1.07,"24,348.53"
09/23/25,51.31,99930560,-2.01,52.40,50.99,52.45,51.26,53.67,-2.01,"24,614.00"
09/22/25,52.36,81054580,1.69,51.21,51.21,52.54,52.42,54.77,1.69,"25,122.20"
09/19/25,51.49,84365375,1.98,50.94,50.58,51.65,51.57,53.86,1.98,"24,703.11"
09/18/25,50.49,123401560,2.70,50.38,49.90,51.19,50.55,52.82,2.70,"24,221.41"
09/17/25,49.17,147697140,-0.64,49.45,47.76,49.60,49.16,51.43,-0.64,"23,583.14"
09/16/25,49.48,77137130,-0.27,49.84,49.31,49.91,49.48,51.76,-0.27,"23,734.88"
09/15/25,49.62,78114360,2.55,48.82,48.78,49.64,49.62,51.90,2.55,"23,799.91"
09/12/25,48.38,92235240,1.25,47.98,47.76,48.68,48.41,50.61,1.25,"23,205.00"
09/11/25,47.79,91247130,1.68,47.60,47.21,47.99,47.85,49.99,1.68,"22,918.39"
09/10/25,47.00,120818810,0.11,47.73,46.47,47.73,47.02,49.16,0.11,"22,537.84"
09/09/25,46.95,94620734,0.82,46.75,46.12,47.06,46.98,49.11,0.82,"22,513.75"
09/08/25,46.57,101696734,1.43,46.46,46.32,47.05,46.54,48.71,1.43,"22,330.70"
09/05/25,45.91,172625750,0.33,46.97,44.84,47.12,45.90,48.03,0.33,"22,015.19"
09/04/25,45.76,101759680,2.70,44.70,44.31,45.83,45.81,47.87,2.70,"21,942.93"
09/03/25,44.56,119929800,2.33,44.37,43.79,44.94,44.57,46.61,2.33,"21,362.47"
09/02/25,43.54,166668080,-2.55,42.56,42.13,43.62,43.55,45.55,-2.55,"20,873.54"
08/29/25,44.68,121887000,-3.60,45.71,44.25,45.80,44.62,46.74,-3.60,"21,422.69"
08/28/25,46.35,90658000,1.82,45.64,45.26,46.56,46.35,48.49,1.82,"22,227.14"
08/27/25,45.52,90055190,0.45,45.07,44.77,45.72,45.56,47.62,0.45,"21,827.32"
08/26/25,45.32,84374600,1.16,44.66,44.42,45.39,45.34,47.40,1.16,"21,728.57"
