Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,108.77,68721960,12.94,105.38,104.53,109.98,108.91,108.77,12.94,-80.06
03/05/26,96.31,47311260,5.19,94.46,94.06,98.83,97.70,96.31,5.19,-82.35
03/04/26,91.56,28457330,1.51,90.22,89.11,91.59,90.77,91.56,1.51,-83.22
03/03/26,90.20,50397930,3.45,94.10,87.33,94.37,90.73,90.20,3.45,-83.47
03/02/26,87.19,41780480,6.39,87.62,83.20,88.64,86.79,87.19,6.39,-84.02
02/27/26,81.95,12164700,2.73,82.00,80.58,82.12,81.64,81.95,2.73,-84.98
02/26/26,79.77,18725940,0.05,78.15,78.04,81.24,79.43,79.77,0.05,-85.38
02/25/26,79.73,6547301,-1.28,80.10,79.32,80.14,79.68,79.73,-1.28,-85.39
02/24/26,80.76,10649530,-0.17,81.19,79.80,81.22,79.93,80.76,-0.17,-85.20
02/23/26,80.90,5941178,0.06,81.49,80.50,81.92,80.75,80.90,0.06,-85.17
02/20/26,80.85,9427292,-0.42,80.54,80.17,81.24,80.94,80.85,-0.42,-85.18
02/19/26,81.19,11767980,2.25,80.43,79.69,81.27,80.83,81.19,2.25,-85.12
02/18/26,79.40,10251380,4.85,77.92,77.85,79.63,79.18,79.40,4.85,-85.45
02/17/26,75.73,9329636,-0.64,76.21,75.18,76.48,75.78,75.73,-0.64,-86.12
02/13/26,76.22,6172193,-0.21,76.12,75.66,76.72,76.36,76.22,-0.21,-86.03
02/12/26,76.38,7442609,-3.18,78.00,75.71,78.07,76.23,76.38,-3.18,-86.00
02/11/26,78.89,10313070,1.10,79.68,78.24,79.83,78.43,78.89,1.10,-85.54
02/10/26,78.03,6541954,0.01,78.30,77.28,78.44,77.61,78.03,0.01,-85.70
02/09/26,78.02,3201128,1.34,76.83,76.79,78.63,78.10,78.02,1.34,-85.70
02/06/26,76.99,6661472,0.39,76.24,76.17,77.99,77.06,76.99,0.39,-85.89
02/05/26,76.69,5989532,-1.53,76.86,75.88,77.31,76.65,76.69,-1.53,-85.94
02/04/26,77.88,17514910,0.53,76.52,76.20,79.37,78.81,77.88,0.53,-85.73
02/03/26,77.47,10887350,2.84,75.85,75.64,77.64,76.48,77.47,2.84,-85.80
02/02/26,75.33,8544403,-5.27,75.50,74.46,75.67,75.17,75.33,-5.27,-86.19
01/30/26,79.52,11586230,0.48,79.44,77.65,79.95,78.87,79.52,0.48,-85.43
01/29/26,79.14,13188850,3.29,80.11,78.17,80.38,79.11,79.14,3.29,-85.49
01/28/26,76.62,6508730,1.27,76.26,75.63,76.74,76.43,76.62,1.27,-85.96
01/27/26,75.66,6164578,2.97,73.95,73.69,75.71,75.44,75.66,2.97,-86.13
01/26/26,73.48,4486331,-0.64,73.36,72.94,73.77,73.30,73.48,-0.64,-86.53
01/23/26,73.95,5427638,2.97,73.76,73.38,74.05,73.82,73.95,2.97,-86.45
01/22/26,71.82,4973418,-2.07,72.43,71.27,72.50,71.74,71.82,-2.07,-86.84
01/21/26,73.34,4291322,2.06,72.84,72.60,73.46,73.26,73.34,2.06,-86.56
01/20/26,71.86,7577220,0.29,72.80,71.71,73.13,72.94,71.86,0.29,-86.83
01/16/26,71.65,4492057,0.73,72.30,71.57,72.52,71.69,71.65,0.73,-86.87
01/15/26,71.13,4748428,-2.04,71.60,71.00,71.71,71.37,71.13,-2.04,-86.96
01/14/26,72.61,17618090,-1.18,74.26,71.41,75.16,74.75,72.61,-1.18,-86.69
01/13/26,73.48,10694220,2.55,72.78,72.75,73.94,73.60,73.48,2.55,-86.53
01/12/26,71.65,5703405,1.23,70.96,70.47,72.00,71.65,71.65,1.23,-86.87
01/09/26,70.78,5925122,0.34,70.88,70.77,71.94,71.18,70.78,0.34,-87.03
01/08/26,70.54,6558609,4.06,68.79,68.39,70.65,69.60,70.54,4.06,-87.07
01/07/26,67.79,5317458,-1.05,68.24,67.35,68.31,67.49,67.79,-1.05,-87.58
01/06/26,68.51,5432884,-2.44,70.60,68.46,70.74,68.79,68.51,-2.44,-87.44
01/05/26,70.22,4987089,1.83,69.73,69.23,70.40,70.20,70.22,1.83,-87.13
01/02/26,68.96,5012274,-0.29,68.43,68.15,69.15,68.99,68.96,-0.29,-87.36
12/31/25,69.16,2218718,-0.83,70.20,68.85,70.26,69.10,69.16,-0.83,-87.32
12/30/25,69.74,2324200,0.19,70.28,69.65,70.33,69.73,69.74,0.19,-87.22
12/29/25,69.61,2757971,1.65,69.85,69.57,70.13,69.88,69.61,1.65,-87.24
12/26/25,68.48,4224452,-2.45,69.66,68.18,69.76,68.26,68.48,-2.45,-87.45
12/24/25,70.20,1596350,-0.14,70.47,69.94,70.58,70.18,70.20,-0.14,-87.13
12/23/25,70.30,3517335,0.82,69.62,69.45,70.36,70.21,70.30,0.82,-87.12
12/22/25,69.73,4491465,2.50,69.56,69.22,69.85,69.76,69.73,2.50,-87.22
12/19/25,68.03,4003656,1.25,67.74,67.44,68.20,67.96,68.03,1.25,-87.53
12/18/25,67.19,4713782,-1.16,67.77,67.10,67.94,67.33,67.19,-1.16,-87.69
12/17/25,67.98,7397990,2.74,67.22,66.83,68.06,67.09,67.98,2.74,-87.54
12/16/25,66.17,6816102,-2.53,66.75,65.99,66.78,66.27,66.17,-2.53,-87.87
12/15/25,67.89,6298849,-1.34,68.49,67.61,68.53,68.12,67.89,-1.34,-87.56
12/12/25,68.81,5306042,-0.64,68.87,68.47,69.13,68.79,68.81,-0.64,-87.39
12/11/25,69.25,8487465,-1.83,68.59,68.31,69.29,69.03,69.25,-1.83,-87.31
