Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,123.43,1035843,-1.41,123.01,121.40,123.51,,196.53,-1.41,292.35
03/05/26,125.20,882873,-0.67,125.38,124.35,126.61,125.29,199.34,-0.67,297.97
03/04/26,126.04,630972,0.49,125.74,125.04,126.37,126.08,200.68,0.49,300.64
03/03/26,125.42,956133,-0.20,123.34,122.53,126.14,125.37,199.69,-0.20,298.67
03/02/26,125.67,913315,0.09,123.60,123.51,126.40,125.70,200.09,0.09,299.47
02/27/26,125.56,479438,-2.28,126.85,124.58,127.32,125.61,199.92,-2.28,299.12
02/26/26,128.49,666786,1.26,127.29,127.23,128.87,128.48,204.58,1.26,308.43
02/25/26,126.89,722369,1.66,125.52,125.25,127.03,126.90,202.04,1.66,303.34
02/24/26,124.82,1037739,0.52,123.48,123.01,125.27,124.80,198.74,0.52,296.77
02/23/26,124.18,1394782,-3.43,127.91,123.98,128.53,124.17,197.72,-3.43,294.73
02/20/26,128.59,740819,0.56,127.55,126.82,128.62,128.61,204.74,0.56,308.75
02/19/26,127.88,517025,-0.81,127.91,126.83,128.40,127.86,203.61,-0.81,306.49
02/18/26,128.92,593911,0.73,128.27,128.20,129.45,128.95,205.27,0.73,309.80
02/17/26,127.99,500560,0.93,127.33,127.30,128.56,127.97,203.79,0.93,306.84
02/13/26,126.81,447422,-0.05,126.58,125.72,127.44,126.84,201.91,-0.05,303.09
02/12/26,126.87,1607600,-1.94,129.90,126.07,130.21,126.83,202.00,-1.94,303.28
02/11/26,129.38,705241,-1.55,131.77,129.29,132.37,129.41,206.00,-1.55,311.26
02/10/26,131.42,342561,-0.73,131.94,130.37,133.10,131.42,209.25,-0.73,317.74
02/09/26,132.39,296655,-0.48,132.70,132.33,133.38,132.39,210.79,-0.48,320.83
02/06/26,133.03,239709,1.87,132.04,132.04,133.28,133.08,211.81,1.87,322.86
02/05/26,130.59,580837,-1.26,132.08,130.41,132.47,130.67,207.93,-1.26,315.11
02/04/26,132.26,489203,0.83,131.18,130.86,132.78,132.24,210.59,0.83,320.41
02/03/26,131.17,269352,-0.85,131.81,130.30,132.80,131.14,208.85,-0.85,316.95
02/02/26,132.30,417823,1.08,130.93,130.75,132.52,132.27,210.65,1.08,320.54
01/30/26,130.89,450131,-0.32,130.91,129.91,131.45,130.93,208.40,-0.32,316.06
01/29/26,131.31,438521,1.01,130.89,129.99,131.53,131.43,209.07,1.01,317.39
01/28/26,130.00,426337,-0.10,129.93,129.55,130.66,130.03,206.99,-0.10,313.23
01/27/26,130.13,313025,-0.66,130.82,129.75,131.08,130.16,207.19,-0.66,313.64
01/26/26,131.00,437311,0.61,130.29,130.29,131.33,131.01,208.58,0.61,316.41
01/23/26,130.21,585044,-1.49,131.55,129.84,131.55,130.23,207.32,-1.49,313.90
01/22/26,132.18,961950,0.60,131.89,131.89,132.92,132.23,210.46,0.60,320.16
01/21/26,131.39,684381,0.74,130.82,130.78,132.18,131.38,209.20,0.74,317.65
01/20/26,130.43,970999,-2.21,131.41,130.21,132.66,130.45,207.67,-2.21,314.60
01/16/26,133.38,429059,0.08,133.20,133.03,134.18,133.36,212.37,0.08,323.97
01/15/26,133.27,1315100,0.55,132.74,132.74,134.04,133.25,212.19,0.55,323.63
01/14/26,132.54,1341850,-0.02,132.15,131.40,132.60,132.51,211.03,-0.02,321.30
01/13/26,132.57,1143713,-1.80,134.87,132.39,134.87,132.63,211.08,-1.80,321.40
01/12/26,135.00,691729,-0.85,134.47,134.08,135.21,135.03,214.95,-0.85,329.12
01/09/26,136.16,745491,-0.34,136.82,136.16,137.32,136.17,216.80,-0.34,332.81
01/08/26,136.63,656256,0.66,135.36,135.36,137.41,136.63,217.54,0.66,334.31
01/07/26,135.73,384278,-1.41,137.31,135.51,137.45,135.76,216.11,-1.41,331.44
01/06/26,137.67,893631,0.50,136.64,136.59,137.86,137.64,219.20,0.50,337.61
01/05/26,136.99,475946,2.26,133.70,133.70,137.89,136.95,218.12,2.26,335.45
01/02/26,133.96,576873,0.35,133.58,132.48,134.15,133.98,213.29,0.35,325.82
12/31/25,133.49,287980,-0.75,134.62,133.43,134.62,133.45,212.54,-0.75,324.32
12/30/25,134.50,316329,-0.34,135.05,134.46,135.05,134.51,214.15,-0.34,327.53
12/29/25,134.96,413699,-0.55,135.66,134.82,135.84,134.96,214.88,-0.55,329.00
12/26/25,135.71,305439,-0.21,135.90,135.31,136.13,135.69,216.08,-0.21,331.38
12/24/25,136.00,269566,0.53,135.41,135.29,136.36,135.97,216.54,0.53,332.30
12/23/25,135.28,350078,0.08,135.13,135.13,135.68,135.31,215.39,0.08,330.01
12/22/25,135.17,403465,1.14,133.75,133.75,135.46,135.20,215.22,1.14,329.66
12/19/25,133.64,788992,0.59,132.94,132.94,133.98,133.61,212.78,0.59,324.80
12/18/25,132.86,670409,-0.02,133.32,132.42,134.01,132.84,211.54,-0.02,322.32
12/17/25,132.88,483540,-0.61,133.42,132.81,134.07,132.90,211.57,-0.10,322.39
12/16/25,133.69,497676,-0.56,134.53,133.26,134.80,133.65,211.79,-0.56,322.81
12/15/25,134.44,906793,0.04,135.12,134.00,135.27,134.41,212.98,0.04,325.18
12/12/25,134.39,773959,0.01,134.94,133.84,135.18,134.36,212.90,0.01,325.03
12/11/25,134.37,531514,1.75,132.17,132.17,134.61,134.33,212.86,1.75,324.96
12/10/25,132.06,556694,1.34,130.29,130.20,132.52,132.02,209.20,1.34,317.66
12/09/25,130.32,1778243,-0.21,130.59,130.25,131.90,130.29,206.45,-0.21,312.15
12/08/25,130.59,668708,-0.33,131.16,130.20,131.16,130.60,206.88,-0.33,313.01
12/05/25,131.02,555609,-0.04,130.76,130.63,131.67,131.09,207.56,-0.04,314.37
12/04/25,131.07,572462,0.24,130.76,130.64,131.51,131.04,207.64,0.24,314.53
12/03/25,130.76,376821,1.40,129.16,129.09,130.86,130.71,207.15,1.40,313.55
12/02/25,128.95,755093,-0.15,129.46,128.65,129.77,128.97,204.28,-0.15,307.82
12/01/25,129.15,544517,-0.65,129.33,129.04,130.25,129.10,204.59,-0.65,308.45
11/28/25,130.00,334006,0.60,129.51,129.46,130.55,130.03,205.94,0.60,311.14
11/26/25,129.22,815416,0.72,128.57,128.45,129.76,129.18,204.71,0.72,308.68
11/25/25,128.30,581648,1.45,126.87,126.70,128.60,128.27,203.25,1.45,305.77
11/24/25,126.47,588680,0.41,126.08,125.25,126.68,126.53,200.35,0.41,299.98
11/21/25,125.95,891733,1.30,125.20,124.47,126.66,125.95,199.53,1.30,298.33
11/20/25,124.33,933723,-0.91,126.60,124.29,127.50,124.34,196.96,-0.91,293.21
11/19/25,125.47,622437,0.40,125.07,124.56,125.67,125.50,198.77,0.40,296.82
11/18/25,124.97,688040,-0.07,124.54,124.34,125.88,124.94,197.97,-0.07,295.23
11/17/25,125.06,858405,-2.08,127.70,124.63,127.70,125.08,198.12,-2.08,295.52
11/14/25,127.71,585040,-0.88,128.33,127.24,128.55,127.73,202.31,-0.88,303.90
11/13/25,128.84,680521,-1.46,130.38,128.68,130.91,128.86,204.10,-1.46,307.47
11/12/25,130.75,351061,0.87,129.75,129.75,131.37,130.76,207.13,0.87,313.51
11/11/25,129.62,356486,0.45,129.20,128.94,130.02,129.63,205.34,0.45,309.94
11/10/25,129.04,501349,0.36,128.87,128.33,129.47,129.06,204.42,0.36,308.11
11/07/25,128.58,495830,0.78,127.26,126.76,128.58,128.55,203.69,0.78,306.65
11/06/25,127.58,458278,-0.45,128.05,127.04,128.41,127.52,202.11,-0.45,303.49
11/05/25,128.16,396336,0.41,127.72,127.08,128.68,128.10,203.03,0.41,305.32
11/04/25,127.64,493175,0.42,126.52,126.30,127.96,127.65,202.20,0.42,303.68
11/03/25,127.11,404788,-0.32,127.41,125.86,127.41,127.11,201.36,-0.32,302.00
10/31/25,127.52,554205,0.33,126.66,126.63,127.83,127.50,202.01,0.33,303.30
10/30/25,127.10,621580,0.18,126.67,126.67,128.62,127.16,201.35,0.18,301.97
10/29/25,126.87,1053706,-1.74,127.94,126.40,128.14,126.87,200.98,-1.74,301.24
10/28/25,129.12,467187,-0.61,129.95,129.00,130.06,129.10,204.55,-0.61,308.36
10/27/25,129.91,304041,0.39,130.02,129.70,130.25,129.94,205.80,0.39,310.86
10/24/25,129.41,377913,1.12,128.76,128.74,129.80,129.43,205.01,1.12,309.28
10/23/25,127.98,423197,0.20,128.06,127.37,128.37,128.03,202.74,0.20,304.75
10/22/25,127.73,983914,-0.55,128.61,127.02,128.61,127.73,202.35,-0.55,303.96
10/21/25,128.44,666712,-0.01,128.28,128.24,129.35,128.43,203.47,-0.01,306.21
10/20/25,128.45,559487,1.29,127.28,127.26,128.70,128.47,203.49,1.29,306.24
10/17/25,126.82,502191,0.85,126.07,125.73,127.23,126.85,200.90,0.85,301.09
10/16/25,125.75,822843,-2.97,129.30,125.23,129.30,125.75,199.21,-2.97,297.70
10/15/25,129.60,744199,-0.23,130.55,128.79,131.02,129.60,205.31,-0.23,309.88
10/14/25,129.90,502371,1.33,127.54,127.27,130.78,129.90,205.78,1.33,310.83
10/13/25,128.19,318899,1.03,127.90,127.42,128.54,128.21,203.07,1.03,305.42
10/10/25,126.88,1040799,-2.30,130.24,126.87,130.77,126.87,201.00,-2.30,301.28
10/09/25,129.87,366349,-0.41,130.55,129.56,131.05,129.88,205.74,-0.41,310.73
10/08/25,130.41,340441,-0.41,131.41,130.07,131.41,130.33,206.59,-0.41,312.44
10/07/25,130.95,345296,0.07,131.49,130.47,131.77,130.98,207.45,0.07,314.15
10/06/25,130.86,462740,-0.11,131.49,129.96,131.89,130.90,207.30,-0.11,313.86
10/03/25,131.00,291720,0.75,130.22,130.22,131.51,130.96,207.53,0.75,314.31
10/02/25,130.03,528884,-0.02,129.89,129.26,130.28,129.99,205.99,-0.02,311.24
10/01/25,130.05,339543,-0.91,130.67,130.05,131.07,130.07,206.02,-0.91,311.30
