Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,282.15,270983,-0.85,282.34,279.19,282.63,,384.32,-0.85,659.98
03/05/26,284.57,219153,-1.95,287.17,282.33,287.47,284.67,387.62,-1.95,666.50
03/04/26,290.24,224679,0.28,289.53,287.55,291.13,290.25,395.34,0.28,681.77
03/03/26,289.44,247147,-1.11,289.05,285.85,290.57,289.37,394.25,-1.11,679.62
03/02/26,292.69,273729,-0.95,293.39,291.62,294.47,292.81,398.68,-0.95,688.37
02/27/26,295.51,154369,1.40,289.82,289.81,295.64,295.59,402.52,1.40,695.97
02/26/26,291.42,237304,-0.16,292.02,288.55,292.06,291.36,396.95,-0.16,684.95
02/25/26,291.88,345461,-0.02,292.12,291.55,294.50,291.76,397.58,-0.02,686.19
02/24/26,291.93,233168,-0.27,292.00,290.77,292.84,291.85,397.64,-0.27,686.33
02/23/26,292.72,295382,0.97,290.60,290.30,293.19,292.73,398.72,0.97,688.45
02/20/26,289.90,208852,-0.33,290.23,288.23,290.49,289.89,394.88,-0.33,680.86
02/19/26,290.87,423935,-0.19,290.53,288.81,291.11,290.92,396.20,-0.19,683.47
02/18/26,291.42,186752,0.28,290.42,289.25,291.60,291.45,396.95,0.28,684.95
02/17/26,290.60,197841,0.07,290.60,290.00,292.95,290.57,395.83,0.07,682.74
02/13/26,290.39,176693,0.90,288.75,288.34,292.77,290.45,395.55,0.90,682.18
02/12/26,287.81,189584,-0.34,288.86,287.14,290.33,287.73,392.03,-0.34,675.23
02/11/26,288.78,231568,0.42,287.31,285.59,289.04,288.92,393.35,0.42,677.84
02/10/26,287.56,177823,-0.48,289.49,287.34,290.33,287.52,391.69,-0.48,674.55
02/09/26,288.95,224483,-0.77,290.98,288.31,291.89,289.05,393.59,-0.77,678.30
02/06/26,291.20,124494,1.85,288.36,288.36,291.45,291.31,396.65,1.85,684.36
02/05/26,285.92,189270,-1.01,287.65,285.71,290.55,286.07,389.46,-1.01,670.14
02/04/26,288.85,396420,0.88,287.83,286.31,290.05,288.78,393.45,0.88,678.03
02/03/26,286.34,321167,-0.92,287.66,285.66,291.66,286.42,390.03,-0.92,671.27
02/02/26,289.01,213269,0.60,286.23,286.23,289.43,289.10,393.67,0.60,678.46
01/30/26,287.28,171814,0.42,286.67,284.77,287.78,287.19,391.31,0.42,673.80
01/29/26,286.08,181541,-0.26,286.61,285.44,287.57,286.23,389.68,-0.26,670.57
01/28/26,286.84,224326,-0.92,288.01,285.81,288.93,286.93,390.71,-0.92,672.62
01/27/26,289.51,344757,-1.48,290.09,288.90,292.27,289.51,394.35,-1.48,679.81
01/26/26,293.87,261853,0.39,292.46,291.33,294.24,293.84,400.29,0.39,691.55
01/23/26,292.73,272913,-0.75,294.47,291.55,295.00,292.78,398.73,-0.75,688.48
01/22/26,294.94,218852,0.19,293.92,293.32,296.59,294.99,401.74,0.19,694.43
01/21/26,294.37,257343,1.73,289.12,289.12,294.77,294.29,400.97,1.73,692.90
01/20/26,289.36,253084,-0.12,286.33,284.84,290.02,289.29,394.14,-0.12,679.40
01/16/26,289.71,173640,-0.77,291.62,289.70,292.00,289.71,394.62,-0.77,680.35
01/15/26,291.96,198780,-0.53,292.67,289.35,293.20,291.94,397.69,-0.53,686.41
01/14/26,293.52,182959,0.74,291.36,290.93,293.64,293.45,399.81,0.74,690.61
01/13/26,291.37,207621,-0.41,293.04,289.40,293.04,291.35,396.88,-0.41,684.82
01/12/26,292.57,227765,-0.14,292.66,290.00,293.00,292.64,398.52,-0.14,688.05
01/09/26,292.97,378494,-0.45,294.99,292.85,295.86,292.86,399.06,-0.45,689.13
01/08/26,294.29,225096,-1.00,296.51,293.14,298.43,294.33,400.86,-1.00,692.68
01/07/26,297.26,311333,1.14,295.00,294.87,298.61,297.22,404.90,1.14,700.68
01/06/26,293.91,468100,1.94,288.54,288.54,294.32,293.95,400.34,1.94,691.66
01/05/26,288.32,299323,-0.15,287.05,284.38,288.57,288.29,392.73,-0.15,676.60
01/02/26,288.75,230179,0.31,288.07,285.73,288.92,288.82,393.31,0.31,677.76
12/31/25,287.85,129718,-0.56,289.06,287.72,289.46,287.76,392.09,-0.56,675.34
12/30/25,289.46,157973,-0.18,289.72,288.57,290.16,289.36,394.28,-0.18,679.67
12/29/25,289.99,1292441,-0.24,290.49,289.75,291.35,289.98,395.00,-0.24,681.10
12/26/25,290.70,148887,0.09,290.45,289.53,290.79,290.61,395.97,0.09,683.01
12/24/25,290.45,156254,0.49,289.23,289.23,290.71,290.40,395.63,0.49,682.34
12/23/25,289.02,145921,-0.27,288.77,288.35,290.29,289.03,393.68,-0.27,678.49
12/22/25,289.79,293165,0.81,287.55,286.90,289.91,289.83,394.73,0.81,680.56
12/19/25,287.45,384328,0.83,285.17,285.17,288.84,287.58,391.54,0.83,674.26
12/18/25,285.08,216512,-0.04,285.08,284.75,287.52,285.01,388.31,-0.04,667.87
12/17/25,285.20,189268,-0.88,286.08,285.05,287.33,285.12,388.48,-0.30,668.20
12/16/25,287.72,315231,-1.17,290.85,285.89,290.96,287.65,389.63,-1.17,670.49
12/15/25,291.12,287113,1.12,288.79,288.65,291.41,291.01,394.24,1.12,679.59
12/12/25,287.90,211310,0.21,287.56,286.80,288.84,287.93,389.88,0.21,670.97
12/11/25,287.29,209637,0.89,285.70,285.00,288.36,287.33,389.05,0.89,669.33
12/10/25,284.75,356507,1.29,281.95,281.06,284.96,284.78,385.61,1.29,662.53
12/09/25,281.11,277472,-1.04,284.90,281.00,286.04,281.13,380.68,-1.04,652.79
12/08/25,284.05,188786,-1.10,287.59,283.72,287.79,284.04,384.66,-1.10,660.66
12/05/25,287.20,194922,-0.39,289.18,286.75,289.51,287.28,388.93,-0.39,669.09
12/04/25,288.33,338438,-0.56,289.80,287.50,289.90,288.41,390.46,-0.56,672.12
12/03/25,289.94,215587,0.57,288.83,288.83,290.78,289.96,392.64,0.57,676.43
12/02/25,288.30,306923,-0.66,290.20,288.09,290.52,288.24,390.42,-0.66,672.04
12/01/25,290.22,475760,-1.46,293.38,289.97,294.60,290.09,393.02,-1.46,677.18
11/28/25,294.53,239231,-0.43,295.63,293.69,295.63,294.53,398.86,-0.43,688.72
11/26/25,295.79,218665,-0.08,295.58,295.28,296.51,295.72,400.56,-0.08,692.10
11/25/25,296.03,410723,2.12,290.81,290.81,296.21,296.07,400.89,2.12,692.74
11/24/25,289.89,247647,0.73,288.83,288.07,291.03,289.94,392.57,0.73,676.30
11/21/25,287.78,383557,2.13,282.39,282.17,289.75,287.77,389.72,2.13,670.65
11/20/25,281.77,420802,-0.63,284.18,281.50,285.96,281.74,381.58,-0.63,654.55
11/19/25,283.56,225273,-0.12,283.64,282.12,284.32,283.51,384.00,-0.12,659.35
11/18/25,283.90,314530,0.58,282.22,281.66,285.01,283.79,384.46,0.58,660.26
11/17/25,282.25,586867,-0.10,281.72,281.34,285.31,282.24,382.23,-0.10,655.84
11/14/25,282.54,234768,-0.43,282.29,280.95,284.39,282.32,382.62,-0.43,656.61
11/13/25,283.75,310836,-0.26,283.48,282.57,287.05,283.64,384.26,-0.26,659.85
11/12/25,284.50,239743,1.14,281.49,281.26,285.19,284.41,385.27,1.14,661.86
11/11/25,281.28,214055,2.36,275.27,275.27,281.32,281.15,380.91,2.36,653.24
11/10/25,274.79,165267,0.78,272.05,272.05,275.07,274.83,372.12,0.78,635.86
11/07/25,272.67,147530,0.17,271.83,269.78,272.67,272.58,369.25,0.17,630.18
11/06/25,272.22,167093,0.02,271.44,270.61,272.68,272.18,368.64,0.02,628.98
11/05/25,272.16,249337,0.50,270.17,269.78,273.23,272.04,368.56,0.50,628.82
11/04/25,270.80,194026,0.25,268.59,268.40,272.13,270.71,366.72,0.25,625.18
11/03/25,270.13,235720,-0.09,269.77,266.96,270.60,270.10,365.81,-0.09,623.38
10/31/25,270.38,178930,0.17,268.19,267.65,270.74,270.23,366.15,0.17,624.05
10/30/25,269.91,260085,0.13,269.19,269.05,272.03,269.90,365.52,0.13,622.79
10/29/25,269.57,205738,-0.88,271.56,268.67,272.28,269.43,365.06,-0.88,621.88
10/28/25,271.96,273864,-0.66,274.00,271.60,274.00,271.93,368.29,-0.66,628.28
10/27/25,273.77,142083,0.41,272.84,271.86,273.88,273.77,370.74,0.41,633.13
10/24/25,272.65,109798,0.07,273.05,272.53,273.92,272.56,369.23,0.07,630.13
10/23/25,272.45,159676,0.18,271.53,271.14,273.02,272.38,368.96,0.18,629.59
10/22/25,271.96,237292,0.35,272.53,271.57,273.32,271.99,368.29,0.35,628.28
10/21/25,271.00,337614,0.12,271.20,269.85,272.18,271.04,366.99,0.12,625.71
10/20/25,270.68,122473,1.19,268.46,268.46,271.16,270.75,366.56,1.19,624.85
10/17/25,267.50,184699,0.50,264.93,264.73,267.87,267.55,362.25,0.50,616.34
10/16/25,266.17,230307,-0.12,267.32,265.43,268.81,266.24,360.45,-0.12,612.78
10/15/25,266.48,124406,0.40,265.09,264.35,267.61,266.43,360.87,0.40,613.61
10/14/25,265.41,135546,0.27,263.49,263.00,266.46,265.44,359.42,0.27,610.74
10/13/25,264.70,176699,-0.01,264.63,264.14,266.31,264.71,358.46,-0.01,608.84
10/10/25,264.73,135539,-1.59,269.86,264.41,269.86,264.68,358.50,-1.59,608.92
10/09/25,269.00,127442,-0.12,269.99,268.54,270.84,268.98,364.28,-0.12,620.36
10/08/25,269.31,129216,0.28,269.18,268.33,270.15,269.34,364.70,0.28,621.19
10/07/25,268.56,152360,0.03,268.47,267.16,269.00,268.56,363.69,0.03,619.18
10/06/25,268.47,720848,-0.41,269.77,268.19,270.00,268.43,363.57,-0.41,618.94
10/03/25,269.57,494233,1.14,267.30,267.30,271.86,269.52,365.06,1.14,621.88
10/02/25,266.54,389176,-0.06,264.75,264.75,266.81,266.56,360.95,-0.06,613.77
10/01/25,266.69,369093,2.73,260.86,260.42,267.25,266.73,361.16,2.73,614.17
09/30/25,259.60,335388,2.22,253.68,253.68,260.01,259.70,351.55,2.22,595.18
09/29/25,253.95,237382,0.30,253.52,251.90,254.09,253.98,343.90,0.30,580.05
09/26/25,253.20,368291,1.16,251.89,251.24,253.30,253.11,342.89,1.16,578.05
09/25/25,250.29,362866,-1.61,253.82,249.57,253.82,250.32,338.95,-1.61,570.25
09/24/25,254.39,212559,-0.80,255.37,254.01,255.67,254.49,344.50,-0.38,581.23
09/23/25,256.45,190156,0.12,255.49,255.49,257.50,256.50,345.83,0.12,583.85
09/22/25,256.13,239422,0.11,255.31,254.63,257.15,256.17,345.39,0.11,583.00
09/19/25,255.85,186784,-0.28,257.14,255.85,257.14,255.93,345.02,-0.28,582.25
09/18/25,256.58,211590,0.52,255.50,255.47,256.90,256.65,346.00,0.52,584.20
09/17/25,255.26,308164,0.18,255.40,254.58,257.66,255.30,344.22,0.18,580.68
09/16/25,254.81,211471,0.04,254.56,254.10,255.55,254.86,343.61,0.04,579.48
09/15/25,254.71,563917,-0.86,257.23,254.36,257.61,254.72,343.48,-0.86,579.21
09/12/25,256.92,161387,-1.17,259.18,256.92,259.77,256.96,346.46,-1.17,585.11
09/11/25,259.95,216876,1.71,256.51,256.37,260.53,260.05,350.54,1.71,593.19
09/10/25,255.59,177551,-1.01,257.65,254.73,257.65,255.56,344.67,-1.01,581.56
