Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,93.55,4606035,-1.09,93.78,93.07,93.82,,234.05,-1.09,365.78
03/05/26,94.58,4637831,-1.00,94.57,93.88,94.84,94.66,236.63,-1.00,370.91
03/04/26,95.54,3896890,0.13,95.17,94.53,95.63,95.54,239.03,0.13,375.69
03/03/26,95.42,4832916,-0.53,94.39,93.68,95.75,95.38,238.73,-0.53,375.09
03/02/26,95.93,5477725,0.25,95.20,94.62,96.20,95.94,240.01,0.25,377.63
02/27/26,95.69,4707942,0.18,95.20,95.18,96.23,95.68,239.41,0.18,376.43
02/26/26,95.52,3761808,0.69,95.17,94.93,95.68,95.54,238.98,0.69,375.59
02/25/26,94.87,3297006,-0.27,95.03,94.42,95.32,94.83,237.36,-0.27,372.35
02/24/26,95.13,3788492,0.25,94.65,94.48,95.25,95.11,238.01,0.25,373.64
02/23/26,94.89,3646172,0.01,94.75,94.55,95.64,94.85,237.41,0.01,372.45
02/20/26,94.88,2840703,0.75,94.29,94.11,94.89,94.87,237.38,0.75,372.40
02/19/26,94.17,2646562,-0.21,94.26,93.79,94.81,94.18,235.60,-0.21,368.86
02/18/26,94.37,4163638,-1.17,95.22,94.15,95.36,94.35,236.10,-1.17,369.86
02/17/26,95.49,3614786,0.95,94.94,94.38,95.56,95.47,238.91,0.95,375.44
02/13/26,94.59,3906841,1.44,93.59,93.30,94.93,94.59,236.66,1.44,370.96
02/12/26,93.25,7469436,-0.12,94.47,93.10,95.15,93.23,233.30,-0.12,364.28
02/11/26,93.36,4425651,-0.55,94.07,93.23,94.20,93.38,233.58,-0.55,364.83
02/10/26,93.88,4266652,1.34,92.76,92.74,94.11,93.86,234.88,1.34,367.42
02/09/26,92.64,3021655,0.42,92.16,91.60,92.72,92.66,231.78,0.42,361.25
02/06/26,92.25,3638714,1.57,91.53,91.33,92.38,92.25,230.80,1.57,359.30
02/05/26,90.82,3588497,-0.14,90.76,90.24,91.33,90.86,227.22,-0.14,352.18
02/04/26,90.95,3941137,1.44,90.24,89.89,91.32,90.97,227.55,1.44,352.83
02/03/26,89.66,4821961,-0.22,89.75,89.07,90.18,89.67,224.32,-0.22,346.41
02/02/26,89.86,5280754,-1.04,90.90,89.82,91.15,89.85,224.82,-1.04,347.41
01/30/26,90.80,4618037,0.10,90.46,89.66,90.82,90.81,227.17,0.10,352.09
01/29/26,90.71,7283919,1.40,89.98,89.42,90.83,90.74,226.95,1.40,351.64
01/28/26,89.46,4520546,-1.03,90.48,89.24,90.62,89.44,223.82,-1.03,345.41
01/27/26,90.39,3217100,-0.03,90.31,90.04,90.58,90.37,226.15,-0.03,350.04
01/26/26,90.42,3004662,-0.13,90.79,90.32,91.06,90.39,226.22,-0.13,350.19
01/23/26,90.54,2838199,0.20,90.22,89.88,90.63,90.52,226.52,0.20,350.79
01/22/26,90.36,3922910,-0.99,91.37,90.31,91.62,90.35,226.07,-0.99,349.89
01/21/26,91.26,6140307,0.40,91.54,90.53,91.69,91.29,228.32,0.40,354.38
01/20/26,90.90,4648896,-1.86,91.82,90.84,92.07,90.90,227.42,-1.86,352.58
01/16/26,92.62,4819629,1.22,91.34,91.21,92.82,92.61,231.73,1.22,361.15
01/15/26,91.50,3845576,0.69,91.30,91.02,91.89,91.52,228.92,0.69,355.57
01/14/26,90.87,3535361,0.87,90.09,90.01,90.89,90.90,227.35,0.87,352.43
01/13/26,90.09,3085327,0.56,89.62,88.81,90.16,90.10,225.40,0.56,348.55
01/12/26,89.59,3342583,0.13,89.58,89.32,89.96,89.59,224.15,0.13,346.06
01/09/26,89.47,4126084,0.20,89.31,89.31,90.02,89.46,223.85,0.20,345.46
01/08/26,89.29,5165995,0.89,88.10,88.01,89.63,89.28,223.40,0.89,344.57
01/07/26,88.50,6668177,-0.97,89.87,88.48,90.01,88.48,221.42,-0.97,340.63
01/06/26,89.37,4889819,0.73,88.38,88.28,89.58,89.35,223.60,0.73,344.97
01/05/26,88.72,5501563,0.23,88.30,87.88,89.07,88.69,221.97,0.23,341.73
01/02/26,88.52,3524509,0.03,88.37,87.84,88.85,88.53,221.47,0.03,340.73
12/31/25,88.49,3301734,-0.82,89.18,88.45,89.20,88.47,221.39,-0.82,340.58
12/30/25,89.22,2813521,0.20,89.10,88.92,89.27,89.22,223.22,0.20,344.22
12/29/25,89.04,2604009,0.20,89.24,88.79,89.33,89.04,222.77,0.20,343.32
12/26/25,88.86,2065781,0.11,88.70,88.46,88.92,88.86,222.32,0.11,342.43
12/24/25,88.76,2730765,0.66,88.21,88.21,88.91,88.79,222.07,0.66,341.93
12/23/25,88.18,3955916,-0.07,88.28,87.87,88.28,88.16,220.62,-0.07,339.04
12/22/25,88.24,3594008,-0.40,87.65,87.48,88.37,88.27,220.77,0.51,339.34
12/19/25,88.59,4162336,-0.38,88.67,88.55,89.17,88.60,219.65,-0.38,337.12
12/18/25,88.93,3818063,-0.53,89.84,88.83,89.99,88.90,220.49,-0.53,338.79
12/17/25,89.40,3715500,0.37,88.99,88.98,89.76,89.39,221.66,0.37,341.11
12/16/25,89.07,3717881,-0.74,89.65,88.93,89.98,89.08,220.84,-0.74,339.48
12/15/25,89.73,3915126,0.31,89.82,89.10,89.88,89.73,222.48,0.31,342.74
12/12/25,89.45,3855912,-0.12,89.95,89.23,90.27,89.44,221.78,-0.12,341.36
12/11/25,89.56,5207398,0.44,89.43,89.26,89.92,89.54,222.06,0.44,341.90
12/10/25,89.17,4633433,0.36,89.13,89.01,89.81,89.15,221.09,0.36,339.98
12/09/25,88.85,4194036,-0.38,89.44,88.82,89.98,88.86,220.30,-0.38,338.40
12/08/25,89.19,3971844,-0.77,89.92,89.15,89.92,89.16,221.14,-0.77,340.08
12/05/25,89.88,3859884,-0.11,89.82,89.72,90.35,89.87,222.85,-0.11,343.48
12/04/25,89.98,4837544,-0.24,90.03,89.87,90.59,89.98,223.10,-0.24,343.97
12/03/25,90.20,3204263,0.26,89.86,89.81,90.42,90.19,223.64,0.26,345.06
12/02/25,89.97,2737085,-0.35,90.52,89.68,90.64,89.96,223.07,-0.35,343.93
12/01/25,90.29,3120840,-1.15,90.45,90.23,90.81,90.23,223.87,-1.15,345.50
11/28/25,91.34,1627090,0.33,90.93,90.93,91.60,91.31,226.47,0.33,350.69
11/26/25,91.04,3297995,0.44,90.43,90.39,91.57,91.02,225.73,0.44,349.21
11/25/25,90.64,4230357,0.92,90.05,90.05,91.04,90.62,224.73,0.92,347.23
11/24/25,89.81,3331007,0.27,89.64,89.09,89.94,89.82,222.68,0.27,343.14
11/21/25,89.57,5770477,1.62,88.66,88.38,89.90,89.57,222.08,1.62,341.95
11/20/25,88.14,5317008,-0.42,89.07,88.11,89.57,88.14,218.54,-0.42,334.90
11/19/25,88.51,4029845,-0.78,89.20,88.22,89.30,88.51,219.45,-0.78,336.72
11/18/25,89.21,4281473,0.41,88.81,88.57,89.47,89.19,221.19,0.41,340.18
11/17/25,88.85,4072182,-0.83,89.83,88.60,89.85,88.85,220.30,-0.83,338.40
11/14/25,89.59,3662866,0.21,89.63,89.10,89.74,89.56,222.13,0.21,342.05
11/13/25,89.40,3734640,-1.23,90.03,89.26,90.41,89.39,221.66,-1.23,341.11
11/12/25,90.51,3652436,-0.75,90.75,90.48,91.17,90.47,224.41,-0.75,346.59
11/11/25,91.19,3190422,1.12,90.51,90.49,91.26,91.19,226.10,1.12,349.95
11/10/25,90.18,3398185,-0.06,90.02,89.65,90.58,90.15,223.59,-0.06,344.96
11/07/25,90.23,5277948,1.55,89.04,88.94,90.25,90.23,223.72,1.55,345.21
11/06/25,88.85,3421589,-0.48,89.19,88.82,89.55,88.85,220.30,-0.48,338.40
11/05/25,89.28,2886259,0.09,89.48,88.74,89.57,89.26,221.36,0.09,340.52
11/04/25,89.20,4058678,0.17,89.24,88.76,89.33,89.20,221.16,0.17,340.13
11/03/25,89.05,4522882,-0.15,88.20,87.86,89.15,89.06,220.79,-0.15,339.39
10/31/25,89.18,3982699,0.26,88.50,88.17,89.48,89.14,221.11,0.26,340.03
10/30/25,88.95,5183182,0.47,88.46,88.20,89.55,88.93,220.54,0.47,338.89
10/29/25,88.53,5650116,-2.58,90.20,88.23,90.36,88.51,219.50,-2.58,336.82
10/28/25,90.87,4636016,-1.96,92.47,90.80,92.47,90.82,225.30,-1.96,348.37
10/27/25,92.69,2921989,0.28,92.49,92.08,92.73,92.67,229.82,0.28,357.35
10/24/25,92.43,2619502,0.29,92.82,92.43,92.93,92.43,229.17,0.29,356.06
10/23/25,92.16,2686972,-0.07,92.32,91.39,92.57,92.13,228.50,-0.07,354.73
10/22/25,92.22,2490784,0.42,92.11,91.69,92.37,92.23,228.65,0.42,355.03
10/21/25,91.83,2829840,-0.28,92.00,91.68,92.45,91.83,227.68,-0.28,353.10
10/20/25,92.09,2036812,1.01,91.60,91.39,92.11,92.09,228.33,1.01,354.39
10/17/25,91.17,2945240,0.65,90.54,90.26,91.28,91.17,226.05,0.65,349.85
10/16/25,90.58,3719168,-0.35,91.07,90.38,91.43,90.59,224.59,-0.35,346.94
10/15/25,90.90,3026724,1.45,89.91,89.84,91.16,90.86,225.38,1.45,348.51
10/14/25,89.60,3047787,1.03,88.57,88.39,89.74,89.61,222.16,1.03,342.10
10/13/25,88.69,2810073,0.64,88.21,88.08,88.78,88.69,219.90,0.64,337.61
10/10/25,88.13,3996323,-1.28,89.52,88.09,89.69,88.18,218.51,-1.28,334.85
10/09/25,89.27,3123023,-0.55,89.93,89.04,89.99,89.28,221.34,-0.55,340.47
10/08/25,89.76,3325065,-0.52,89.82,89.53,90.10,89.74,222.55,-0.52,342.89
10/07/25,90.23,4546624,-0.36,90.63,89.85,90.81,90.20,223.72,-0.36,345.21
10/06/25,90.56,4154610,-0.94,91.48,90.53,91.50,90.56,224.54,-0.94,346.84
10/03/25,91.42,2496627,0.37,91.20,91.20,92.16,91.42,226.67,0.37,351.08
10/02/25,91.08,4186062,-0.52,91.36,90.51,91.36,91.06,225.82,-0.52,349.40
10/01/25,91.56,2933491,0.15,91.37,91.25,91.88,91.52,227.01,0.15,351.77
09/30/25,91.42,3002844,0.41,91.08,90.79,91.49,91.48,226.67,0.41,351.08
09/29/25,91.05,3155513,0.03,91.12,90.65,91.23,91.05,225.75,0.03,349.25
09/26/25,91.02,5430815,0.99,90.50,90.30,91.18,91.02,225.68,0.99,349.11
09/25/25,90.13,4246453,-0.30,90.39,90.06,90.75,90.15,223.47,-0.30,344.72
09/24/25,90.40,2709452,-1.92,91.22,90.39,91.26,90.38,224.14,-0.97,346.05
09/23/25,92.17,3421380,0.55,91.79,91.67,92.39,92.18,226.34,0.55,350.44
09/22/25,91.67,3646167,0.02,91.68,91.09,91.87,91.65,225.12,0.02,347.99
09/19/25,91.65,3076078,-0.65,92.37,91.65,92.49,91.70,225.07,-0.65,347.90
09/18/25,92.25,2966135,0.22,92.16,91.94,92.65,92.26,226.54,0.22,350.83
09/17/25,92.05,4570956,-0.13,92.45,91.95,93.58,92.06,226.05,-0.13,349.85
09/16/25,92.17,3260272,-0.53,92.65,91.91,92.80,92.12,226.34,-0.53,350.44
09/15/25,92.66,2754956,-0.16,93.11,92.39,93.24,92.63,227.55,-0.16,352.83
09/12/25,92.81,2165627,-0.46,93.18,92.71,93.34,92.80,227.92,-0.46,353.57
09/11/25,93.24,2671354,1.82,91.83,91.75,93.42,93.25,228.97,1.82,355.67
09/10/25,91.57,2242917,-0.16,91.73,91.42,92.26,91.55,224.87,-0.16,347.51
09/09/25,91.72,2533934,-0.23,91.67,91.33,91.75,91.70,225.24,-0.23,348.24
09/08/25,91.93,2880701,-0.58,91.54,91.24,91.95,91.89,225.76,-0.58,349.26
