Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,201.60,224477,-0.43,201.22,199.98,202.54,,414.82,-0.43,736.16
03/05/26,202.48,319224,-0.81,202.86,200.71,202.86,202.45,416.63,-0.81,739.81
03/04/26,204.13,300626,0.45,203.28,201.94,204.74,204.07,420.03,0.45,746.66
03/03/26,203.22,447528,-0.61,201.44,198.45,204.72,203.21,418.15,-0.61,742.88
03/02/26,204.47,436294,-0.68,204.43,204.35,205.95,204.48,420.73,-0.68,748.07
02/27/26,205.87,317802,1.03,203.61,203.50,206.10,205.86,423.61,1.03,753.87
02/26/26,203.78,243249,-0.38,203.97,202.65,204.66,203.76,419.31,-0.38,745.21
02/25/26,204.55,284460,0.37,203.97,201.24,204.81,204.49,420.89,0.37,748.40
02/24/26,203.79,267037,1.04,201.64,200.00,203.89,203.73,419.33,1.04,745.25
02/23/26,201.69,242127,0.69,200.56,200.38,202.92,201.64,415.01,0.69,736.54
02/20/26,200.31,130869,0.40,200.24,198.41,200.86,200.35,412.17,0.40,730.81
02/19/26,199.51,158005,1.07,198.11,198.02,199.70,199.55,410.52,1.07,727.50
02/18/26,197.39,264858,-1.73,200.89,197.17,201.18,197.48,406.16,-1.73,718.70
02/17/26,200.87,372760,-0.22,202.34,200.33,203.50,200.81,413.32,-0.22,733.14
02/13/26,201.32,417190,2.65,195.94,195.82,201.63,201.30,414.25,2.65,735.00
02/12/26,196.13,346960,1.50,193.89,193.82,197.95,196.06,403.57,1.50,713.48
02/11/26,193.23,309317,0.83,192.44,191.41,193.32,193.21,397.60,0.83,701.45
02/10/26,191.63,249664,1.55,189.78,189.11,193.00,191.71,394.31,1.55,694.81
02/09/26,188.70,308510,0.31,188.16,186.99,189.06,188.78,388.28,0.31,682.66
02/06/26,188.11,212534,0.53,189.03,186.78,190.30,188.19,387.06,0.53,680.21
02/05/26,187.11,257829,0.08,187.46,186.10,188.11,187.09,385.01,0.08,676.07
02/04/26,186.96,276118,-0.52,188.87,186.63,189.46,186.96,384.70,-0.52,675.44
02/03/26,187.94,241750,1.47,185.43,185.43,188.58,187.97,386.71,1.47,679.51
02/02/26,185.22,379102,-1.47,188.07,184.93,188.77,185.17,381.12,-1.47,668.23
01/30/26,187.99,289592,-0.19,188.02,185.90,188.53,187.95,386.82,-0.19,679.72
01/29/26,188.34,273050,0.03,189.14,187.30,190.18,188.43,387.54,0.03,681.17
01/28/26,188.28,246115,-0.19,189.14,187.60,189.73,188.34,387.41,-0.19,680.92
01/27/26,188.64,279283,1.23,186.17,185.55,189.19,188.71,388.15,1.23,682.41
01/26/26,186.35,270021,0.65,185.72,185.72,187.71,186.40,383.44,0.65,672.91
01/23/26,185.14,335379,-0.47,185.98,184.15,186.01,185.13,380.95,-0.47,667.89
01/22/26,186.01,411502,-0.64,187.87,185.54,188.31,186.06,382.74,-0.64,671.50
01/21/26,187.21,445614,0.27,188.09,185.76,188.19,187.29,385.21,0.27,676.48
01/20/26,186.71,280394,-1.09,187.49,186.17,188.44,186.68,384.18,-1.09,674.41
01/16/26,188.76,412922,-0.50,187.70,186.78,189.21,188.72,388.40,-0.50,682.91
01/15/26,189.71,333484,1.10,188.51,188.51,190.62,189.76,390.36,1.10,686.85
01/14/26,187.64,186933,0.68,186.12,186.12,188.27,187.69,386.10,0.68,678.26
01/13/26,186.37,182339,0.63,185.28,184.58,186.77,186.34,383.48,0.63,673.00
01/12/26,185.21,299691,0.14,184.42,184.13,185.76,185.28,381.10,0.14,668.18
01/09/26,184.95,200031,1.24,184.92,184.81,186.68,184.92,380.56,1.24,667.11
01/08/26,182.68,177822,0.27,181.93,181.90,183.92,182.65,375.89,0.27,657.69
01/07/26,182.18,276231,-2.27,186.60,181.60,186.60,182.15,374.86,-2.27,655.62
01/06/26,186.42,326653,0.52,185.75,184.70,186.55,186.39,383.59,0.52,673.20
01/05/26,185.45,506878,-0.95,187.36,182.69,187.68,185.37,381.59,-0.95,669.18
01/02/26,187.22,239088,1.18,185.62,184.96,188.07,187.27,385.23,1.18,676.52
12/31/25,185.04,213988,-0.63,186.32,184.98,186.32,184.97,380.75,-0.63,667.48
12/30/25,186.21,186507,0.20,186.08,185.70,186.52,186.12,383.15,0.20,672.33
12/29/25,185.84,201342,0.18,185.59,185.59,186.83,185.86,382.39,0.18,670.80
12/26/25,185.51,115842,-0.12,185.70,184.93,185.93,185.55,381.71,-0.12,669.43
12/24/25,185.74,108275,0.49,185.00,184.68,185.93,185.88,382.19,0.49,670.38
12/23/25,184.84,195487,0.21,184.11,184.11,185.53,184.91,380.34,0.21,666.65
12/22/25,184.46,235606,0.52,183.66,182.55,184.59,184.44,379.55,0.52,665.07
12/19/25,183.50,267032,-1.33,185.89,183.49,186.68,183.54,377.58,-1.33,661.09
12/18/25,185.98,294033,1.04,185.31,185.06,186.92,185.96,382.68,1.04,671.38
12/17/25,184.06,159701,-1.52,185.72,183.34,185.83,184.04,378.73,-0.79,663.41
12/16/25,186.90,251906,-0.33,187.40,185.64,187.92,186.89,381.75,-0.33,669.49
12/15/25,187.52,206791,0.81,187.11,185.97,187.76,187.47,383.01,0.81,672.05
12/12/25,186.01,171049,-0.55,187.50,185.73,188.26,185.96,379.93,-0.55,665.83
12/11/25,187.04,158571,0.85,185.53,185.47,187.30,186.99,382.03,0.85,670.07
12/10/25,185.46,328917,-0.10,185.86,184.22,185.95,185.51,378.81,-0.10,663.57
12/09/25,185.64,177525,0.01,186.06,185.57,187.45,185.57,379.17,0.01,664.31
12/08/25,185.63,353981,-1.15,188.31,185.28,188.31,185.54,379.15,-1.15,664.27
12/05/25,187.79,192441,-1.02,189.38,187.79,189.74,187.85,383.56,-1.02,673.16
12/04/25,189.73,172164,-0.10,189.86,189.16,191.03,189.63,387.53,-0.10,681.15
12/03/25,189.92,195302,-0.30,190.88,189.20,191.06,189.95,387.91,-0.30,681.93
12/02/25,190.50,185400,-0.77,192.84,190.35,192.84,190.50,389.10,-0.77,684.32
12/01/25,191.98,194994,-2.28,195.15,191.89,195.15,191.97,392.12,-2.28,690.41
11/28/25,196.45,72657,0.75,195.42,195.22,196.56,196.45,401.25,0.75,708.81
11/26/25,194.98,201882,1.25,193.39,193.39,195.29,195.04,398.25,1.25,702.76
11/25/25,192.57,159667,-0.32,193.51,191.80,193.97,192.55,393.33,-0.32,692.84
11/24/25,193.19,195984,1.17,191.23,190.20,193.63,193.13,394.59,1.17,695.39
11/21/25,190.96,153473,0.14,191.45,189.55,191.81,190.99,390.04,0.14,686.21
11/20/25,190.70,141726,-0.55,193.21,190.51,194.39,190.61,389.51,-0.55,685.14
11/19/25,191.76,131481,-0.68,193.16,191.33,193.84,191.73,391.67,-0.68,689.50
11/18/25,193.08,171525,-0.38,193.97,193.08,194.88,193.03,394.37,-0.38,694.94
11/17/25,193.82,258852,0.76,192.53,192.43,194.52,193.78,395.88,0.76,697.99
11/14/25,192.35,140241,0.04,191.64,191.25,193.65,192.28,392.88,0.04,691.93
11/13/25,192.27,109271,-1.34,194.11,192.07,194.37,192.17,392.71,-1.34,691.60
11/12/25,194.88,108735,0.23,194.71,193.87,195.04,194.84,398.05,0.23,702.35
11/11/25,194.43,131844,0.02,194.41,193.44,195.14,194.39,397.13,0.02,700.50
11/10/25,194.39,142078,-0.04,195.00,192.70,195.67,194.34,397.04,-0.04,700.33
11/07/25,194.47,233758,1.37,190.98,190.98,194.47,194.39,397.21,1.37,700.66
11/06/25,191.85,165558,-0.46,192.42,191.75,193.63,191.75,391.86,-0.46,689.87
11/05/25,192.73,147148,0.14,192.24,191.88,193.52,192.68,393.65,0.14,693.50
11/04/25,192.46,129460,-0.43,192.86,191.51,193.00,192.39,393.10,-0.43,692.39
11/03/25,193.29,259474,0.12,192.92,190.93,193.65,193.17,394.80,0.12,695.80
10/31/25,193.06,152317,-0.64,193.88,192.02,193.96,192.98,394.33,-0.64,694.86
10/30/25,194.31,104858,-0.54,194.95,194.27,196.81,194.35,396.88,-0.54,700.00
10/29/25,195.37,167459,-0.03,195.51,194.43,196.50,195.24,399.05,-0.03,704.37
10/28/25,195.43,191570,-1.61,199.38,195.20,199.38,195.37,399.17,-1.61,704.61
10/27/25,198.63,273949,0.26,198.40,196.29,198.79,198.61,405.71,0.26,717.79
10/24/25,198.11,153994,1.26,197.17,196.77,198.98,198.13,404.64,1.26,715.65
10/23/25,195.65,162308,-0.01,197.20,194.66,197.20,195.66,399.62,-0.01,705.52
10/22/25,195.67,248635,-0.39,196.53,194.69,196.80,195.70,399.66,-0.39,705.60
10/21/25,196.44,193361,-1.18,199.00,195.56,199.18,196.38,401.23,-1.18,708.77
10/20/25,198.78,278837,0.05,200.18,198.00,200.58,198.67,406.01,0.05,718.41
10/17/25,198.69,156504,-0.32,199.60,197.77,199.99,198.64,405.83,-0.32,718.04
10/16/25,199.33,177667,-1.05,202.15,199.31,203.15,199.35,407.13,-1.05,720.67
10/15/25,201.45,235529,1.24,200.12,199.79,202.08,201.36,411.46,1.24,729.40
10/14/25,198.99,136021,0.87,196.92,196.62,199.66,198.89,406.44,0.87,719.27
