Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
03/06/26,54.47,9830010,-0.69,54.33,54.12,54.78,,95.27,-0.69,280.33
03/05/26,54.85,15624100,-1.31,54.94,54.24,55.35,54.96,95.94,-1.31,282.99
03/04/26,55.58,21718700,0.63,55.42,55.09,55.67,55.49,97.22,0.63,288.09
03/03/26,55.23,31763840,-3.51,54.88,53.94,55.48,55.33,96.60,-3.51,285.64
03/02/26,57.24,12725480,-1.48,56.81,56.76,57.50,57.19,100.12,-1.48,299.68
02/27/26,58.10,10700990,-0.29,57.92,57.83,58.22,57.94,101.62,-0.29,305.68
02/26/26,58.27,10228320,-1.25,58.65,57.88,58.65,58.17,101.92,-1.25,306.87
02/25/26,59.01,6894813,0.56,59.09,58.74,59.09,58.80,103.21,0.56,312.04
02/24/26,58.68,9636619,1.07,58.36,58.25,58.82,58.39,102.64,1.07,309.73
02/23/26,58.06,8877826,-0.80,58.35,57.95,58.53,57.92,101.55,-0.80,305.40
02/20/26,58.53,7897368,1.63,57.48,57.42,58.54,58.23,102.38,1.63,308.68
02/19/26,57.59,6588403,-0.62,57.47,57.24,57.60,57.53,100.73,-0.62,302.12
02/18/26,57.95,8544772,0.28,57.99,57.78,58.29,57.80,101.36,0.28,304.63
02/17/26,57.79,9303304,0.07,57.52,57.15,57.88,57.56,101.08,0.07,303.52
02/13/26,57.75,9795435,-0.02,57.46,57.18,57.85,57.51,101.01,-0.02,303.24
02/12/26,57.76,10097620,-1.28,58.61,57.65,58.61,57.61,101.03,-1.28,303.31
02/11/26,58.51,8333106,0.86,58.33,58.00,58.60,58.32,102.34,0.86,308.54
02/10/26,58.01,9922936,0.45,58.02,57.83,58.15,57.83,101.47,0.45,305.05
02/09/26,57.75,11064390,0.86,57.32,57.29,57.86,57.65,101.01,0.86,303.24
02/06/26,57.26,10467320,2.18,56.66,56.66,57.29,57.08,100.15,2.18,299.82
02/05/26,56.04,11123640,-0.66,56.16,55.90,56.52,55.94,98.02,-0.66,291.30
02/04/26,56.41,15093750,-0.60,57.05,56.12,57.05,56.29,98.67,-0.60,293.88
02/03/26,56.75,19002740,-0.05,57.01,56.30,57.08,56.80,99.26,-0.05,296.25
02/02/26,56.78,25274990,0.55,56.08,56.06,56.91,56.50,99.31,0.55,296.46
01/30/26,56.47,21105090,-2.03,56.96,56.18,57.12,56.33,98.77,-2.03,294.30
01/29/26,57.64,19033300,-0.38,58.00,56.89,58.06,57.47,100.82,-0.38,302.47
01/28/26,57.86,11659200,0.38,58.03,57.62,58.10,57.73,101.20,0.38,304.01
01/27/26,57.64,12136770,1.25,57.37,57.28,57.69,57.30,100.82,1.25,302.47
01/26/26,56.93,11402600,0.28,56.84,56.80,57.10,56.58,99.58,0.28,297.51
01/23/26,56.77,15530370,0.39,56.42,56.33,56.86,56.44,99.30,0.39,296.39
01/22/26,56.55,11880530,0.78,56.52,56.43,56.79,56.37,98.91,0.78,294.86
01/21/26,56.11,17088620,1.03,56.01,55.82,56.32,55.78,98.14,1.03,291.79
01/20/26,55.54,13740920,-0.82,55.64,55.48,55.89,55.38,97.15,-0.82,287.81
01/16/26,56.00,12321370,-0.60,56.09,55.78,56.15,55.85,97.95,-0.60,291.02
01/15/26,56.34,17565670,0.46,56.31,56.12,56.57,56.11,98.54,0.46,293.39
01/14/26,56.08,22873510,0.21,55.95,55.84,56.10,55.90,98.09,0.21,291.58
01/13/26,55.96,18907200,-0.59,56.14,55.83,56.19,55.82,97.88,-0.59,290.74
01/12/26,56.29,10116950,1.55,55.63,55.63,56.34,56.04,98.46,1.55,293.04
01/09/26,55.43,8923826,0.22,55.24,55.06,55.44,55.19,96.95,0.22,287.04
01/08/26,55.31,10794910,0.11,55.05,55.01,55.34,55.05,96.74,0.11,286.20
